SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,79.95,86.26
WHEELS,22.26,22.26
RIIL,94.47,94.47
PREMIERPOL,28.53,28.53
RAYMOND,64.10,15.13
RSWM,14.71,13.09
SHREDIGCEM,63.99,63.99
SESHAPAPER,14.66,14.66
SMLMAH,48.06,48.06
SUNDRMFAST,41.65,41.00
EXIDEIND,39.73,39.44
ELECON,40.23,38.23
CRISIL,38.89,38.89
LMW,116.93,111.66
NELCO,567.74,211.95
MASTEK,11.96,11.51
MAHSCOOTER,55.66,55.66
LUMAXIND,30.41,28.57
TRENT,84.58,83.69
KECL,115.62,56.91
CUMMINSIND,60.78,59.03
KCP,9.02,8.68
JAYBARMARU,9.60,9.29
INFY,14.86,14.44
INDIAGLYCO,25.50,25.44
IONEXCHANG,56.37,50.13
IFBIND,34.13,32.06
IGPL,19.69,19.69
HIMATSEIDE,16.11,16.11
GNFC,8.18,8.18
GFLLIMITED,9.95,9.95
BPCL,8.05,8.90
BHARATFORG,136.95,437.89
BASF,25.89,25.89
FORCEMOT,18.09,20.57
ATUL,23.91,23.95
ARVIND,34.22,32.27
ACC,12.89,12.95
TMPV,1.46,1.38
SCI,8.42,8.42
MRPL,9.53,10.84
LINDEINDIA,102.23,102.23
HINDPETRO,47.23,47.23
ESCORTS,24.06,23.37
RELINFRA,0.48,0.64
BAJAJHLDNG,14.11,14.11
ASHOKLEY,27.93,26.09
ZUARIIND,7.59,7.28
VOLTAS,91.11,87.23
TITAN,79.21,78.18
TATASTEEL,20.70,19.26
SUNDARMFIN,23.21,22.62
SPIC,6.90,6.90
VEDL,3.85,3.65
SBIN,11.17,11.47
RELIANCE,19.68,19.68
PFIZER,29.50,28.20
NOCIL,41.71,39.64
BOSCHLTD,60.88,60.88
DRREDDY,30.86,30.86
BATAINDIA,59.93,85.92
DEEPAKFERT,18.65,18.65
CHAMBLFERT,8.83,8.83
CARBORUNIV,111.93,45.43
MAHSEAMLES,11.67,11.65
HINDOILEXP,86.11,86.11
DICIND,19.08,17.86
COROMANDEL,32.00,31.26
BALMLAWRIE,11.65,11.65
VINDHYATEL,12.64,12.64
MOTOGENFIN,0.70,54.60
MARALOVER,10.71,10.42
ASIANPAINT,52.17,50.99
RAMCOCEM,32.67,176.59
INDIACEM,123.65,79.67
PGHL,26.62,28.55
