SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,75.33,81.28
WHEELS,24.29,24.29
RIIL,93.73,93.73
PREMIERPOL,27.68,27.68
RAYMOND,79.12,18.68
RSWM,16.17,14.39
SHREDIGCEM,61.01,61.01
SESHAPAPER,14.94,14.94
SMLMAH,52.98,52.98
SUNDRMFAST,41.06,40.42
EXIDEIND,38.39,38.11
ELECON,41.44,39.38
CRISIL,39.36,39.36
LMW,116.08,110.85
NELCO,551.99,206.07
MASTEK,13.30,12.80
MAHSCOOTER,55.97,55.97
LUMAXIND,31.83,29.91
TRENT,82.73,81.86
KECL,111.46,54.86
CUMMINSIND,59.38,57.68
KCP,8.95,8.61
JAYBARMARU,9.54,9.23
INFY,15.13,14.70
INDIAGLYCO,5.25,5.24
IONEXCHANG,57.30,50.96
IFBIND,33.13,31.11
IGPL,20.70,20.70
HIMATSEIDE,15.77,15.77
GNFC,8.32,8.32
GFLLIMITED,10.63,10.63
BPCL,8.11,8.96
BHARATFORG,132.34,423.15
BASF,25.80,25.80
FORCEMOT,18.22,20.72
ATUL,23.49,23.53
ARVIND,35.87,33.82
ACC,12.51,12.57
TMPV,1.45,1.37
SCI,8.49,8.49
MRPL,9.82,11.17
LINDEINDIA,99.48,99.48
HINDPETRO,46.01,46.01
ESCORTS,24.09,23.40
RELINFRA,0.43,0.58
BAJAJHLDNG,13.82,13.82
ASHOKLEY,26.66,24.91
ZUARIIND,7.65,7.34
VOLTAS,88.16,84.40
TITAN,77.48,76.47
TATASTEEL,20.41,18.99
SUNDARMFIN,22.91,22.33
SPIC,7.07,7.07
VEDL,3.70,3.51
SBIN,10.96,11.25
RELIANCE,19.99,19.99
PFIZER,28.90,27.63
NOCIL,43.39,41.24
BOSCHLTD,58.66,58.66
DRREDDY,30.28,30.28
BATAINDIA,59.56,85.39
DEEPAKFERT,17.38,17.38
CHAMBLFERT,8.69,8.69
CARBORUNIV,109.38,44.39
MAHSEAMLES,11.88,11.86
HINDOILEXP,97.15,97.15
DICIND,18.53,17.35
COROMANDEL,32.04,31.31
BALMLAWRIE,11.76,11.76
VINDHYATEL,13.67,13.67
MOTOGENFIN,0.73,56.97
MARALOVER,10.52,10.24
ASIANPAINT,50.40,49.25
RAMCOCEM,32.18,173.94
INDIACEM,120.22,77.46
PGHL,26.78,28.72
BEML,97.05,97.05
ADOR,26.28,25.85
CENTENKA,9.16,9.06
TORNTPHARM,86.54,83.63
VTL,19.81,19.81
SUNDROP,88.53,88.53
FEDERALBNK,18.20,18.20
EPL,20.09,18.95
VLSFINANCE,16.61,16.61
SUPREMEIND,43.16,43.16
SRF,35.89,34.87
BIRLACABLE,23.27,23.27
BALRAMCHIN,40.17,40.17
AEGISLOG,30.61,30.61
WEIZMANIND,18.76,18.76
UNICHEMLAB,12.66,37.84
BBOX,56.65,44.44
HONAUT,56.58,55.74
JTEKTINDIA,46.74,43.96
SAURASHCEM,94.49,42.16
RANEHOLDIN,18.30,19.35
PRECOT,16.42,16.42
TATAELXSI,34.07,31.64
SUNPHARMA,37.94,36.32
KOHINOOR,1.47,
SANDESH,7.41,7.29
HCC,36.53,42.16
BAJAJHIND,45.73,40.82
APOLLOHOSP,57.54,57.15
ARE&M,17.08,21.56
ADANIENT,52.26,100.49
IVP,6.76,6.69
BALKRISIND,32.01,32.01
INDBANK,17.31,17.31
GINNIFILA,10.42,10.42
EICHERMOT,36.57,36.30
GVT&D,85.58,82.72
NEULANDLAB,59.00,59.00
ONGC,6.63,6.59
ITI,79.74,
ZENSARTECH,13.64,13.31
TAINWALCHM,24.31,24.21
BERGEPAINT,47.04,46.61
BANARISUG,39.91,39.91
JINDALPOLY,,59.09
KPIL,21.45,21.85
JYOTISTRUC,18.18,18.18
IGARASHI,79.87,79.87
BSL,34.90,34.90
BLUEDART,41.57,36.81
JAYNECOIND,16.99,16.69
MUNJALSHOW,20.83,19.54
APCOTEXIND,20.92,20.98
SOTL,12.21,12.21
HSCL,41.54,41.54
RCF,14.15,15.33
RANASUG,40.86,
KARURVYSYA,12.33,12.33
DECCANCE,135.55,
WSI,170.23,178.49
UFLEX,7.27,7.17
TATAPOWER,22.23,22.05
ADVANIHOTR,19.85,19.27
THOMASCOOK,23.74,23.17
SUNFLAG,30.34,29.37
SUBROS,27.68,26.79
SPMLINFRA,17.25,17.25
SIMPLEXINF,45.72,46.42
SIEMENS,41.94,41.94
BHARATRAS,14.07,13.74
WIPRO,13.10,13.10
VSTIND,12.68,12.68
JUBLPHARMA,41.15,36.59
UNIVCABLES,25.98,25.98
TATACOMM,51.63,46.89
TOKYOPLAST,214.98,214.98
SOMANYCERA,23.14,22.55
MURUDCERA,18.75,18.75
IFCI,59.74,57.97
HLVLTD,88.59,54.18
SANOFI,22.69,21.44
M&M,19.35,19.15
LIBERTSHOE,46.72,46.87
KAJARIACER,36.17,34.29
KABRAEXTRU,3892.92,2638.61
HEIDELBERG,30.83,29.50
MODTHREAD,10.28,10.28
MODIRUBBER,40754.24,40754.24
MANGLMCEM,26.31,23.88
PRSMJOHNSN,37.79,150.77
POLYPLEX,13.89,13.89
PIDILITIND,62.31,62.32
PCBL,47.76,50.51
3PLAND,25.73,25.73
EIHAHOTELS,21.07,20.63
HONDAPOWER,30.59,27.56
JINDALSAW,33.10,33.10
SAIL,19.05,16.96
RUBYMILLS,31.66,31.66
STYRENIX,12.94,12.87
ABB,52.71,52.71
IDBI,10.61,10.61
GRAPHITE,67.43,66.84
CANFINHOME,9.49,9.49
BRITANNIA,47.34,47.34
BBL,23.23,23.23
ELECTCAST,42.92,35.14
DHAMPURSUG,16.15,16.15
DCMSHRIRAM,11.07,11.69
DABUR,34.69,34.49
COSMOFIRST,14.79,14.31
CIPLA,33.58,31.46
HEROMOTOCO,19.36,19.04
HDFCBANK,13.79,13.59
HARRMALAYA,13.02,13.02
GMBREW,12.33,12.33
GIPCL,6.42,6.42
ITC,16.33,16.38
INDIANHUME,14.42,22.00
HINDCOMPOS,17.96,17.17
IOC,5.45,5.45
OSWALGREEN,,13.47
HUHTAMAKI,14.30,14.30
RICOAUTO,52.95,44.23
KAMATHOTEL,14.58,18.93
IFBAGRO,13.96,13.96
BANCOINDIA,17.84,18.32
MANINDS,29.13,29.13
APOLLOTYRE,16.13,14.62
SIYSIL,10.68,10.68
SHANTIGEAR,70.06,66.42
PRECWIRE,51.07,51.07
ONWARDTEC,14.74,14.00
NILKAMAL,25.17,23.42
NCC,12.36,11.93
ICIL,57.41,57.41
SEAMECLTD,17.53,17.53
ELGIEQUIP,44.60,43.06
AUROPHARMA,25.39,24.91
BBTC,4.05,4.21
EIHOTEL,24.55,24.03
KANORICHEM,4.44,4.44
LICHSGFIN,5.31,5.31
GICHSGFIN,4.86,4.86
BEPL,16.15,16.15
RAIN,10.68,10.68
BANARBEADS,40.21,40.21
MOREPENLAB,45.80,54.85
WSTCSTPAPR,18.28,18.28
VENKEYS,14.00,14.00
GHCL,7.76,8.42
S&SPOWER,48.83,48.83
PRUDMOULI,6.93,6.93
PRAJIND,208.52,64.72
PGHH,31.71,31.71
VESUVIUS,35.68,35.68
TFCILTD,44.07,44.07
BOMDYEING,115.79,110.35
GTL,0.13,
NAVNETEDUL,9.29,52.86
GUJALKALI,80.01,80.01
AGI,13.26,13.12
GLAXO,46.59,47.27
TATACONSUM,61.42,60.89
ZEEL,43.60,42.14
