,31-Jul-2026
The Nifty witnessed an intraday movement of about 129.7 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 131274.78
, Traded Quantity (in Lakhs), 43656.92
, Number of Trades, 37626807
, Total Market Capitalisation (Rs. Crores), 48533664.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     40251.10,     40316.80,     40450.65,     39823.55,     40072.15,-178.95
,NIFTY OIL AND GAS,     11127.75,     11146.35,     11265.85,     11090.75,     11247.70,119.95
,NIFTY500 MULTICAP,     16503.95,     16547.60,     16614.05,     16514.90,     16578.60,74.65
,NIFTY LARGEMID250,     16719.20,     16759.55,     16827.25,     16723.85,     16796.85,77.65
,NIFTY MID SELECT,     14676.65,     14697.30,     14819.05,     14645.50,     14784.40,107.75
,NIFTY TOTAL MKT,     13166.25,     13200.10,     13256.05,     13180.05,     13230.25,64.00
,NIFTY MICROCAP250,     24908.10,     25059.65,     25249.55,     24977.05,     25178.75,270.65
,NIFTY IND DIGITAL,      8589.85,      8514.55,      8551.80,      8436.05,      8513.75,-76.10
,Nifty Tata 25 Cap,     14610.50,     14581.95,     14664.95,     14497.95,     14631.30,20.80
,Nifty MidSml Hlth,     51833.75,     51936.20,     51973.55,     51580.45,     51754.10,-79.65
,Nifty Multi Mfg,     16604.25,     16705.95,     16795.50,     16643.95,     16734.40,130.15
,Nifty Multi Infra,     14536.35,     14600.10,     14657.30,     14571.75,     14642.95,106.60
,BHARATBOND-APR30,      1607.00,      1607.32,      1608.05,      1607.31,      1608.05,1.05
,BHARATBOND-APR31,      1462.57,      1462.85,      1462.85,      1462.85,      1462.85,0.28
,BHARATBOND-APR32,      1331.41,      1331.66,      1331.67,      1331.66,      1331.66,0.25
,BHARATBOND-APR33,      1289.81,      1290.06,      1290.06,      1290.06,      1290.06,0.25
,Nifty Ind Defence,      9188.35,      9221.30,      9390.75,      9221.20,      9331.15,142.80
,Nifty Ind Tourism,      7899.25,      7925.40,      7948.40,      7862.50,      7872.85,-26.40
,Nifty Capital Mkt,      5232.20,      5244.10,      5321.00,      5234.60,      5307.15,74.95
,Nifty500Momentm50,     52461.90,     52878.70,     53496.85,     52870.70,     53337.25,875.35
,NiftyMS400 MQ 100,     50557.30,     50688.15,     51024.70,     50552.65,     50904.50,347.20
,NiftySml250MQ 100,     46779.10,     46930.25,     47120.05,     46806.15,     46941.50,162.40
,Nifty Top 10 EW,      8708.25,      8673.25,      8686.95,      8623.50,      8662.40,-45.85
,Nifty AQL 30,     23249.65,     23324.15,     23354.75,     23207.15,     23277.35,27.70
,Nifty AQLV 30,     20548.95,     20591.90,     20598.45,     20472.25,     20544.15,-4.80
,Nifty EV,      3218.75,      3238.75,      3268.10,      3217.00,      3258.55,39.80
,Nifty HighBeta 50,      4398.00,      4415.15,      4459.80,      4409.15,      4440.75,42.75
,Nifty New Consump,     11988.30,     12040.75,     12064.60,     11987.50,     12012.85,24.55
,Nifty Corp MAATR,     39010.85,     39175.60,     39479.40,     38931.60,     39356.80,345.95
,Nifty Low Vol 50,     25091.20,     25114.05,     25129.20,     25003.20,     25081.25,-9.95
,Nifty Mobility,     23149.95,     23284.55,     23452.30,     23154.60,     23404.85,254.90
,Nifty Qlty LV 30,     17010.30,     17021.15,     17026.95,     16912.45,     16963.85,-46.45
,Nifty Sml250 Q50,     25355.30,     25430.55,     25512.30,     25333.40,     25373.20,17.90
,Nifty Top 15 EW,      9897.45,      9927.25,      9973.75,      9876.65,      9946.65,49.20
,Nifty100 Alpha 30,     17899.85,     18001.70,     18160.20,     17978.30,     18103.20,203.35
,Nifty100 Enh ESG,      5091.20,      5100.20,      5134.60,      5089.95,      5125.00,33.80
,Nifty200 Value 30,     15084.85,     15110.60,     15154.45,     15028.10,     15131.20,46.35
,Nifty500 EW,     14868.20,     14913.75,     14965.15,     14860.10,     14932.65,64.45
,Nifty Multi MQ 50,     40344.90,     40514.35,     40884.85,     40514.35,     40728.75,383.85
,Nifty500 Value 50,     16079.60,     16122.65,     16173.80,     16044.75,     16147.85,68.25
,Nifty Top 20 EW,      8955.30,      8967.20,      9008.60,      8928.90,      8974.80,19.50
,Nifty CoreHousing,     15856.60,     15902.35,     15982.50,     15811.70,     15859.55,2.95
,Nifty FinSerExBnk,     31866.55,     32142.70,     32851.25,     32119.80,     32793.45,926.90
,Nifty Housing,     11973.20,     12008.20,     12037.65,     11977.05,     11999.75,26.55
,Nifty IPO,      2250.50,      2259.35,      2283.55,      2255.50,      2280.25,29.75
,Nifty MS Fin Serv,     22112.45,     22153.00,     22353.60,     22131.75,     22312.30,199.85
,Nifty MS Ind Cons,     19144.40,     19195.70,     19197.65,     18961.40,     19006.65,-137.75
,Nifty MS IT Telcm,      9695.55,      9671.45,      9710.10,      9519.60,      9681.75,-13.80
,Nifty NonCyc Cons,     15646.05,     15696.85,     15701.60,     15501.05,     15526.20,-119.85
,Nifty Rural,     15577.25,     15685.60,     15769.45,     15620.05,     15736.85,159.60
,Nifty Shariah 25,      8138.45,      8115.40,      8146.05,      8061.10,      8126.85,-11.60
,Nifty Trans Logis,     25850.25,     26050.40,     26244.20,     25840.20,     26149.70,299.45
,Nifty50 Shariah,      4406.60,      4375.95,      4395.85,      4352.80,      4371.85,-34.75
