Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
29 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,29 JUL 2026,              10.00,         111695680,           1405.60,   156999447808.00     
29 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,29 JUL 2026,               5.00,         289175042,           1017.50,   294235605235.00   
29 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,29 JUL 2026,              10.00,          24550000,            218.05,     5353127500.00 
29 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,29 JUL 2026,              10.00,         187787263,           1370.80,   257418780120.40       
29 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,29 JUL 2026,              10.00,          14926261,           1164.80,    17386108812.80   
29 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,29 JUL 2026,              10.00,          23989020,            492.05,    11803797291.00 
29 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,17 JUL 2026,              10.00,           3472000,            202.35,      702559200.00    
29 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,29 JUL 2026,              10.00,          11116000,            165.00,     1834140000.00     
29 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,29 JUL 2026,               1.00,         150560000,              4.90,      739249600.00  
29 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,29 JUL 2026,               2.00,         119083196,           1051.30,   125192163954.80       
29 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,29 JUL 2026,              10.00,          10200000,             19.85,      202674000.00  
29 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,24 JUL 2026,              10.00,          16383735,            134.00,     2195420490.00    
29 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,29 JUL 2026,               2.00,         123458394,            565.75,    69846586405.50       
29 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,29 JUL 2026,              10.00,          92172140,             48.25,     4446384033.60       
29 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,29 JUL 2026,               2.00,         706874336,            366.65,   259175475294.40 
