SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,82.38,88.89
WHEELS,19.97,19.97
RIIL,92.85,92.85
PREMIERPOL,21.94,21.94
RAYMOND,64.62,15.25
RSWM,15.21,13.53
SHREDIGCEM,58.42,58.42
SESHAPAPER,14.82,14.82
SMLMAH,47.85,47.85
SUNDRMFAST,41.44,40.79
EXIDEIND,44.53,44.21
ELECON,41.96,39.88
CRISIL,37.27,37.27
LMW,107.26,102.42
NELCO,575.84,214.97
MASTEK,13.50,12.99
MAHSCOOTER,55.97,55.97
LUMAXIND,29.77,27.97
TRENT,87.77,86.84
KECL,69.67,44.81
CUMMINSIND,62.83,61.02
KCP,8.14,7.83
JAYBARMARU,10.24,9.91
INFY,15.74,15.29
INDIAGLYCO,22.23,22.19
IONEXCHANG,56.50,50.24
IFBIND,34.29,32.20
IGPL,17.61,17.61
HIMATSEIDE,17.08,17.08
GNFC,7.81,7.81
GFLLIMITED,8.68,8.68
BPCL,8.03,8.88
BHARATFORG,139.06,444.62
BASF,26.86,26.86
FORCEMOT,20.06,22.82
ATUL,25.04,25.09
ARVIND,35.86,33.81
ACC,13.11,13.17
TMPV,1.53,1.45
SCI,8.60,8.60
MRPL,9.79,11.13
LINDEINDIA,105.79,105.79
HINDPETRO,49.65,49.65
ESCORTS,25.29,24.56
RELINFRA,0.59,0.79
BAJAJHLDNG,14.33,14.33
ASHOKLEY,27.89,26.05
ZUARIIND,7.49,6.88
VOLTAS,115.36,109.54
TITAN,78.59,77.57
TATASTEEL,20.64,19.20
SUNDARMFIN,22.39,21.82
SPIC,6.47,6.47
VEDL,3.78,3.58
SBIN,11.59,11.90
RELIANCE,20.40,20.40
PFIZER,31.22,29.85
NOCIL,41.28,39.24
BOSCHLTD,58.01,58.01
DRREDDY,31.46,31.46
BATAINDIA,62.88,90.15
DEEPAKFERT,18.66,18.66
CHAMBLFERT,9.19,9.19
CARBORUNIV,117.11,47.53
MAHSEAMLES,11.09,11.07
HINDOILEXP,85.55,85.55
DICIND,16.05,15.02
COROMANDEL,34.40,33.61
BALMLAWRIE,11.60,11.60
VINDHYATEL,12.90,12.90
MOTOGENFIN,0.69,54.26
MARALOVER,10.08,9.81
ASIANPAINT,54.33,53.10
RAMCOCEM,33.63,181.74
INDIACEM,129.17,83.22
PGHL,27.68,29.69
BEML,88.70,88.70
ADOR,22.66,22.29
CENTENKA,8.97,8.88
TORNTPHARM,86.32,83.41
VTL,19.92,19.92
SUNDROP,90.34,90.34
FEDERALBNK,18.84,18.84
EPL,19.86,18.73
VLSFINANCE,18.21,18.21
SUPREMEIND,42.57,42.57
SRF,35.45,34.44
BIRLACABLE,19.09,19.09
BALRAMCHIN,34.46,34.46
AEGISLOG,30.07,30.07
WEIZMANIND,20.42,20.42
UNICHEMLAB,12.59,37.63
BBOX,60.67,47.60
HONAUT,60.36,59.47
JTEKTINDIA,50.31,47.48
SAURASHCEM,101.34,45.22
RANEHOLDIN,18.81,21.80
PRECOT,26.75,26.75
TATAELXSI,35.32,32.80
SUNPHARMA,38.49,36.86
KOHINOOR,1.06,
SANDESH,7.62,7.50
HCC,31.65,36.52
BAJAJHIND,33.87,30.52
APOLLOHOSP,56.91,56.52
ARE&M,19.25,24.30
ADANIENT,53.79,103.42
IVP,5.91,5.86
BALKRISIND,34.34,34.34
INDBANK,20.03,20.03
GINNIFILA,10.63,10.63
EICHERMOT,38.28,38.00
GVT&D,86.45,83.56
NEULANDLAB,58.02,58.02
ONGC,6.71,6.67
ITI,93.22,
ZENSARTECH,14.49,14.14
TAINWALCHM,23.88,23.78
BERGEPAINT,53.59,53.10
BANARISUG,29.37,29.37
KPIL,21.14,21.53
JYOTISTRUC,20.50,20.50
IGARASHI,85.93,85.93
BSL,34.87,34.87
BLUEDART,42.10,37.28
JAYNECOIND,15.61,15.34
MUNJALSHOW,21.34,20.01
APCOTEXIND,19.35,19.40
SOTL,11.53,11.53
HSCL,47.84,47.84
RCF,16.02,17.43
RANASUG,8.31,
KARURVYSYA,11.93,11.93
DECCANCE,131.90,
WSI,168.95,177.14
UFLEX,11.34,11.02
TATAPOWER,23.07,22.88
ADVANIHOTR,19.43,18.89
THOMASCOOK,23.91,23.34
SUNFLAG,31.49,30.48
SUBROS,29.97,29.00
SPMLINFRA,18.89,18.89
SIMPLEXINF,43.21,43.87
SIEMENS,41.82,41.82
BHARATRAS,15.89,14.46
WIPRO,13.71,13.71
VSTIND,13.31,13.31
JUBLPHARMA,40.37,35.89
UNIVCABLES,27.29,27.29
TATACOMM,52.84,47.99
TOKYOPLAST,221.06,221.06
SOMANYCERA,20.64,20.12
MURUDCERA,19.89,19.89
IFCI,45.79,44.43
HLVLTD,98.68,60.35
SANOFI,23.07,21.79
M&M,20.91,20.69
LIBERTSHOE,47.93,48.09
KAJARIACER,35.93,34.06
KABRAEXTRU,3411.13,2312.06
HEIDELBERG,30.23,28.93
MODTHREAD,13.10,13.10
MODIRUBBER,473.13,473.13
MANGLMCEM,21.65,19.65
PRSMJOHNSN,36.00,143.63
POLYPLEX,13.69,13.69
PIDILITIND,64.71,64.72
PCBL,48.10,50.87
3PLAND,25.37,25.37
EIHAHOTELS,20.30,19.89
HONDAPOWER,32.39,29.18
JINDALSAW,28.70,28.70
SAIL,16.82,14.98
RUBYMILLS,28.85,28.85
STYRENIX,14.28,14.21
ABB,54.68,54.68
IDBI,9.52,9.52
GRAPHITE,67.89,67.30
CANFINHOME,9.69,9.69
BRITANNIA,52.10,52.10
BBL,23.22,23.22
ELECTCAST,37.66,30.83
DHAMPURSUG,14.52,14.52
DCMSHRIRAM,10.79,11.40
DABUR,37.48,37.25
COSMOFIRST,14.30,13.84
CIPLA,35.22,33.00
HEROMOTOCO,21.50,21.14
HDFCBANK,14.22,14.02
HARRMALAYA,13.92,13.92
GMBREW,12.13,12.13
GIPCL,5.37,5.37
ITC,17.14,17.19
INDIANHUME,13.85,21.13
HINDCOMPOS,19.22,18.37
IOC,5.56,5.56
OSWALGREEN,,14.28
HUHTAMAKI,15.41,15.41
RICOAUTO,53.57,44.75
KAMATHOTEL,11.91,15.46
IFBAGRO,15.91,15.91
BANCOINDIA,18.18,18.66
MANINDS,21.98,21.98
APOLLOTYRE,16.55,15.00
SIYSIL,12.06,12.06
SHANTIGEAR,47.99,45.49
