,07-Sep-2026
The Nifty witnessed an intraday movement of about 152.1 points.The closing index was 0.5 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 102943.51
, Traded Quantity (in Lakhs), 67620.02
, Number of Trades, 37505655
, Total Market Capitalisation (Rs. Crores), 48591358.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16408.05,     16403.25,     16520.35,     16385.10,     16520.30,112.25
,NIFTY CONSR DURBL,     39483.80,     39465.05,     39541.30,     39147.85,     39318.80,-165.00
,NIFTY OIL AND GAS,     11187.65,     11193.95,     11202.40,     11075.10,     11118.85,-68.80
,NIFTY500 MULTICAP,     16561.60,     16559.35,     16569.75,     16480.75,     16503.85,-57.75
,NIFTY LARGEMID250,     16654.90,     16652.50,     16665.00,     16549.50,     16576.65,-78.25
,NIFTY MID SELECT,     14713.65,     14724.05,     14762.45,     14602.55,     14650.70,-62.95
,NIFTY TOTAL MKT,     13148.10,     13146.95,     13154.15,     13080.20,     13097.80,-50.30
,NIFTY MICROCAP250,     26466.20,     26559.60,     26671.05,     26520.70,     26576.60,110.40
,NIFTY IND DIGITAL,      8761.45,      8731.15,      8737.25,      8639.30,      8681.65,-79.80
,Nifty Tata 25 Cap,     14367.00,     14346.60,     14368.45,     14173.60,     14239.50,-127.50
,Nifty MidSml Hlth,     51936.75,     51909.90,     52339.90,     51898.75,     52275.15,338.40
,Nifty Multi Mfg,     16769.35,     16766.40,     16794.10,     16704.55,     16732.55,-36.80
,Nifty Multi Infra,     14453.25,     14468.90,     14480.75,     14391.30,     14437.10,-16.15
,BHARATBOND-APR30,      1612.71,      1613.03,      1613.33,      1613.02,      1613.33,0.62
,BHARATBOND-APR31,      1462.64,      1462.93,      1462.94,      1462.93,      1462.93,0.29
,BHARATBOND-APR32,      1326.49,      1326.75,      1326.75,      1326.75,      1326.75,0.26
,BHARATBOND-APR33,      1285.39,      1285.65,      1285.65,      1285.65,      1285.65,0.26
,Nifty Ind Defence,      9708.85,      9736.90,      9827.65,      9710.15,      9754.55,45.70
,Nifty Ind Tourism,      7816.30,      7815.75,      7822.75,      7757.50,      7776.10,-40.20
,Nifty Capital Mkt,      5419.35,      5431.10,      5480.85,      5426.15,      5457.60,38.25
,Nifty500Momentm50,     54778.70,     54880.55,     55056.70,     54791.60,     54872.00,93.30
,NiftyMS400 MQ 100,     51529.60,     51528.90,     51643.85,     51420.75,     51489.15,-40.45
,NiftySml250MQ 100,     49171.75,     49201.35,     49468.75,     49147.15,     49230.40,58.65
,Nifty Top 10 EW,      8593.30,      8569.35,      8577.25,      8519.55,      8539.50,-53.80
,Nifty AQL 30,     22391.05,     22388.15,     22418.40,     22315.20,     22359.80,-31.25
,Nifty AQLV 30,     19838.35,     19839.70,     19854.35,     19744.40,     19788.40,-49.95
,Nifty EV,      3217.05,      3212.40,      3214.80,      3200.00,      3207.30,-9.75
,Nifty HighBeta 50,      4450.60,      4454.70,      4457.40,      4434.45,      4440.80,-9.80
,Nifty New Consump,     11964.65,     11963.95,     11968.05,     11897.05,     11921.50,-43.15
,Nifty Corp MAATR,     38713.55,     38660.10,     38684.20,     38314.85,     38396.65,-316.90
,Nifty Low Vol 50,     24256.60,     24221.85,     24230.75,     24060.10,     24089.45,-167.15
