Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
11 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,11 SEP 2026,               5.00,          35286502,            207.85,     7334652305.70 
11 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,11 SEP 2026,              10.00,          10500000,             38.40,      403095000.00
11 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,11 SEP 2026,               1.00,         406486596,           1091.00,   443476876236.00    
11 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,11 SEP 2026,              10.00,           8582670,           1419.90,    12186533133.00
11 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,11 SEP 2026,              10.00,         207403767,             22.85,     4739176075.95 
11 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,11 SEP 2026,              10.00,          11265070,          32710.00,   368480439700.00   
11 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,11 SEP 2026,               2.00,          18000000,             31.25,      562320000.00    
11 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,11 SEP 2026,              10.00,          46882257,            326.55,    15309401023.35    
11 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,11 SEP 2026,               2.00,          46078537,            908.90,    41880782279.30   
11 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,11 SEP 2026,              10.00,         177522358,             15.35,     2721417748.15  
11 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,11 SEP 2026,              10.00,          12826800,             91.90,     1178526384.00   
11 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,11 SEP 2026,              10.00,         437298899,            456.80,   199758137063.20 
11 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,11 SEP 2026,              10.00,          14172816,             63.00,      892887408.00    
11 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,11 SEP 2026,               1.00,         101250000,              9.10,      921375000.00    
11 SEP 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,11 SEP 2026,              10.00,          14138000,            141.55,     2001233900.00  
11 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,11 SEP 2026,              10.00,          28354303,             98.90,     2803957023.65
11 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,11 SEP 2026,              10.00,          42238628,             30.55,     1290812471.70    
11 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,11 SEP 2026,              10.00,          20946478,            126.95,     2658945917.30     
11 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,11 SEP 2026,               5.00,          31770375,             52.00,     1651741796.25   
11 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,11 SEP 2026,              10.00,          91270000,            428.50,    39109195000.00
11 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,11 SEP 2026,               5.00,         362594491,            492.70,   178650305715.70  
11 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,11 SEP 2026,               5.00,          90657751,            826.95,    74969427189.45
11 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,11 SEP 2026,              10.00,           8464995,            506.65,     4288789716.75 
