SYMBOL,SYMBOL P/E,ADJUSTED P/E
PRECWIRE,48.64,48.64
ONWARDTEC,15.02,14.26
NILKAMAL,24.77,23.04
NCC,12.01,11.60
ICIL,57.68,57.68
SEAMECLTD,17.40,17.40
ELGIEQUIP,43.98,42.46
AUROPHARMA,25.87,25.39
BBTC,3.87,4.02
EIHOTEL,24.07,23.56
KANORICHEM,4.99,4.99
LICHSGFIN,5.29,5.29
GICHSGFIN,4.65,4.65
BEPL,16.22,16.22
RAIN,10.96,10.96
BANARBEADS,38.71,38.71
MOREPENLAB,44.95,53.84
WSTCSTPAPR,19.76,19.76
VENKEYS,14.25,14.25
GHCL,7.53,8.17
S&SPOWER,52.30,52.30
PRUDMOULI,7.06,7.06
PRAJIND,199.51,61.92
PGHH,31.12,31.12
VESUVIUS,35.35,35.35
TFCILTD,43.01,43.01
BOMDYEING,115.09,109.69
GTL,0.13,
NAVNETEDUL,8.98,51.11
GUJALKALI,79.56,79.56
AGI,13.90,13.76
GLAXO,45.06,45.71
TATACONSUM,60.24,59.72
ZEEL,38.51,37.22
CHOLAFIN,27.61,27.61
INDHOTEL,44.13,48.52
FMGOETZE,13.85,13.03
KOTAKBANK,20.42,20.69
ORIENTHOT,37.49,37.12
GILLETTE,36.02,36.02
GOLDENTOBC,6.24,7.08
KANSAINER,26.26,24.41
FOSECOIND,45.97,41.20
ESABINDIA,40.40,43.59
3MINDIA,63.96,84.21
ANDHRAPAP,52.24,52.24
GABRIEL,79.53,76.83
SCHAEFFLER,49.13,49.13
AARTIIND,34.45,35.04
RALLIS,18.45,
AMJLAND,10.41,10.41
PRAKASH,7.08,7.08
MFSL,371.71,371.71
KSB,57.01,53.48
KOPRAN,45.58,45.58
HEG,13.42,13.42
GREAVESCOT,218.93,248.80
GODFRYPHLP,22.48,22.48
VARDMNPOLY,0.90,31.47
SURYAROSNI,15.08,15.08
TATAINVEST,75.75,75.75
GLFL,561.74,561.74
TIMKEN,58.77,58.77
SUDARSCHEM,113.41,75.47
SHREECEM,50.25,50.25
SAKHTISUG,8.32,8.32
IPCALAB,36.36,34.76
INGERRAND,54.62,53.20
JSWDULUX,7.38,40.64
HINDALCO,13.89,11.24
HINDZINC,14.70,14.71
HINDUNILVR,30.48,30.22
GSFC,9.22,9.22
GRASIM,19.85,19.46
AMBUJACEM,18.95,16.34
FINPIPE,15.84,15.84
FINCABLES,27.11,33.51
EIDPARRY,10.64,6.24
DCW,19.47,19.47
DCM,116.66,116.66
CGPOWER,116.19,113.93
SUDARCOLOR,18.39,13.25
CESC,12.02,12.02
BIRLACORPN,11.64,11.51
BHEL,61.48,61.48
BHARATGEAR,10.51,10.51
BEL,48.16,48.16
BAJFINANCE,31.46,31.19
ASHAPURMIN,12.60,12.47
PVP,1417.26,115.47
NAVA,16.27,16.27
CORALFINAC,9.21,9.21
GREENPLY,37.46,32.69
TNPL,4.09,4.09
AUTOAXLES,14.38,13.71
REMSONSIND,19.05,18.39
DALMIASUG,17.18,17.18
NATCOPHARM,12.81,12.81
KHAITANLTD,10.92,10.92
SWARAJENG,21.37,21.11
MRF,22.53,22.10
GARFIBRES,36.46,34.75
ANDHRSUGAR,11.98,11.16
TNPETRO,8.42,8.81
TTKPRESTIG,38.94,36.32
STARPAPER,8.57,8.57
SKFINDIA,36.12,32.53
AUSOMENT,8.40,8.40
EIMCOELECO,33.37,33.37
JAYAGROGN,14.23,14.23
CUBEXTUB,14.66,14.66
MARICO,53.41,53.41
SILINV,9.46,9.46
BIOFILCHEM,123.68,123.68
KEYFINSERV,23.80,23.09
ZENITHEXPO,381.42,381.42
SUNDRMBRAK,79.66,72.93
SANGAMIND,23.86,22.74
MOTHERSON,37.81,36.26
SOMATEX,31.18,75.42
VISAKAIND,9.25,11.70
AARTIDRUGS,20.87,20.70
STERTOOLS,29.99,55.37
CREST,29.00,29.00
INDIANCARD,20.77,17.97
HITECHGEAR,55.25,55.25
WENDT,102.29,102.29
DENORA,34.91,34.91
TVSSRICHAK,43.35,38.99
SHRIRAMFIN,21.58,21.58
PUNJABCHEM,20.47,19.97
DYNAMATECH,184.76,139.47
GUJAPOLLO,78.26,78.26
GANESHHOU,24.31,24.31
MMFL,18.37,27.40
JAGSNPHARM,33.79,32.68
ALKYLAMINE,43.61,43.61
BOSCH-HCIL,983.94,228.97
MPHASIS,22.90,22.59
GUJRAFFIA,18.86,18.86
RUCHINFRA,22.27,22.03
RAMCOIND,8.48,8.82
KOTHARIPET,11.71,11.68
HERITGFOOD,27.46,29.19
INDRAMEDCO,17.55,17.55
BANKBARODA,6.82,5.57
MADRASFERT,14.21,12.93
GAIL,11.62,11.62
INDNIPPON,26.93,29.98
SKMEGGPROD,11.72,11.72
BANKINDIA,5.45,5.45
CONCOR,30.78,30.78
ICICIBANK,17.72,17.72
KCPSUGIND,9.44,9.44
HUDCO,8.19,8.19
INDSWFTLAB,57.27,50.61
SAREGAMA,44.05,42.87
FDC,19.22,18.26
ENGINERSIN,19.50,19.50
ADROITINFO,16.51,16.51
JAICORPLTD,18.24,18.04
ANTGRAPHIC,10.30,10.30
GMDCLTD,19.30,32.05
INDUSINDBK,58.53,58.53
ASAHIINDIA,56.64,55.29
TRIGYN,17.41,15.58
J&KBANK,6.97,6.97
KOTHARIPRO,10.69,15.37
CUB,15.99,15.99
SOUTHBANK,7.99,7.99
ASTRAZEN,101.12,99.04
CEMPRO,35.75,35.75
AXISBANK,13.97,13.97
CYIENT,27.22,25.19
SONATSOFTW,15.75,14.41
NOIDATOLL,2.61,2.61
CYBERTECH,13.48,13.48
KOKUYOCMLN,35.94,35.94
DHANBANK,10.50,10.50
SANGHVIMOV,18.86,18.25
STCINDIA,17.43,18.66
MANUGRAPH,8.24,
VIPCLOTHNG,20.17,20.17
NATIONALUM,10.16,10.16
IVC,52.66,61.74
JINDALSTEL,42.82,29.24
ALEMBICLTD,8.53,8.53
ICDSLTD,129.27,129.27
BSOFT,13.46,12.93
HCLTECH,18.79,18.05
ACCELYA,17.50,16.54
STAR,17.68,18.81
ZYDUSLIFE,24.28,22.42
GLENMARK,37.91,22.25
RAJESHEXPO,17.43,17.43
CINEVISTA,13.51,13.51
SHREERAMA,24.04,24.04
WOCKPHARMA,87.16,89.83
NRBBEARING,33.21,32.78
IOB,10.62,10.62
RAMCOSYS,55.26,19.79
GVPIL,16.20,14.76
BIL,56.61,56.61
KTKBANK,8.75,8.75
MAHLIFE,23.08,24.89
MUKTAARTS,,18.77
BLBLIMITED,3.09,3.09
AJANTPHARM,38.76,38.76
BLUESTARCO,61.16,59.02
CALSOFT,8.84,8.84
TVSMOTOR,54.37,53.87
PNBGILTS,14.15,14.45
PNC,,6.67
TAJGVK,5.05,14.01
NLCINDIA,11.14,11.14
REPRO,4.49,
CHENNPETRO,5.80,5.80
TTML,187.05,
KRBL,12.78,12.78
HAVELLS,42.93,42.07
GAEL,18.17,18.03
USHAMART,29.77,29.00
AXISCADES,218.20,186.92
UMIYA-MRO,20.66,20.66
TIPSMUSIC,39.22,39.22
STLTECH,180.77,188.19
HIKAL,,53.86
TRIDENT,30.42,30.42
MARKSANS,28.72,28.72
SMARTLINK,13.21,13.21
GODREJCP,46.52,42.66
LUPIN,17.12,15.79
UNITDSPR,54.07,50.92
TCI,14.30,14.30
MPSLTD,24.57,25.24
BHARTIARTL,31.52,29.13
ASAL,24.82,23.95
OLECTRA,54.98,56.10
PONNIERODE,6.32,10.65
PNB,6.08,6.08
APTECHT,20.76,19.55
SURANAT&P,7.22,7.22
TEAMGTY,192.97,192.97
OFSS,29.92,29.92
UNIONBANK,6.63,6.63
NUCLEUS,17.51,16.15
CANBK,5.69,5.69
GENESYS,64.42,59.55
OMAXAUTO,9.31,9.31
GODREJIND,17.11,16.74
DIVISLAB,85.66,84.10
RADICO,84.93,84.07
INDORAMA,13.43,13.21
MARUTI,27.61,27.61
VARDHACRLC,8.52,8.52
UCOBANK,10.65,10.65
BAGFILMS,15.26,15.26
JSL,19.40,19.13
NSIL,49.98,49.97
WELSPUNLIV,69.49,67.89
JAIBALAJI,42.59,41.64
IGL,15.87,15.87
DREDGECORP,73.37,73.37
TVTODAY,38.14,0.89
UNIENTER,31.43,31.43
UPL,20.91,20.13
SIL,1.88,1.88
MUKANDLTD,3.26,3.26
PETRONET,10.29,10.29
PTC,7.75,7.71
VAIBHAVGBL,12.71,12.71
BIOCON,153.28,63.34
MAHABANK,8.61,8.61
POONAWALLA,50.29,50.29
XPROINDIA,90.91,90.91
RKFORGE,123.91,108.38
DATAMATICS,21.26,18.06
CCL,33.86,33.86
EXCELINDUS,17.48,17.48
LT,27.73,26.06
APARINDS,61.46,60.23
AMBICAAGAR,12.81,12.81
CENTEXT,14.73,14.22
NIITLTD,139.23,73.14
ULTRACEMCO,37.75,37.35
TCS,15.93,14.78
COFORGE,42.29,38.66
TEXINFRA,155.10,155.10
GULFPETRO,8.25,7.81
GUFICBIO,57.70,57.70
ASTRAMICRO,85.22,85.22
WELENT,31.74,29.54
NTPC,11.46,11.46
SALSTEEL,89.32,
KOTARISUG,44.89,
JBMA,58.74,57.26
DWARKESH,58.54,58.54
INDOCO,757.04,
SUPRAJIT,36.74,36.53
PATELENG,9.30,5.95
XCHANGING,11.66,11.66
JSWSTEEL,11.39,26.36
CONSOFINVT,18.02,18.02
JPPOWER,17.34,13.32
EVEREADY,14.93,
GOKEX,55.10,55.10
SAKSOFT,14.95,14.55
ALLDIGI,14.31,13.21
IIFL,11.46,11.46
WELCORP,31.58,31.58
SSWL,27.66,27.66
CYBERMEDIA,10.47,10.87
SHAHALLOYS,4.59,
SURYALAXMI,27.27,28.72
JKPAPER,22.72,22.02
PRIMESECU,201.68,55.39
GRANULES,33.64,34.36
JSWHL,92.47,91.30
VHL,4.36,4.36
GEOJITFSL,29.68,27.55
GENUSPOWER,15.23,15.23
YESBANK,18.54,18.54
MSPL,51.43,13.97
SPLIL,10.68,10.68
MCLEODRUSS,,8.56
SEMAC,13.22,13.22
GOLDIAM,23.40,23.40
RML,32.71,32.05
HTMEDIA,76.46,7.43
SASKEN,37.42,34.90
FCSSOFT,85.63,54.85
IMPAL,18.43,18.43
SUZLON,19.33,19.77
AURIONPRO,17.99,17.63
BASML,8.73,8.73
TRIVENI,21.21,20.60
AIAENG,30.37,30.31
NAHARINDUS,8.01,7.91
ORIENTCER,21.38,20.30
EKC,9.17,8.64
VIMTALABS,35.62,35.12
KERNEX,15.07,15.07
PVRINOX,27.02,24.26
NITINSPIN,17.24,17.24
ROHLTD,29.12,30.20
ENIL,,294.46
JAGRAN,7.52,7.52
SADBHAV,1.27,3.69
SAKUMA,23.34,23.34
KEC,19.88,18.28
JKCEMENT,40.48,39.08
INDOTECH,38.53,38.53
M&MFIN,15.32,14.84
BLKASHYAP,1787.50,30.72
VISACHROME,0.49,
CENTURYPLY,54.60,53.60
KEI,44.50,44.50
VAKRANGEE,58.92,59.02
SOLARINDS,98.71,98.68
GALLANTT,30.63,30.63
UTTAMSUGAR,12.33,12.18
KKCL,19.23,19.23
SUNTV,11.73,11.35
GPIL,21.02,20.66
RSYSTEMS,14.94,13.67
EMKAY,34.88,34.88
LOKESHMACH,171.39,171.39
BALPHARMA,23.33,23.33
SWELECTES,19.53,18.77
KAMDHENU,12.91,12.91
RATNAMANI,38.47,37.91
JKLAKSHMI,16.94,16.19
PFOCUS,168.19,101.95
ALLCARGO,55.64,46.10
MUNJALAU,19.72,19.32
EMAMILTD,21.59,21.33
GMRAIRPORT,135.86,114.95
TECHM,28.97,27.95
GRINDWELL,48.26,48.26
VOLTAMP,49.83,49.83
ANTELOPUS,29.78,27.94
ACE,30.56,30.56
ANANTRAJ,37.76,37.76
BILVYAPAR,29.95,28.92
TALBROAUTO,23.17,23.17
ALICON,33.24,32.73
GEECEE,16.41,16.74
MBECL,0.29,
JMFINANCIL,10.96,10.80
FIEMIND,19.89,19.89
DCBBANK,9.29,9.29
INSPIRISYS,8.79,8.35
GTLINFRA,1.37,
NAUKRI,42.94,46.70
GESHIP,5.34,5.34
TORNTPOWER,27.34,27.34
MANALIPETC,8.24,12.61
LTFOODS,23.94,23.94
DONEAR,9.65,9.65
RUCHIRA,9.90,9.90
SOBHA,57.29,57.29
VENUSREM,18.69,18.69
JINDRILL,9.89,9.72
HIRECT,136.96,140.97
NFL,9.35,9.35
PLASTIBLEN,11.81,11.81
