Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
10 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,10 AUG 2026,               5.00,          35286502,            188.55,     6652564222.05 
10 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,10 AUG 2026,              10.00,          10500000,             43.15,      453285000.00
10 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,10 AUG 2026,               1.00,         406486596,           1175.60,   477865642257.60    
10 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,10 AUG 2026,              10.00,           8582670,           1244.60,    10681991082.00
10 AUG 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,10 AUG 2026,              10.00,         207403767,             27.15,     5626864198.70 
10 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,10 AUG 2026,              10.00,          11265070,          35900.00,   404416013000.00   
10 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,10 AUG 2026,               2.00,          18000000,             31.50,      567000000.00    
10 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,10 AUG 2026,              10.00,          46882257,            384.40,    18021539590.80    
10 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,10 AUG 2026,               2.00,          46078537,            861.10,    39678228210.70   
10 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,10 AUG 2026,              10.00,         177522358,             16.60,     2946871142.80  
10 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,10 AUG 2026,              10.00,          12826800,             99.50,     1276010064.00   
10 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,10 AUG 2026,              10.00,         437298899,            501.65,   219370992683.35 
10 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,10 AUG 2026,              10.00,          14172816,             57.50,      814936920.00    
10 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,10 AUG 2026,               1.00,         101250000,              9.05,      915300000.00    
10 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,10 AUG 2026,              10.00,          14138000,             74.30,     1050453400.00  
10 AUG 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,10 AUG 2026,              10.00,          28354303,             83.80,     2376374134.45
