,28-Aug-2026
The Nifty witnessed an intraday movement of about 111.45 points.The closing index was 0.35 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110671.11
, Traded Quantity (in Lakhs), 47505.80
, Number of Trades, 34007193
, Total Market Capitalisation (Rs. Crores), 49226698.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16707.70,     16744.45,     16818.50,     16673.20,     16798.50,90.80
,NIFTY CONSR DURBL,     40737.85,     40897.10,     40923.10,     40443.35,     40543.45,-194.40
,NIFTY OIL AND GAS,     11060.65,     11079.15,     11089.30,     11030.90,     11067.70,7.05
,NIFTY500 MULTICAP,     16695.70,     16719.55,     16747.95,     16683.10,     16729.70,34.00
,NIFTY LARGEMID250,     16863.45,     16882.85,     16905.75,     16833.15,     16882.90,19.45
,NIFTY MID SELECT,     14948.85,     14953.50,     15018.55,     14944.70,     14966.70,17.85
,NIFTY TOTAL MKT,     13269.05,     13286.90,     13309.45,     13252.60,     13296.05,27.00
,NIFTY MICROCAP250,     26379.40,     26428.20,     26495.10,     26387.85,     26460.95,81.55
,NIFTY IND DIGITAL,      8751.70,      8791.15,      8891.60,      8790.10,      8873.40,121.70
,Nifty Tata 25 Cap,     14405.50,     14473.25,     14528.10,     14432.85,     14525.00,119.50
,Nifty MidSml Hlth,     52629.90,     52732.85,     52920.10,     52507.30,     52722.55,92.65
,Nifty Multi Mfg,     17001.10,     17044.35,     17056.30,     16974.20,     17039.35,38.25
,Nifty Multi Infra,     14560.20,     14582.10,     14594.05,     14523.10,     14560.10,-0.10
,BHARATBOND-APR30,      1606.67,      1606.99,      1607.00,      1606.24,      1606.24,-0.43
,BHARATBOND-APR31,      1458.82,      1459.10,      1459.11,      1458.54,      1458.54,-0.28
,BHARATBOND-APR32,      1324.95,      1325.21,      1325.21,      1324.35,      1324.35,-0.60
,BHARATBOND-APR33,      1284.11,      1284.36,      1284.37,      1282.57,      1282.57,-1.54
,Nifty Ind Defence,      9802.35,      9799.10,      9800.60,      9685.85,      9751.65,-50.70
,Nifty Ind Tourism,      7985.75,      7982.05,      7986.80,      7895.80,      7898.05,-87.70
,Nifty Capital Mkt,      5465.15,      5461.85,      5509.10,      5438.55,      5507.85,42.70
,Nifty500Momentm50,     56007.00,     56117.25,     56142.85,     55803.00,     56142.85,135.85
,NiftyMS400 MQ 100,     52323.65,     52374.25,     52488.25,     52239.45,     52472.65,149.00
,NiftySml250MQ 100,     49092.50,     49221.80,     49271.75,     49090.50,     49194.35,101.85
,Nifty Top 10 EW,      8573.75,      8593.95,      8646.05,      8588.90,      8641.50,67.75
,Nifty AQL 30,     22919.30,     22972.30,     22988.65,     22887.50,     22971.25,51.95
,Nifty AQLV 30,     20116.90,     20162.65,     20192.40,     20108.60,     20192.40,75.50
,Nifty EV,      3322.00,      3329.80,      3341.85,      3313.90,      3333.00,11.00
,Nifty HighBeta 50,      4564.25,      4569.90,      4571.90,      4524.05,      4538.35,-25.90
,Nifty New Consump,     12234.70,     12263.35,     12266.80,     12177.60,     12202.10,-32.60
,Nifty Corp MAATR,     39175.10,     39261.15,     39320.85,     39049.10,     39284.90,109.80
,Nifty Low Vol 50,     24555.80,     24614.85,     24644.40,     24541.20,     24626.90,71.10
,Nifty Mobility,     23731.65,     23786.35,     23796.10,     23571.00,     23676.10,-55.55
,Nifty Qlty LV 30,     16628.15,     16673.80,     16708.55,     16615.95,     16686.05,57.90
,Nifty Sml250 Q50,     25456.25,     25510.10,     25637.20,     25464.10,     25595.25,139.00
,Nifty Top 15 EW,      9770.35,      9781.90,      9832.95,      9777.20,      9820.15,49.80
,Nifty100 Alpha 30,     18556.15,     18600.90,     18601.75,     18415.55,     18535.25,-20.90
,Nifty100 Enh ESG,      5063.50,      5070.95,      5083.25,      5055.70,      5076.85,13.35
,Nifty200 Value 30,     14843.65,     14862.90,     14874.20,     14791.50,     14866.45,22.80
,Nifty500 EW,     15125.10,     15151.80,     15176.85,     15124.60,     15147.15,22.05
,Nifty Multi MQ 50,     42257.45,     42338.55,     42342.35,     42099.95,     42284.75,27.30
,Nifty500 Value 50,     16011.30,     16044.45,     16081.85,     15997.50,     16067.10,55.80
,Nifty Top 20 EW,      8865.60,      8879.95,      8924.80,      8876.35,      8914.40,48.80
,Nifty CoreHousing,     15836.45,     15873.35,     15879.70,     15694.25,     15768.75,-67.70
,Nifty FinSerExBnk,     32656.80,     32601.10,     32667.75,     32445.25,     32569.55,-87.25
,Nifty Housing,     11950.00,     11959.15,     11965.50,     11874.40,     11926.65,-23.35
,Nifty IPO,      2405.80,      2411.10,      2411.95,      2391.65,      2393.75,-12.05
,Nifty MS Fin Serv,     22855.70,     22836.15,     22888.90,     22760.10,     22821.65,-34.05
,Nifty MS Ind Cons,     18903.10,     18950.20,     18963.25,     18799.70,     18811.80,-91.30
,Nifty MS IT Telcm,     10175.00,     10204.45,     10414.70,     10201.65,     10405.25,230.25
,Nifty NonCyc Cons,     15314.40,     15345.60,     15350.40,     15228.25,     15273.50,-40.90
,Nifty Rural,     15450.15,     15462.70,     15472.55,     15347.80,     15403.85,-46.30
,Nifty Shariah 25,      7949.10,      7982.70,      8028.60,      7974.70,      8027.30,78.20
,Nifty Trans Logis,     26549.20,     26610.90,     26618.20,     26369.90,     26493.45,-55.75
,Nifty50 Shariah,      4234.10,      4259.65,      4291.20,      4255.35,      4291.20,57.10
,Nifty500 LMS Eql,     18720.70,     18748.30,     18779.60,     18712.50,     18756.75,36.05
,Nifty500 Shariah,      7031.95,      7058.00,      7081.85,      7050.35,      7081.40,49.45
,Nifty500 Qlty50,     19718.45,     19771.10,     19888.90,     19765.35,     19881.90,163.45
,Nifty500 LowVol50,     22194.35,     22256.15,     22299.40,     22200.10,     22263.50,69.15
,Nifty500 MQVLv50,     30532.80,     30602.05,     30620.70,     30480.75,     30584.15,51.35
,Nifty500 Flexicap,     10087.75,     10120.75,     10185.95,     10113.55,     10181.20,93.45
,Nifty TMMQ 50,     44983.30,     45068.75,     45108.05,     44886.90,     45108.05,124.75
,Nifty FPI 150,      1570.95,      1573.25,      1576.40,      1568.60,      1574.95,4.00
,Nifty SME Emerge,     14662.90,     14668.10,     14770.35,     14667.75,     14747.15,84.25
,Nifty Internet,      1474.90,      1477.10,      1481.35,      1463.80,      1466.80,-8.10
,Nifty Chemicals,     30402.70,     30462.65,     30472.85,     30152.70,     30190.75,-211.95
,Nifty Waves,      1918.80,      1921.05,      1933.20,      1916.15,      1921.50,2.70
,Nifty InfraLog,     12138.90,     12149.45,     12155.10,     12068.45,     12104.50,-34.40
,Nifty500 Health,     21770.50,     21820.15,     21878.65,     21754.30,     21855.90,85.40
,Nifty RailwaysPSU,      2786.50,      2798.40,      2814.30,      2791.05,      2801.30,14.80
,NiftyConglomerate,     15375.60,     15396.40,     15437.85,     15349.15,     15425.00,49.40
,Nifty MidSmall 50 50,     21121.55,     21154.55,     21197.65,     21125.00,     21157.45,35.90
,Nifty Cement,     14904.65,     14912.35,     14924.40,     14745.25,     14820.55,-84.10
,Nifty Smallcap 500,     21029.55,     21072.20,     21130.35,     21052.60,     21100.35,70.80
,Nifty REITs Realty,      1944.50,      1948.75,      1951.65,      1940.80,      1946.10,1.60
,India VIX,11.0675,11.0675,11.1425,10.5325,10.6800,-0.3875

,ADVANCES,2174
,DECLINES,1729
,UNCHANGED,116

,Total securities that have hit their price bands today,257

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,TEMPSENS,EQ,       300.00,       586.65,95.55,3036.32
,TEJASNET,EQ,       511.15,       550.15,7.63,2418.82
,ATHERENERG,EQ,      1495.30,      1616.30,8.09,2314.19
,MVELECTRO,EQ,       646.80,       719.55,11.25,2037.30
,BSE,EQ,      3328.00,      3405.00,2.31,1613.91
,COALINDIA,EQ,       400.00,       401.00,0.25,1536.89
,IFCI,EQ,        84.27,        89.96,6.75,1244.66
,ICICIBANK,EQ,      1443.00,      1422.80,-1.40,1231.42
,HDFCBANK,EQ,       711.00,       720.30,1.31,1179.60
,BHARTIARTL,EQ,      1878.30,      1882.40,0.22,1148.07
,TVSMOTOR,EQ,      4409.80,      4304.20,-2.39,1129.76
,INFY,EQ,      1110.80,      1144.00,2.99,1096.31
,COFORGE,EQ,      1901.80,      2014.60,5.93,1093.40
,FMGOETZE,EQ,       545.55,       602.05,10.36,1082.35
,NETWEB,EQ,      5272.20,      5322.90,0.96,1050.86
,ETERNAL,EQ,       328.50,       328.00,-0.15,1027.72
,GROWW,EQ,       196.84,       191.46,-2.73,1023.06
,MASTEK,EQ,      1611.60,      1901.40,17.98,1002.88
,SAIL,EQ,       193.00,       200.00,3.63,963.82
,TCS,EQ,      2248.40,      2342.00,4.16,943.78
,RELIANCE,EQ,      1282.20,      1287.00,0.37,877.35
,KOTAKBANK,EQ,       424.20,       423.70,-0.12,803.66
,CGCL,EQ,       244.80,       257.98,5.38,747.98
,TATASTEEL,EQ,       186.80,       186.50,-0.16,730.94
,DIVISLAB,EQ,      9060.00,      9239.00,1.98,710.67

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2342.00,      2248.40,4.16
,TECHM,EQ,      1640.90,      1585.00,3.53
,INFY,EQ,      1144.00,      1110.80,2.99
,HCLTECH,EQ,      1316.10,      1282.00,2.66
,WIPRO,EQ,       180.95,       176.40,2.58

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ICICIBANK,EQ,      1422.80,      1443.00,-1.40
,SHRIRAMFIN,EQ,      1086.90,      1101.00,-1.28
,ITC,EQ,       266.00,       269.00,-1.12
,ULTRACEMCO,EQ,     11589.00,     11717.00,-1.09
,ASIANPAINT,EQ,      2608.70,      2631.00,-0.85

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,1003IIFL29,NC,      1024.00,                   649439.57,649
,1003ISFL28,N4,      1014.89,                    55818.95,55
,1003SCL30A,NV,       788.00,                    21123.00,28
,1015ECL29,NR,      1019.00,                     3059.00,3
