,04-Sep-2026
The Nifty witnessed an intraday movement of about 109.9 points.The closing index was 0.1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 116163.36
, Traded Quantity (in Lakhs), 61157.95
, Number of Trades, 35661613
, Total Market Capitalisation (Rs. Crores), 48780877.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16552.20,     16548.95,     16573.30,     16400.70,     16408.05,-144.15
,NIFTY CONSR DURBL,     39652.70,     39556.35,     39609.65,     39364.65,     39483.80,-168.90
,NIFTY OIL AND GAS,     11164.65,     11157.60,     11238.45,     11152.20,     11187.65,23.00
,NIFTY500 MULTICAP,     16559.45,     16584.95,     16626.35,     16561.50,     16561.60,2.15
,NIFTY LARGEMID250,     16670.70,     16686.25,     16723.95,     16654.90,     16654.90,-15.80
,NIFTY MID SELECT,     14760.00,     14780.90,     14823.20,     14712.85,     14713.65,-46.35
,NIFTY TOTAL MKT,     13144.00,     13163.65,     13198.75,     13148.10,     13148.10,4.10
,NIFTY MICROCAP250,     26288.90,     26381.95,     26482.65,     26366.35,     26466.20,177.30
,NIFTY IND DIGITAL,      8773.25,      8787.15,      8847.25,      8758.55,      8761.45,-11.80
,Nifty Tata 25 Cap,     14352.25,     14373.45,     14405.65,     14303.75,     14367.00,14.75
,Nifty MidSml Hlth,     52175.60,     52180.50,     52244.65,     51883.05,     51936.75,-238.85
,Nifty Multi Mfg,     16787.10,     16795.05,     16821.25,     16746.95,     16769.35,-17.75
,Nifty Multi Infra,     14469.35,     14487.95,     14535.20,     14450.85,     14453.25,-16.10
,BHARATBOND-APR30,      1610.58,      1610.90,      1611.14,      1610.90,      1611.14,0.56
,BHARATBOND-APR31,      1460.65,      1460.94,      1460.95,      1460.94,      1460.94,0.29
,BHARATBOND-APR32,      1324.23,      1324.48,      1324.49,      1324.40,      1324.40,0.17
,BHARATBOND-APR33,      1283.54,      1283.80,      1283.80,      1283.15,      1283.15,-0.39
,Nifty Ind Defence,      9670.90,      9722.95,      9825.20,      9706.10,      9708.85,37.95
,Nifty Ind Tourism,      7835.30,      7835.05,      7858.70,      7816.05,      7816.30,-19.00
,Nifty Capital Mkt,      5357.20,      5406.40,      5453.35,      5389.40,      5419.35,62.15
,Nifty500Momentm50,     54963.70,     55017.05,     55123.95,     54727.90,     54778.70,-185.00
,NiftyMS400 MQ 100,     51755.20,     51789.80,     51810.90,     51490.15,     51529.60,-225.60
,NiftySml250MQ 100,     49077.45,     49257.85,     49391.35,     49134.60,     49171.75,94.30
,Nifty Top 10 EW,      8587.05,      8604.55,      8645.35,      8593.30,      8593.30,6.25
