SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,73.39,79.19
WHEELS,25.32,25.32
RIIL,93.48,93.48
PREMIERPOL,28.58,28.58
RAYMOND,77.34,18.26
RSWM,16.42,14.61
SHREDIGCEM,61.14,61.14
SESHAPAPER,14.85,14.85
SMLMAH,58.28,58.28
SUNDRMFAST,41.52,40.87
EXIDEIND,38.51,38.23
ELECON,41.23,39.18
CRISIL,39.71,39.71
LMW,114.74,109.57
NELCO,538.69,201.10
MASTEK,13.16,12.66
MAHSCOOTER,55.81,55.81
LUMAXIND,30.84,28.98
TRENT,83.83,82.94
KECL,112.54,55.39
CUMMINSIND,58.96,57.27
KCP,8.64,8.32
JAYBARMARU,9.58,9.27
INFY,15.12,14.69
INDIAGLYCO,5.52,5.51
IONEXCHANG,61.35,54.56
IFBIND,32.97,30.97
IGPL,21.40,21.40
HIMATSEIDE,16.04,16.04
GNFC,8.46,8.46
GFLLIMITED,11.38,11.38
BPCL,7.99,8.84
BHARATFORG,130.67,417.81
BASF,26.02,26.02
FORCEMOT,18.22,20.72
ATUL,23.18,23.23
ARVIND,34.98,32.98
ACC,12.63,12.69
TMPV,1.44,1.36
SCI,8.50,8.50
MRPL,9.76,11.10
LINDEINDIA,99.06,99.06
HINDPETRO,45.39,45.39
ESCORTS,24.02,23.33
RELINFRA,0.44,0.59
BAJAJHLDNG,13.81,13.81
ASHOKLEY,26.61,24.85
ZUARIIND,7.74,7.43
VOLTAS,87.56,83.83
TITAN,77.37,76.37
TATASTEEL,20.92,19.46
SUNDARMFIN,23.27,22.68
SPIC,7.08,7.08
VEDL,3.73,3.53
SBIN,10.88,11.17
RELIANCE,20.29,20.29
PFIZER,28.69,27.42
NOCIL,43.55,41.40
BOSCHLTD,58.44,58.44
DRREDDY,30.18,30.18
BATAINDIA,59.15,84.80
DEEPAKFERT,17.46,17.46
CHAMBLFERT,8.71,8.71
CARBORUNIV,114.72,46.56
MAHSEAMLES,12.51,12.48
HINDOILEXP,97.48,97.48
DICIND,19.63,18.37
COROMANDEL,32.17,31.43
BALMLAWRIE,11.83,11.83
