SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,80.04,85.15
WHEELS,24.33,24.33
RIIL,111.90,111.90
PREMIERPOL,21.60,21.60
RAYMOND,70.87,15.36
RSWM,19.79,17.17
SHREDIGCEM,43.29,43.29
SESHAPAPER,20.48,20.48
SMLMAH,37.78,37.78
SUNDRMFAST,34.20,33.65
EXIDEIND,43.86,43.51
ELECON,42.75,40.62
CRISIL,35.58,35.58
LMW,131.66,124.80
NELCO,564.98,207.11
MASTEK,12.96,12.47
MAHSCOOTER,47.54,47.54
LUMAXIND,40.43,36.70
TRENT,89.88,88.87
KECL,61.15,39.33
CUMMINSIND,73.85,71.78
KCP,7.88,7.62
JAYBARMARU,13.56,13.11
INFY,14.78,14.35
INDIAGLYCO,31.40,31.31
IONEXCHANG,45.37,41.77
IFBIND,37.87,35.34
IGPL,588.34,588.34
HIMATSEIDE,17.08,17.08
GNFC,9.31,9.31
BPCL,5.69,5.63
BHARATFORG,95.79,87.73
BASF,40.16,40.16
FORCEMOT,19.01,21.73
ATUL,26.61,26.67
ARVIND,33.10,32.23
ACC,12.23,12.38
TMPV,,29.11
SCI,9.73,9.73
MRPL,9.96,11.35
LINDEINDIA,121.05,121.05
HINDPETRO,5.23,5.23
ESCORTS,24.20,24.58
BAJAJHLDNG,53.25,142.91
ASHOKLEY,24.64,22.99
VOLTAS,89.85,86.45
TITAN,82.07,80.86
TATASTEEL,22.22,20.86
SUNDARMFIN,24.78,24.08
SPIC,7.68,7.68
VEDL,6.53,5.95
SBIN,11.32,11.63
RELIANCE,20.06,20.06
PFIZER,29.09,27.79
NOCIL,50.01,47.10
BOSCHLTD,43.52,51.88
DRREDDY,24.29,24.29
BATAINDIA,66.93,96.39
DEEPAKFERT,27.45,27.45
CHAMBLFERT,9.65,9.65
CARBORUNIV,151.23,50.20
MAHSEAMLES,10.93,10.86
HINDOILEXP,34.25,70.52
DICIND,25.13,22.76
COROMANDEL,31.93,31.24
BALMLAWRIE,15.09,15.09
MOTOGENFIN,0.72,
MARALOVER,71.31,60.26
ASIANPAINT,61.07,59.48
RAMCOCEM,31.34,122.18
INDIACEM,135.77,87.47
PGHL,34.42,34.42
BEML,105.25,105.25
ADOR,23.10,22.72
CENTENKA,11.70,11.53
TATACHEM,,216.18
TORNTPHARM,79.79,77.56
VTL,25.73,25.73
SUNDROP,120.36,120.36
FEDERALBNK,18.19,18.19
EPL,19.29,18.19
VLSFINANCE,37.30,37.30
SUPREMEIND,50.63,50.63
SRF,47.47,45.89
BIRLACABLE,32.91,32.91
BALRAMCHIN,38.17,38.17
AEGISLOG,41.66,41.66
WEIZMANIND,17.34,17.34
UNICHEMLAB,16.35,82.62
BBOX,66.24,52.28
HONAUT,64.96,63.96
JTEKTINDIA,48.28,45.56
SAURASHCEM,45.65,28.97
RANEHOLDIN,16.18,18.40
PRECOT,28.63,28.63
TATAELXSI,32.94,30.59
SUNPHARMA,40.70,37.50
KOHINOOR,1.09,
SHREYANIND,29.18,29.18
SANDESH,11.28,11.00
HCC,37.10,43.06
BAJAJHIND,32.84,29.60
APOLLOHOSP,65.56,65.06
ARE&M,18.49,23.52
ADANIENT,44.44,170.30
IVP,8.69,8.55
BALKRISIND,31.69,31.69
INDBANK,20.27,20.27
GINNIFILA,10.41,9.42
EICHERMOT,44.74,44.34
GVT&D,93.17,89.87
NEULANDLAB,66.60,66.60
ONGC,6.72,6.68
ITI,93.94,
ZENSARTECH,15.10,14.73
TAINWALCHM,18.03,18.03
BERGEPAINT,54.83,52.92
BANARISUG,29.46,29.46
KPIL,22.23,22.68
JYOTISTRUC,23.80,23.80
IGARASHI,118.54,118.54
BSL,54.58,54.58
