SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,81.22,87.63
WHEELS,20.30,20.30
RIIL,92.65,92.65
PREMIERPOL,20.82,20.82
RAYMOND,65.17,15.39
RSWM,15.47,13.76
SHREDIGCEM,59.34,59.34
SESHAPAPER,14.84,14.84
SMLMAH,48.19,48.19
SUNDRMFAST,41.44,40.79
EXIDEIND,43.86,43.55
ELECON,41.48,39.42
CRISIL,37.05,37.05
LMW,105.88,101.10
NELCO,588.25,219.60
MASTEK,13.45,12.94
MAHSCOOTER,56.57,56.57
LUMAXIND,29.92,28.11
TRENT,88.15,87.22
KECL,71.12,45.74
CUMMINSIND,62.98,61.18
KCP,8.10,7.79
JAYBARMARU,9.96,9.63
INFY,15.93,15.48
INDIAGLYCO,24.57,24.51
IONEXCHANG,57.10,50.78
IFBIND,34.74,32.63
IGPL,17.59,17.59
HIMATSEIDE,15.49,15.49
GNFC,7.77,7.77
GFLLIMITED,8.57,8.57
BPCL,8.05,8.90
BHARATFORG,137.02,438.11
BASF,27.18,27.18
FORCEMOT,19.08,21.70
ATUL,24.87,24.92
ARVIND,36.17,35.23
ACC,13.18,13.24
TMPV,1.55,1.47
SCI,8.46,8.46
MRPL,10.11,11.50
LINDEINDIA,108.83,108.83
HINDPETRO,49.76,49.76
ESCORTS,25.14,24.41
RELINFRA,0.60,0.80
BAJAJHLDNG,14.29,14.29
ASHOKLEY,27.60,25.78
ZUARIIND,7.27,6.68
VOLTAS,114.47,108.69
TITAN,79.04,78.01
TATASTEEL,20.86,19.41
SUNDARMFIN,22.26,21.69
SPIC,6.44,6.44
VEDL,3.77,3.57
SBIN,11.41,11.72
RELIANCE,20.32,20.32
PFIZER,30.48,29.14
NOCIL,41.92,39.84
BOSCHLTD,56.40,56.40
DRREDDY,31.60,31.60
BATAINDIA,61.53,88.22
DEEPAKFERT,19.20,19.20
CHAMBLFERT,9.23,9.23
CARBORUNIV,119.10,48.33
MAHSEAMLES,10.82,10.79
HINDOILEXP,34.76,71.56
DICIND,24.65,22.34
COROMANDEL,34.60,33.80
BALMLAWRIE,11.50,11.50
VINDHYATEL,12.13,12.13
MOTOGENFIN,0.68,53.46
MARALOVER,10.12,9.85
ASIANPAINT,54.25,53.01
RAMCOCEM,34.19,184.80
INDIACEM,128.60,82.85
PGHL,28.05,30.09
BEML,88.78,88.78
ADOR,23.08,22.70
CENTENKA,8.97,8.88
TORNTPHARM,86.20,83.30
VTL,20.06,20.06
SUNDROP,91.02,91.02
FEDERALBNK,18.71,18.71
EPL,19.21,18.12
VLSFINANCE,17.59,17.59
SUPREMEIND,42.26,42.26
SRF,35.24,34.24
BIRLACABLE,18.18,18.18
BALRAMCHIN,35.78,35.78
AEGISLOG,30.86,30.86
WEIZMANIND,20.43,20.43
UNICHEMLAB,13.26,39.62
BBOX,60.69,47.90
HONAUT,60.86,59.96
JTEKTINDIA,50.93,48.06
SAURASHCEM,101.27,45.19
RANEHOLDIN,18.54,21.49
PRECOT,26.24,26.24
TATAELXSI,36.11,33.54
SUNPHARMA,38.45,36.82
KOHINOOR,1.06,
SHREYANIND,29.96,29.96
SANDESH,7.66,7.53
HCC,31.66,36.54
BAJAJHIND,34.23,30.84
APOLLOHOSP,62.83,62.36
ARE&M,19.26,24.32
ADANIENT,53.96,103.76
IVP,5.88,5.82
BALKRISIND,34.37,34.37
INDBANK,19.71,19.71
GINNIFILA,10.89,10.89
EICHERMOT,38.05,37.76
GVT&D,86.72,83.82
NEULANDLAB,59.17,59.17
ONGC,6.72,6.68
ITI,93.88,
ZENSARTECH,14.67,14.32
TAINWALCHM,23.79,23.70
BERGEPAINT,51.21,50.75
BANARISUG,29.54,29.54
KPIL,20.39,20.77
JYOTISTRUC,20.91,20.91
IGARASHI,87.84,87.84
BSL,34.77,34.77
BLUEDART,42.10,37.28
JAYNECOIND,16.01,15.73
