,30-Jul-2026
The Nifty witnessed an intraday movement of about 155.85 points.The closing index was 0.28 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 125195.58
, Traded Quantity (in Lakhs), 39563.55
, Number of Trades, 37584237
, Total Market Capitalisation (Rs. Crores), 48188512.53

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24250.20,     24249.55,     24342.95,     24187.10,     24317.15,66.95
,NIFTY50 EQL Wgt,     33235.40,     33222.85,     33341.65,     33169.10,     33297.95,62.55
,NIFTY100 EQL Wgt,     34898.65,     34888.10,     34954.75,     34790.85,     34930.65,32.00
,NIFTY100 LowVol30,     20516.40,     20511.15,     20604.00,     20465.50,     20556.60,40.20
,NIFTY Alpha 50,     53779.65,     53811.15,     53811.15,     53343.60,     53607.30,-172.35
,NIFTY MIDCAP 150,     23123.70,     23101.00,     23103.60,     22958.35,     23031.25,-92.45
,NIFTY SMLCAP 50,      9641.10,      9645.90,      9649.15,      9581.80,      9593.10,-48.00
,NIFTY SMLCAP 250,     17978.05,     17978.60,     17980.60,     17826.30,     17845.60,-132.45
,NIFTY MIDSML 400,     21248.65,     21235.15,     21235.75,     21087.60,     21139.35,-109.30
,NIFTY200 QUALTY30,     20669.05,     20675.50,     20769.45,     20615.00,     20668.20,-0.85
,Nifty FinSrv25 50,     28790.40,     28720.05,     28771.55,     28550.20,     28720.25,-70.15
,NIFTY AlphaLowVol,     27277.80,     27291.00,     27391.95,     27225.65,     27374.45,96.65
,Nifty200Momentm30,     30201.35,     30216.35,     30223.25,     29933.40,     30114.80,-86.55
,Nifty100ESGSecLdr,      4079.25,      4079.75,      4093.95,      4069.40,      4089.20,9.95
,NIFTY100 ESG,      5047.30,      5045.95,      5061.30,      5035.15,      5056.75,9.45
,NIFTY M150 QLTY50,     24439.90,     24432.65,     24465.20,     24311.45,     24380.40,-59.50
,NIFTY INDIA MFG,     16055.05,     16078.90,     16148.00,     16039.10,     16135.65,80.60
,Nifty200 Alpha 30,     25951.90,     25967.70,     25967.70,     25727.25,     25863.95,-87.95
,NiftyM150Momntm50,     62492.00,     62477.30,     62487.15,     61935.70,     62140.50,-351.50
,Nifty50 USD,      8784.85,      8784.80,      8963.05,      8731.45,      8799.70,14.85
,Nifty IT,     31123.10,     31207.55,     31846.40,     31131.35,     31194.55,71.45
,Nifty Next 50,     72626.55,     72617.90,     72767.90,     72365.15,     72698.95,72.40
,Nifty Bank,     57205.90,     57127.05,     57236.65,     56768.60,     57147.50,-58.40
,NIFTY MIDCAP 100,     62862.25,     62782.05,     62829.40,     62412.45,     62641.75,-220.50
,Nifty 500,     23352.60,     23347.20,     23384.65,     23274.15,     23353.55,0.95
,Nifty 100,     25307.05,     25306.00,     25393.95,     25242.15,     25368.75,61.70
,Nifty Midcap 50,     18087.70,     18062.05,     18091.15,     17959.20,     18028.65,-59.05
,Nifty Realty,       918.45,       911.35,       914.05,       896.75,       899.50,-18.95
,Nifty Infra,      9316.10,      9323.40,      9354.70,      9289.15,      9345.05,28.95
,Nifty Energy,     38180.55,     38231.85,     38359.80,     38101.80,     38313.55,133.00
,Nifty FMCG,     49690.65,     49702.35,     50035.00,     49511.90,     49642.05,-48.60
,Nifty MNC,     32838.00,     32857.45,     32887.20,     32640.55,     32848.25,10.25
,Nifty Pharma,     26373.35,     26437.80,     26542.40,     26311.95,     26346.05,-27.30
,Nifty PSE,      9875.35,      9876.45,      9907.90,      9851.75,      9893.20,17.85
,Nifty PSU Bank,      8317.15,      8311.25,      8343.60,      8258.35,      8327.65,10.50
,Nifty Serv Sector,     31176.05,     31145.80,     31230.00,     31067.90,     31185.50,9.45
,Nifty Auto,     27825.95,     27841.25,     28326.00,     27720.25,     28279.10,453.15
,Nifty Metal,     12686.80,     12720.45,     12749.40,     12625.80,     12701.80,15.00
,Nifty Media,      1580.85,      1579.00,      1590.20,      1569.55,      1585.45,4.60
,NIFTY SMLCAP 100,     19362.35,     19364.95,     19366.50,     19232.90,     19254.45,-107.90
,Nifty 200,     14024.45,     14020.40,     14054.65,     13986.75,     14041.95,17.50
,Nifty Div Opps 50,      5937.65,      5946.85,      5980.00,      5935.75,      5948.85,11.20
,Nifty Commodities,      9800.95,      9817.45,      9836.55,      9784.65,      9825.35,24.40
,Nifty Consumption,     12021.45,     12008.15,     12096.05,     11982.00,     12084.15,62.70
,Nifty Fin Service,     26287.10,     26210.60,     26311.00,     26070.10,     26251.25,-35.85
,Nifty50 Div Point,       158.29,       158.29,       158.29,       158.29,       158.29,0.00
,Nifty100 Liq 15,      7494.75,      7471.15,      7532.10,      7456.75,      7521.65,26.90
,Nifty CPSE,      6473.50,      6481.65,      6527.10,      6463.45,      6512.75,39.25
,Nifty GrowSect 15,     11587.90,     11612.50,     11728.05,     11597.35,     11664.70,76.80
,Nifty50 PR 2x Lev,     12114.65,     12112.30,     12205.60,     12052.80,     12179.85,65.20
,Nifty50 PR 1x Inv,       218.55,       218.60,       219.15,       217.75,       218.00,-0.55
,Nifty50 TR 2x Lev,     18412.85,     18409.25,     18551.10,     18318.85,     18511.95,99.10
,Nifty50 TR 1x Inv,       177.60,       177.65,       178.10,       176.95,       177.15,-0.45
,Nifty50 Value 20,     11935.75,     11948.95,     12012.00,     11921.70,     11992.20,56.45
,Nifty Mid Liq 15,     16713.70,     16713.60,     16826.65,     16657.20,     16772.45,58.75
,Nifty Pvt Bank,     27563.45,     27476.80,     27564.85,     27353.35,     27515.00,-48.45
,NIFTY100 Qualty30,      5672.00,      5682.90,      5706.35,      5673.10,      5693.65,21.65
,Nifty GS 8 13Yr,      3050.03,      3050.03,      3050.76,      3044.45,      3048.00,-2.03
,Nifty GS 10Yr,      2673.18,      2673.18,      2674.01,      2667.10,      2671.01,-2.17
,Nifty GS 10Yr Cln,       877.07,       877.07,       877.34,       875.04,       876.34,-0.73
,Nifty GS 4 8Yr,      3341.63,      3341.63,      3342.70,      3333.28,      3333.45,-8.18
,Nifty GS 11 15Yr,      3371.94,      3371.94,      3375.50,      3367.00,      3372.35,0.41
,Nifty GS 15YrPlus,      3553.17,      3553.17,      3554.43,      3541.93,      3547.76,-5.41
,Nifty GS Compsite,      3139.15,      3139.15,      3140.02,      3133.04,      3137.52,-1.63
,NIFTY HEALTHCARE,     16696.30,     16718.05,     16784.75,     16679.60,     16699.65,3.35
,NIFTY CONSR DURBL,     40117.25,     40070.95,     40368.80,     39998.50,     40251.10,133.85
,NIFTY OIL AND GAS,     11076.30,     11087.25,     11162.50,     11060.90,     11127.75,51.45
,NIFTY500 MULTICAP,     16530.55,     16526.25,     16537.25,     16455.10,     16503.95,-26.60
,NIFTY LARGEMID250,     16732.25,     16723.65,     16745.10,     16660.75,     16719.20,-13.05
,NIFTY MID SELECT,     14683.05,     14675.85,     14732.40,     14610.65,     14676.65,-6.40
,NIFTY TOTAL MKT,     13169.00,     13165.75,     13185.70,     13122.90,     13166.25,-2.75
,NIFTY MICROCAP250,     25050.50,     25034.30,     25036.70,     24880.10,     24908.10,-142.40
,NIFTY IND DIGITAL,      8588.75,      8577.10,      8663.05,      8565.45,      8589.85,1.10
,Nifty Tata 25 Cap,     14600.65,     14583.65,     14686.75,     14567.35,     14610.50,9.85
,Nifty MidSml Hlth,     52172.90,     52145.15,     52249.10,     51766.05,     51833.75,-339.15
,Nifty Multi Mfg,     16547.65,     16570.15,     16620.90,     16523.50,     16604.25,56.60
,Nifty Multi Infra,     14540.25,     14536.50,     14562.70,     14469.55,     14536.35,-3.90
,BHARATBOND-APR30,      1608.41,      1608.73,      1608.73,      1608.00,      1608.00,-0.41
,BHARATBOND-APR31,      1463.95,      1464.23,      1464.23,      1464.23,      1464.23,0.28
,BHARATBOND-APR32,      1332.33,      1332.58,      1332.58,      1332.58,      1332.58,0.25
,BHARATBOND-APR33,      1290.91,      1291.16,      1291.16,      1291.16,      1291.16,0.25
,Nifty Ind Defence,      9221.30,      9200.05,      9208.65,      9136.20,      9188.35,-32.95
,Nifty Ind Tourism,      7960.50,      7926.50,      7932.40,      7864.20,      7899.25,-61.25
,Nifty Capital Mkt,      5285.70,      5284.40,      5284.75,      5211.70,      5232.20,-53.50
,Nifty500Momentm50,     52785.40,     52804.25,     52804.50,     52209.30,     52461.90,-323.50
,NiftyMS400 MQ 100,     50809.80,     50786.35,     50792.25,     50411.75,     50557.30,-252.50
,NiftySml250MQ 100,     47185.65,     47205.45,     47207.30,     46677.90,     46779.10,-406.55
,Nifty Top 10 EW,      8704.75,      8703.20,      8740.35,      8682.35,      8708.25,3.50
,Nifty AQL 30,     23222.30,     23248.25,     23294.95,     23177.80,     23249.65,27.35
,Nifty AQLV 30,     20501.90,     20527.30,     20615.55,     20482.40,     20548.95,47.05
,Nifty EV,      3195.85,      3193.10,      3224.00,      3183.05,      3218.75,22.90
,Nifty HighBeta 50,      4431.05,      4422.95,      4423.60,      4380.60,      4398.00,-33.05
,Nifty New Consump,     11960.95,     11933.85,     11994.65,     11911.20,     11988.30,27.35
,Nifty Corp MAATR,     38884.35,     38916.50,     39052.65,     38766.30,     39010.85,126.50
,Nifty Low Vol 50,     25056.20,     25061.75,     25144.00,     25019.60,     25091.20,35.00
,Nifty Mobility,     22978.65,     22954.05,     23169.05,     22865.65,     23149.95,171.30
,Nifty Qlty LV 30,     16956.00,     16980.35,     17040.80,     16942.65,     17010.30,54.30
,Nifty Sml250 Q50,     25500.30,     25461.20,     25511.20,     25327.65,     25355.30,-145.00
,Nifty Top 15 EW,      9866.20,      9859.25,      9914.15,      9832.05,      9897.45,31.25
,Nifty100 Alpha 30,     17884.80,     17903.10,     17922.60,     17785.80,     17899.85,15.05
,Nifty100 Enh ESG,      5081.60,      5080.25,      5095.80,      5069.40,      5091.20,9.60
,Nifty200 Value 30,     15058.00,     15063.45,     15099.60,     15020.95,     15084.85,26.85
,Nifty500 EW,     14949.20,     14941.25,     14941.45,     14837.45,     14868.20,-81.00
,Nifty Multi MQ 50,     40500.10,     40519.80,     40525.75,     40153.00,     40344.90,-155.20
,Nifty500 Value 50,     16010.75,     16041.00,     16098.30,     16008.25,     16079.60,68.85
,Nifty Top 20 EW,      8929.10,      8916.10,      8964.75,      8899.60,      8955.30,26.20
,Nifty CoreHousing,     15955.50,     15935.05,     15939.90,     15795.50,     15856.60,-98.90
,Nifty FinSerExBnk,     32103.20,     31990.00,     32053.65,     31689.35,     31866.55,-236.65
,Nifty Housing,     11995.15,     11989.10,     11990.35,     11922.60,     11973.20,-21.95
,Nifty IPO,      2270.60,      2268.40,      2268.95,      2246.55,      2250.50,-20.10
,Nifty MS Fin Serv,     22281.50,     22259.80,     22260.20,     22020.30,     22112.45,-169.05
,Nifty MS Ind Cons,     19112.30,     19080.20,     19195.45,     19039.45,     19144.40,32.10
,Nifty MS IT Telcm,      9749.95,      9716.00,      9845.65,      9677.60,      9695.55,-54.40
,Nifty NonCyc Cons,     15630.00,     15595.40,     15658.15,     15557.70,     15646.05,16.05
