Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
10 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
10 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,10 JUL 2026,              10.00,         111695680,           1447.00,   161623648960.00     
10 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,10 JUL 2026,               5.00,         289175042,           1146.60,   331568103157.20   
10 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,10 JUL 2026,              10.00,          24550000,            232.95,     5718922500.00 
10 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,10 JUL 2026,              10.00,         187787263,           1384.50,   259991465623.50       
10 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,10 JUL 2026,              10.00,          14926261,           1108.90,    16551730822.90   
10 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,10 JUL 2026,              10.00,          23989020,            513.45,    12317162319.00 
10 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,10 JUL 2026,              10.00,           3472000,            198.55,      689365600.00    
10 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,10 JUL 2026,              10.00,          11116000,            157.00,     1745212000.00     
10 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,10 JUL 2026,               1.00,         150560000,              5.25,      791945600.00  
10 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,10 JUL 2026,               2.00,         119083196,            989.00,   117773280844.00       
10 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,10 JUL 2026,              10.00,          10200000,             21.00,      214302000.00  
10 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,10 JUL 2026,              10.00,          16383735,            126.00,     2064350610.00    
10 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,10 JUL 2026,               2.00,         123458394,            527.45,    65118129915.30       
10 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,10 JUL 2026,              10.00,          92172140,             49.15,     4530260681.00       
10 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,10 JUL 2026,               2.00,         706874336,            377.00,   266491624672.00 
10 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,10 JUL 2026,              10.00,          60681608,             42.30,     2565618386.25   
10 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,10 JUL 2026,               5.00,          15015016,            178.30,     2677177352.80
