,10-Jul-2026
The Nifty witnessed an intraday movement of about 108.1 points.The closing index was 1.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 122157.67
, Traded Quantity (in Lakhs), 46230.87
, Number of Trades, 37487660
, Total Market Capitalisation (Rs. Crores), 48134040.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23962.80,     24124.70,     24228.45,     24120.35,     24206.90,244.10
,NIFTY50 EQL Wgt,     32488.20,     32684.70,     32857.85,     32683.55,     32788.30,300.10
,NIFTY100 EQL Wgt,     34200.90,     34412.20,     34617.45,     34394.60,     34601.40,400.50
,NIFTY100 LowVol30,     19941.70,     20046.50,     20118.45,     20021.75,     20059.75,118.05
,NIFTY Alpha 50,     53498.80,     53951.75,     54326.70,     53809.85,     54265.10,766.30
,NIFTY MIDCAP 150,     22855.75,     23020.25,     23180.50,     23000.25,     23166.50,310.75
,NIFTY SMLCAP 50,      9477.95,      9542.15,      9636.70,      9523.45,      9621.15,143.20
,NIFTY SMLCAP 250,     17875.70,     18004.35,     18134.60,     17975.70,     18118.90,243.20
,NIFTY MIDSML 400,     21044.95,     21196.40,     21345.25,     21173.95,     21331.15,286.20
,NIFTY200 QUALTY30,     19840.00,     20027.25,     20093.20,     19977.80,     20027.25,187.25
,Nifty FinSrv25 50,     28872.90,     29064.05,     29309.70,     29053.55,     29279.75,406.85
,NIFTY AlphaLowVol,     26748.75,     26854.55,     26981.35,     26812.45,     26884.50,135.75
,Nifty200Momentm30,     30289.75,     30534.50,     30748.70,     30488.35,     30606.65,316.90
,Nifty100ESGSecLdr,      4032.65,      4062.10,      4081.80,      4060.30,      4077.40,44.75
,NIFTY100 ESG,      4904.60,      4942.90,      4962.45,      4942.50,      4958.20,53.60
,NIFTY M150 QLTY50,     23878.00,     24062.25,     24156.25,     24034.25,     24138.55,260.55
,NIFTY INDIA MFG,     15793.30,     15891.95,     15982.70,     15862.70,     15939.00,145.70
,Nifty200 Alpha 30,     25994.90,     26231.55,     26439.05,     26202.10,     26370.00,375.10
,NiftyM150Momntm50,     62116.65,     62580.75,     62962.40,     62436.25,     62905.75,789.10
,Nifty50 USD,      8704.60,      8704.60,      8865.70,      8704.60,      8800.45,95.85
,Nifty IT,     27471.25,     28043.50,     28439.55,     27870.00,     28010.35,539.10
,Nifty Next 50,     71485.85,     71953.55,     72438.45,     71825.05,     72391.80,905.95
,Nifty Bank,     57252.45,     57592.50,     58251.95,     57576.70,     58045.90,793.45
,NIFTY MIDCAP 100,     62166.85,     62636.05,     63076.50,     62576.60,     63036.80,869.95
,Nifty 500,     23081.15,     23239.70,     23358.35,     23234.45,     23348.40,267.25
,Nifty 100,     24989.25,     25157.10,     25271.25,     25150.10,     25255.10,265.85
,Nifty Midcap 50,     17844.50,     17977.80,     18069.20,     17954.25,     18059.50,215.00
,Nifty Realty,       906.95,       915.15,       939.60,       896.70,       938.60,31.65
,Nifty Infra,      9325.70,      9374.35,      9440.25,      9362.20,      9429.45,103.75
,Nifty Energy,     38838.10,     39073.20,     39359.20,     39021.80,     39242.05,403.95
,Nifty FMCG,     49350.15,     49515.95,     49644.35,     49202.90,     49310.60,-39.55
,Nifty MNC,     32466.20,     32635.25,     32850.85,     32595.30,     32688.00,221.80
