SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,73.65,78.35
WHEELS,23.33,23.33
RIIL,107.51,107.51
PREMIERPOL,22.32,22.32
RAYMOND,69.38,15.03
RSWM,19.70,17.08
SHREDIGCEM,60.11,60.11
SESHAPAPER,18.03,18.03
SMLMAH,36.12,36.12
SUNDRMFAST,33.97,33.42
EXIDEIND,42.23,41.90
ELECON,40.28,38.28
CRISIL,37.10,37.10
LMW,98.65,94.20
NELCO,568.18,208.28
MASTEK,12.85,12.36
MAHSCOOTER,47.79,47.79
LUMAXIND,40.90,37.13
TRENT,91.23,90.21
KECL,65.76,42.29
CUMMINSIND,74.47,72.38
KCP,7.60,7.35
JAYBARMARU,13.37,12.94
INFY,14.44,14.03
INDIAGLYCO,32.23,32.14
IONEXCHANG,44.30,40.79
IFBIND,37.00,34.53
IGPL,655.98,655.98
HIMATSEIDE,16.37,16.37
GNFC,9.48,9.48
BPCL,8.38,9.31
BHARATFORG,94.90,86.91
BASF,39.16,39.16
FORCEMOT,18.57,21.22
ATUL,24.79,24.84
ARVIND,32.65,31.79
ACC,13.41,13.48
TMPV,,28.57
SCI,9.97,9.97
MRPL,9.17,10.45
LINDEINDIA,116.94,116.94
HINDPETRO,2205.94,2205.94
ESCORTS,24.19,24.56
RELINFRA,0.50,0.66
BAJAJHLDNG,55.11,147.89
ASHOKLEY,24.82,23.16
VOLTAS,87.21,83.91
TITAN,82.97,81.74
TATASTEEL,21.87,20.53
SUNDARMFIN,24.47,23.78
SPIC,7.61,7.61
VEDL,6.53,5.94
SBIN,11.06,11.36
RELIANCE,19.70,19.70
PFIZER,29.72,28.39
NOCIL,48.95,46.09
BOSCHLTD,43.92,52.36
DRREDDY,30.31,30.31
BATAINDIA,67.01,96.49
DEEPAKFERT,27.93,27.93
CHAMBLFERT,9.66,9.66
CARBORUNIV,149.68,49.68
MAHSEAMLES,10.87,10.80
HINDOILEXP,33.31,68.58
DICIND,24.23,21.95
COROMANDEL,33.25,32.48
BALMLAWRIE,14.92,14.92
MOTOGENFIN,0.72,
MARALOVER,74.71,63.13
ASIANPAINT,61.47,59.88
RAMCOCEM,31.41,122.44
INDIACEM,133.47,86.00
PGHL,34.45,34.45
BEML,104.88,104.88
ADOR,23.34,22.96
CENTENKA,12.42,12.24
TORNTPHARM,89.30,86.81
VTL,25.86,25.86
SUNDROP,127.82,127.82
FEDERALBNK,18.22,18.22
EPL,19.42,18.32
VLSFINANCE,36.69,36.69
SUPREMEIND,49.72,49.72
SRF,36.15,35.13
BIRLACABLE,35.67,35.67
BALRAMCHIN,37.78,37.78
AEGISLOG,40.96,40.96
WEIZMANIND,17.21,17.21
UNICHEMLAB,15.04,76.00
BBOX,63.32,49.98
HONAUT,63.20,62.22
JTEKTINDIA,48.09,45.38
SAURASHCEM,44.71,28.37
RANEHOLDIN,16.19,18.42
PRECOT,28.27,28.27
TATAELXSI,33.82,31.41
SUNPHARMA,40.95,37.73
KOHINOOR,1.07,
SHREYANIND,30.57,30.57
SANDESH,11.20,10.92
HCC,35.58,41.30
BAJAJHIND,32.05,28.88
APOLLOHOSP,64.95,64.46
ARE&M,17.86,22.72
ADANIENT,42.40,162.48
IVP,8.53,8.39
BALKRISIND,31.49,31.49
INDBANK,20.25,20.25
GINNIFILA,10.24,9.27
EICHERMOT,45.21,44.80
GVT&D,87.25,84.17
NEULANDLAB,66.95,66.95
ONGC,6.41,6.37
ITI,90.80,
ZENSARTECH,15.14,14.77
TAINWALCHM,17.72,17.72
BERGEPAINT,54.57,52.67
BANARISUG,29.46,29.46
KPIL,21.51,21.95
JYOTISTRUC,23.31,23.31
IGARASHI,118.07,118.07
BSL,54.12,54.12
BLUEDART,49.05,42.65
JAYNECOIND,15.08,14.81
MUNJALSHOW,25.04,23.29
APCOTEXIND,30.09,30.22
SOTL,24.48,24.48
HSCL,49.60,49.60
RCF,16.21,17.62
RANASUG,7.64,
KARURVYSYA,11.96,11.96
DECCANCE,26.73,49.69
WSI,213.33,247.85
UFLEX,10.49,10.20
TATAPOWER,27.18,26.92
ADVANIHOTR,20.24,19.67
THOMASCOOK,21.40,20.92
SUNFLAG,32.52,31.45
SUBROS,31.04,30.04
SPMLINFRA,22.20,22.20
SIMPLEXINF,50.04,50.98
SIEMENS,104.75,104.75
BHARATRAS,14.81,13.48
WIPRO,13.33,13.33
VSTIND,13.64,13.64
JUBLPHARMA,39.23,35.33
UNIVCABLES,49.71,49.71
TATACOMM,54.60,49.43
TOKYOPLAST,224.91,224.91
SOMANYCERA,27.23,26.30
MURUDCERA,16.48,16.48
IFCI,43.63,42.16
HLVLTD,231.69,94.31
SANOFI,25.04,23.60
M&M,24.18,23.87
LIBERTSHOE,40.97,41.46
KAJARIACER,39.74,37.44
HEIDELBERG,26.74,25.73
MODTHREAD,14.06,14.06
MANGLMCEM,21.00,19.25
PRSMJOHNSN,90.66,
POLYPLEX,89.12,89.12
PIDILITIND,66.31,66.04
PCBL,64.80,69.76
3PLAND,25.60,25.60
OSWALAGRO,60.38,36.30
EIHAHOTELS,22.16,21.45
HONDAPOWER,33.54,30.14
JINDALSAW,26.87,26.87
SAIL,17.25,15.20
RUBYMILLS,30.52,30.52
STYRENIX,23.35,23.19
ABB,101.01,101.01
IDBI,9.75,9.75
GRAPHITE,75.71,74.91
CANFINHOME,9.58,9.58
BRITANNIA,50.52,50.52
BBL,24.11,24.11
ELECTCAST,27.62,23.69
DHAMPURSUG,14.14,14.14
DCMSHRIRAM,18.82,18.38
DABUR,40.53,40.28
COSMOFIRST,15.30,14.77
CIPLA,33.84,31.71
HEROMOTOCO,18.98,18.66
HDFCBANK,14.06,13.87
HARRMALAYA,13.61,13.61
GMBREW,12.26,12.26
GIPCL,6.27,6.27
ITC,17.35,17.14
INDIANHUME,14.45,22.18
HINDCOMPOS,24.48,23.13
IOC,4.91,4.91
OSWALGREEN,,15.06
HUHTAMAKI,17.31,17.31
RICOAUTO,37.57,33.32
KAMATHOTEL,12.99,17.76
IFBAGRO,16.40,16.40
BANCOINDIA,18.59,19.10
MANINDS,23.18,23.18
APOLLOTYRE,19.44,18.61
SIYSIL,12.27,12.27
SHANTIGEAR,41.69,39.87
PRECWIRE,44.03,44.03
ONWARDTEC,15.23,14.46
NILKAMAL,24.98,22.94
NCC,12.48,12.03
ICIL,63.33,63.33
SEAMECLTD,14.15,14.15
ELGIEQUIP,43.32,42.26
AUROPHARMA,25.46,25.13
BBTC,4.16,4.30
EIHOTEL,34.42,29.72
KANORICHEM,36.44,36.44
LICHSGFIN,5.42,5.42
GICHSGFIN,5.16,5.16
BEPL,14.33,14.33
RAIN,18.51,18.51
BANARBEADS,41.86,41.86
MOREPENLAB,32.46,42.85
WSTCSTPAPR,24.67,24.67
VENKEYS,15.21,15.21
GHCL,8.55,8.55
S&SPOWER,41.10,41.10
PRUDMOULI,5.54,5.54
PRAJIND,243.57,64.00
BPL,,267.39
PGHH,34.08,34.08
VESUVIUS,35.12,35.12
TFCILTD,28.48,28.48
BOMDYEING,93.73,91.04
GTL,0.20,
NAVNETEDUL,9.68,39.27
GUJALKALI,76.72,76.72
AGI,13.01,12.87
GLAXO,41.72,42.34
TATACONSUM,63.13,62.62
ZEEL,38.57,37.60
CHOLAFIN,29.11,29.11
INDHOTEL,46.08,50.76
FMGOETZE,15.12,14.22
KOTAKBANK,18.91,19.16
ORIENTHOT,33.96,33.65
GILLETTE,39.54,39.54
GOLDENTOBC,6.31,7.16
KANSAINER,28.63,26.57
FOSECOIND,43.79,38.56
ESABINDIA,41.87,45.44
3MINDIA,75.91,90.20
ANDHRAPAP,66.85,66.85
GABRIEL,80.81,77.63
SCHAEFFLER,41.68,41.68
AARTIIND,42.08,42.81
RALLIS,20.14,
AMJLAND,10.48,10.48
PRAKASH,6.74,6.74
MFSL,499.33,499.33
KSB,62.48,58.60
KOPRAN,37.76,37.76
HEG,56.17,56.17
GREAVESCOT,162.38,173.34
GODFRYPHLP,30.77,30.77
VARDMNPOLY,38.67,38.67
SURYAROSNI,18.21,18.21
TATAINVEST,103.88,103.88
GLFL,302.93,302.93
TIMKEN,57.85,57.85
SUDARSCHEM,731.25,149.24
SHREECEM,55.42,55.42
SAKHTISUG,7.27,7.27
IPCALAB,37.85,35.95
INGERRAND,53.99,52.54
JSWDULUX,6.79,36.48
HINDALCO,15.86,13.61
HINDZINC,13.11,13.13
HINDUNILVR,48.22,47.40
GSFC,9.64,9.64
GRASIM,20.95,20.45
AMBUJACEM,19.55,17.12
FINPIPE,18.25,18.25
FINCABLES,23.33,28.49
EIDPARRY,9.94,6.11
DCW,28.90,28.90
CGPOWER,111.60,109.43
SUDARCOLOR,18.66,13.17
CESC,13.35,13.35
BIRLACORPN,12.66,12.53
BHEL,61.02,61.02
BHARATGEAR,11.86,11.86
BEL,48.74,48.74
BAJFINANCE,33.79,33.48
ASHAPURMIN,17.18,16.99
NAVA,15.38,15.38
CORALFINAC,9.17,9.17
GREENPLY,29.47,26.42
TNPL,4.36,4.36
AUTOAXLES,16.48,15.67
REMSONSIND,13.46,13.07
DALMIASUG,12.36,12.36
NATCOPHARM,12.10,12.10
