,16-Jul-2026
The Nifty witnessed an intraday movement of about 136.5 points.The closing index was 0.02 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 122437.16
, Traded Quantity (in Lakhs), 42114.80
, Number of Trades, 35793295
, Total Market Capitalisation (Rs. Crores), 47966554.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24078.50,     24142.10,     24186.50,     24050.00,     24072.75,-5.75
,NIFTY50 EQL Wgt,     32611.35,     32726.75,     32766.30,     32591.45,     32609.70,-1.65
,NIFTY100 EQL Wgt,     34432.60,     34545.05,     34638.70,     34354.40,     34380.90,-51.70
,NIFTY100 LowVol30,     20015.35,     20049.60,     20094.25,     19983.40,     20013.05,-2.30
,NIFTY Alpha 50,     54324.00,     54602.85,     54645.30,     53785.40,     53990.10,-333.90
,NIFTY MIDCAP 150,     23153.40,     23226.15,     23239.65,     23017.40,     23060.05,-93.35
,NIFTY SMLCAP 50,      9588.15,      9629.75,      9633.65,      9562.40,      9597.90,9.75
,NIFTY SMLCAP 250,     18097.85,     18170.55,     18185.70,     18046.55,     18109.05,11.20
,NIFTY MIDSML 400,     21314.70,     21388.05,     21397.40,     21216.35,     21262.80,-51.90
,NIFTY200 QUALTY30,     19955.60,     20028.20,     20112.00,     19978.05,     19989.05,33.45
,Nifty FinSrv25 50,     29129.05,     29151.00,     29181.20,     28842.20,     28922.00,-207.05
,NIFTY AlphaLowVol,     26774.15,     26835.15,     26852.20,     26674.20,     26723.40,-50.75
,Nifty200Momentm30,     30655.75,     30802.05,     30838.60,     30417.45,     30564.15,-91.60
,Nifty100ESGSecLdr,      4061.25,      4074.85,      4084.15,      4054.70,      4059.10,-2.15
,NIFTY100 ESG,      4954.60,      4974.35,      4988.55,      4950.10,      4954.70,0.10
,NIFTY M150 QLTY50,     24147.30,     24247.15,     24283.25,     24100.85,     24122.90,-24.40
,NIFTY INDIA MFG,     15911.95,     15973.25,     16036.45,     15934.20,     15954.10,42.15
,Nifty200 Alpha 30,     26340.55,     26454.45,     26483.30,     26091.15,     26187.15,-153.40
,NiftyM150Momntm50,     63063.90,     63280.15,     63339.35,     62409.60,     62715.90,-348.00
,Nifty50 USD,      8667.00,      8667.00,      8702.00,      8576.90,      8660.15,-6.85
,Nifty IT,     28532.25,     28697.45,     29052.90,     28669.80,     28722.60,190.35
,Nifty Next 50,     72148.80,     72376.00,     72675.80,     71826.80,     71896.75,-252.05
,Nifty Bank,     57757.85,     57831.10,     57931.30,     57420.15,     57582.25,-175.60
,NIFTY MIDCAP 100,     62943.20,     63130.85,     63176.25,     62555.35,     62686.75,-256.45
,Nifty 500,     23263.90,     23332.80,     23348.20,     23212.90,     23232.65,-31.25
,Nifty 100,     25130.10,     25198.85,     25247.75,     25085.95,     25109.20,-20.90
,Nifty Midcap 50,     18036.75,     18078.80,     18096.65,     17939.80,     17985.10,-51.65
,Nifty Realty,       915.15,       918.25,       918.80,       904.80,       906.15,-9.00
,Nifty Infra,      9337.80,      9358.10,      9394.80,      9320.65,      9331.30,-6.50
,Nifty Energy,     39381.25,     39483.20,     39716.65,     39238.70,     39345.80,-35.45
,Nifty FMCG,     48286.50,     48375.85,     48628.10,     48222.65,     48408.00,121.50
,Nifty MNC,     32459.80,     32536.15,     32827.50,     32453.85,     32553.15,93.35
,Nifty Pharma,     26003.60,     26060.90,     26135.75,     25936.35,     26008.05,4.45
,Nifty PSE,      9914.85,      9936.40,      9971.15,      9879.65,      9910.90,-3.95
,Nifty PSU Bank,      8386.85,      8414.75,      8419.25,      8330.55,      8347.90,-38.95
,Nifty Serv Sector,     31149.85,     31228.60,     31262.50,     31051.25,     31098.05,-51.80
,Nifty Auto,     26645.10,     26754.45,     26910.20,     26668.65,     26767.55,122.45
,Nifty Metal,     12536.90,     12620.90,     12623.15,     12483.40,     12495.90,-41.00
,Nifty Media,      1503.70,      1507.35,      1528.55,      1499.35,      1521.40,17.70
,NIFTY SMLCAP 100,     19355.35,     19446.30,     19455.80,     19277.10,     19336.25,-19.10
,Nifty 200,     13949.70,     13988.50,     14005.55,     13918.80,     13928.95,-20.75
,Nifty Div Opps 50,      5775.65,      5793.20,      5818.35,      5772.95,      5776.50,0.85
,Nifty Commodities,      9825.85,      9864.45,      9897.60,      9808.70,      9817.55,-8.30
,Nifty Consumption,     11634.95,     11687.80,     11714.30,     11652.35,     11660.10,25.15
,Nifty Fin Service,     26693.35,     26712.00,     26736.80,     26484.20,     26556.70,-136.65
,Nifty50 Div Point,       137.29,       137.29,       137.29,       137.29,       137.29,0.00
,Nifty100 Liq 15,      7426.25,      7444.85,      7465.80,      7418.80,      7427.45,1.20
,Nifty CPSE,      6621.65,      6626.75,      6640.60,      6590.60,      6594.00,-27.65
,Nifty GrowSect 15,     10972.80,     11016.85,     11084.95,     11002.75,     11017.55,44.75
,Nifty50 PR 2x Lev,     11972.35,     12033.90,     12077.55,     11942.75,     11964.95,-7.40
,Nifty50 PR 1x Inv,       219.80,       219.25,       220.10,       218.85,       219.90,0.10
,Nifty50 TR 2x Lev,     18164.60,     18258.00,     18324.20,     18119.70,     18153.35,-11.25
,Nifty50 TR 1x Inv,       178.75,       178.30,       179.00,       178.00,       178.85,0.10
,Nifty50 Value 20,     11977.25,     11999.25,     12035.65,     11961.95,     11976.35,-0.90
,Nifty Mid Liq 15,     16824.95,     16912.20,     16965.80,     16765.40,     16782.25,-42.70
,Nifty Pvt Bank,     28002.50,     28034.15,     28060.40,     27830.95,     27915.60,-86.90
,NIFTY100 Qualty30,      5487.60,      5502.40,      5531.55,      5495.65,      5501.10,13.50
,Nifty GS 8 13Yr,      3046.91,      3047.47,      3054.43,      3047.47,      3052.29,5.38
,Nifty GS 10Yr,      2671.23,      2671.74,      2677.71,      2671.72,      2675.56,4.33
,Nifty GS 10Yr Cln,       878.76,       878.76,       880.75,       878.76,       880.04,1.28
,Nifty GS 4 8Yr,      3324.84,      3325.44,      3329.93,      3325.43,      3329.49,4.65
,Nifty GS 11 15Yr,      3371.44,      3372.09,      3379.58,      3372.08,      3378.54,7.10
,Nifty GS 15YrPlus,      3569.77,      3570.50,      3578.53,      3570.50,      3575.13,5.36
,Nifty GS Compsite,      3138.62,      3139.20,      3145.81,      3139.20,      3143.56,4.94
,NIFTY HEALTHCARE,     16507.80,     16539.00,     16568.90,     16458.75,     16493.75,-14.05
,NIFTY CONSR DURBL,     38937.35,     39168.40,     39655.40,     39159.45,     39514.00,576.65
,NIFTY OIL AND GAS,     11178.85,     11196.20,     11298.25,     11172.40,     11188.15,9.30
,NIFTY500 MULTICAP,     16505.25,     16557.40,     16562.45,     16463.30,     16484.30,-20.95
,NIFTY LARGEMID250,     16684.50,     16733.55,     16740.30,     16632.05,     16643.80,-40.70
,NIFTY MID SELECT,     14771.45,     14844.90,     14876.45,     14734.95,     14793.25,21.80
,NIFTY TOTAL MKT,     13130.05,     13168.45,     13174.55,     13098.85,     13110.50,-19.55
,NIFTY MICROCAP250,     25443.15,     25495.80,     25573.05,     25251.20,     25324.70,-118.45
,NIFTY IND DIGITAL,      8202.65,      8256.05,      8294.25,      8192.25,      8201.15,-1.50
,Nifty Tata 25 Cap,     14082.05,     14134.80,     14192.70,     14053.45,     14068.15,-13.90
