,15-Jul-2026
The Nifty witnessed an intraday movement of about 209.8 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 120941.56
, Traded Quantity (in Lakhs), 50182.62
, Number of Trades, 36062367
, Total Market Capitalisation (Rs. Crores), 48013250.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24052.05,     24085.85,     24220.35,     24010.55,     24078.50,26.45
,NIFTY50 EQL Wgt,     32586.90,     32614.25,     32775.65,     32518.40,     32611.35,24.45
,NIFTY100 EQL Wgt,     34331.15,     34405.40,     34594.00,     34352.20,     34432.60,101.45
,NIFTY100 LowVol30,     19972.40,     19995.75,     20098.70,     19960.05,     20015.35,42.95
,NIFTY Alpha 50,     53960.35,     54279.60,     54650.35,     54186.85,     54324.00,363.65
,NIFTY MIDCAP 150,     23053.60,     23117.35,     23216.80,     23090.95,     23153.40,99.80
,NIFTY SMLCAP 50,      9533.70,      9572.90,      9650.50,      9552.80,      9588.15,54.45
,NIFTY SMLCAP 250,     17974.90,     18042.45,     18170.45,     18038.65,     18097.85,122.95
,NIFTY MIDSML 400,     21204.65,     21270.50,     21379.55,     21257.25,     21314.70,110.05
,NIFTY200 QUALTY30,     19958.60,     19957.00,     20050.05,     19902.95,     19955.60,-3.00
,Nifty FinSrv25 50,     28947.60,     29059.05,     29346.50,     29003.80,     29129.05,181.45
,NIFTY AlphaLowVol,     26695.60,     26766.30,     26881.95,     26734.30,     26774.15,78.55
,Nifty200Momentm30,     30677.65,     30806.35,     30909.45,     30603.80,     30655.75,-21.90
,Nifty100ESGSecLdr,      4053.45,      4060.20,      4086.00,      4049.80,      4061.25,7.80
,NIFTY100 ESG,      4940.85,      4946.30,      4978.35,      4938.10,      4954.60,13.75
,NIFTY M150 QLTY50,     24059.85,     24104.95,     24215.05,     24083.25,     24147.30,87.45
,NIFTY INDIA MFG,     15850.45,     15900.00,     15977.00,     15883.95,     15911.95,61.50
,Nifty200 Alpha 30,     26366.55,     26496.95,     26600.55,     26276.95,     26340.55,-26.00
,NiftyM150Momntm50,     62773.15,     63020.95,     63325.15,     62888.50,     63063.90,290.75
,Nifty50 USD,      8663.00,      8663.00,      8730.05,      8544.10,      8664.05,1.05
,Nifty IT,     28724.75,     28412.80,     28725.25,     28223.80,     28532.25,-192.50
,Nifty Next 50,     71851.60,     72108.05,     72552.05,     72011.90,     72148.80,297.20
,Nifty Bank,     57462.30,     57643.75,     58148.80,     57545.20,     57757.85,295.55
,NIFTY MIDCAP 100,     62766.40,     62943.15,     63183.35,     62780.40,     62943.20,176.80
,Nifty 500,     23199.45,     23250.85,     23368.90,     23203.95,     23263.90,64.45
,Nifty 100,     25088.65,     25133.80,     25266.10,     25063.70,     25130.10,41.45
,Nifty Midcap 50,     17988.15,     18034.95,     18114.45,     17992.70,     18036.75,48.60
,Nifty Realty,       918.65,       918.70,       931.55,       913.90,       915.15,-3.50
,Nifty Infra,      9350.75,      9378.75,      9414.20,      9332.30,      9337.80,-12.95
,Nifty Energy,     39203.15,     39277.05,     39465.25,     39191.60,     39381.25,178.10
,Nifty FMCG,     48524.95,     48639.80,     48694.95,     48177.10,     48286.50,-238.45
,Nifty MNC,     32282.15,     32384.45,     32545.85,     32376.85,     32459.80,177.65
,Nifty Pharma,     25907.10,     26027.75,     26103.30,     25950.10,     26003.60,96.50
,Nifty PSE,      9922.60,      9928.10,      9963.50,      9870.00,      9914.85,-7.75
,Nifty PSU Bank,      8307.90,      8334.05,      8465.05,      8326.75,      8386.85,78.95
,Nifty Serv Sector,     31053.70,     31089.15,     31334.00,     31027.10,     31149.85,96.15
,Nifty Auto,     26547.50,     26603.70,     26844.35,     26573.20,     26645.10,97.60
,Nifty Metal,     12677.70,     12700.30,     12728.20,     12528.85,     12536.90,-140.80
,Nifty Media,      1510.60,      1513.40,      1519.50,      1498.95,      1503.70,-6.90
,NIFTY SMLCAP 100,     19227.35,     19302.80,     19470.50,     19291.80,     19355.35,128.00
,Nifty 200,     13923.40,     13951.30,     14018.85,     13915.15,     13949.70,26.30
,Nifty Div Opps 50,      5776.25,      5773.10,      5804.70,      5759.60,      5775.65,-0.60
,Nifty Commodities,      9861.70,      9875.40,      9901.10,      9819.40,      9825.85,-35.85
,Nifty Consumption,     11611.40,     11637.40,     11682.55,     11607.40,     11634.95,23.55
,Nifty Fin Service,     26536.70,     26631.70,     26900.00,     26581.70,     26693.35,156.65
,Nifty50 Div Point,       134.61,       137.29,       137.29,       137.29,       137.29,2.68
,Nifty100 Liq 15,      7389.30,      7406.90,      7470.75,      7406.05,      7426.25,36.95
,Nifty CPSE,      6670.35,      6665.75,      6682.55,      6595.65,      6621.65,-48.70
,Nifty GrowSect 15,     10987.95,     10962.10,     11016.55,     10941.30,     10972.80,-15.15
,Nifty50 PR 2x Lev,     11947.80,     11979.65,     12113.00,     11905.25,     11972.35,24.55
,Nifty50 PR 1x Inv,       220.00,       219.75,       220.45,       218.50,       219.80,-0.20
,Nifty50 TR 2x Lev,     18123.30,     18175.70,     18377.95,     18062.85,     18164.60,41.30
,Nifty50 TR 1x Inv,       178.95,       178.70,       179.25,       177.70,       178.75,-0.20
,Nifty50 Value 20,     11977.65,     11980.90,     12059.65,     11936.25,     11977.25,-0.40
,Nifty Mid Liq 15,     16785.10,     16838.45,     16919.90,     16772.60,     16824.95,39.85
,Nifty Pvt Bank,     27915.95,     28015.05,     28259.10,     27885.70,     28002.50,86.55
,NIFTY100 Qualty30,      5475.45,      5475.45,      5507.45,      5471.25,      5487.60,12.15
,Nifty GS 8 13Yr,      3040.88,      3041.43,      3053.93,      3041.43,      3046.55,5.67
,Nifty GS 10Yr,      2665.76,      2666.26,      2678.53,      2666.25,      2671.67,5.91
,Nifty GS 10Yr Cln,       877.11,       877.11,       881.19,       877.10,       878.91,1.80
,Nifty GS 4 8Yr,      3319.73,      3320.33,      3330.60,      3320.32,      3325.29,5.56
,Nifty GS 11 15Yr,      3365.10,      3365.74,      3374.09,      3365.74,      3373.35,8.25
,Nifty GS 15YrPlus,      3563.00,      3563.73,      3578.99,      3563.73,      3572.56,9.56
,Nifty GS Compsite,      3132.45,      3133.03,      3144.10,      3133.03,      3139.20,6.75
,NIFTY HEALTHCARE,     16441.45,     16518.35,     16585.20,     16474.80,     16507.80,66.35
,NIFTY CONSR DURBL,     38656.95,     38811.50,     39028.00,     38710.15,     38937.35,280.40
,NIFTY OIL AND GAS,     11102.40,     11120.75,     11221.90,     11118.45,     11178.85,76.45
,NIFTY500 MULTICAP,     16445.60,     16487.25,     16574.30,     16461.95,     16505.25,59.65
,NIFTY LARGEMID250,     16634.70,     16672.65,     16749.30,     16645.20,     16684.50,49.80
,NIFTY MID SELECT,     14712.65,     14751.10,     14831.40,     14732.40,     14771.45,58.80
,NIFTY TOTAL MKT,     13091.65,     13121.25,     13189.70,     13096.05,     13130.05,38.40
,NIFTY MICROCAP250,     25282.45,     25364.80,     25593.75,     25362.95,     25443.15,160.70
,NIFTY IND DIGITAL,      8188.40,      8162.15,      8231.60,      8132.80,      8202.65,14.25
,Nifty Tata 25 Cap,     14098.35,     14078.15,     14161.55,     14039.75,     14082.05,-16.30
,Nifty MidSml Hlth,     51221.15,     51423.30,     51696.45,     51288.05,     51426.40,205.25
,Nifty Multi Mfg,     16301.35,     16346.70,     16427.25,     16323.90,     16347.85,46.50
,Nifty Multi Infra,     14622.20,     14671.35,     14723.70,     14615.60,     14644.80,22.60
,BHARATBOND-APR30,      1602.72,      1603.04,      1606.48,      1603.02,      1603.02,0.30
,BHARATBOND-APR31,      1457.53,      1457.81,      1462.09,      1457.81,      1457.81,0.28
,BHARATBOND-APR32,      1326.33,      1326.59,      1330.04,      1326.59,      1326.59,0.26
,BHARATBOND-APR33,      1286.82,      1287.08,      1289.04,      1287.07,      1287.07,0.25
,Nifty Ind Defence,      9325.50,      9329.80,      9433.30,      9305.90,      9331.05,5.55
,Nifty Ind Tourism,      8018.45,      8031.55,      8098.25,      8031.55,      8062.60,44.15
,Nifty Capital Mkt,      5498.80,      5520.50,      5548.00,      5486.10,      5527.15,28.35
,Nifty500Momentm50,     53500.50,     53780.45,     54061.40,     53697.10,     53859.75,359.25
,NiftyMS400 MQ 100,     50548.40,     50733.55,     50944.55,     50683.05,     50766.30,217.90
,NiftySml250MQ 100,     47157.80,     47327.20,     47693.50,     47324.30,     47534.35,376.55
,Nifty Top 10 EW,      8582.60,      8589.30,      8630.85,      8531.80,      8555.50,-27.10
,Nifty AQL 30,     22755.35,     22822.50,     22919.85,     22799.20,     22839.60,84.25
,Nifty AQLV 30,     20066.55,     20118.00,     20164.85,     20060.55,     20080.70,14.15
,Nifty EV,      3095.40,      3100.40,      3125.70,      3099.35,      3116.25,20.85
,Nifty HighBeta 50,      4425.15,      4443.55,      4479.00,      4433.30,      4447.45,22.30
,Nifty New Consump,     11666.90,     11697.15,     11781.55,     11695.05,     11751.85,84.95
,Nifty Corp MAATR,     38690.35,     38696.00,     38859.25,     38511.90,     38603.85,-86.50
,Nifty Low Vol 50,     24492.25,     24535.70,     24632.20,     24465.90,     24515.95,23.70
,Nifty Mobility,     22216.50,     22265.10,     22487.50,     22265.00,     22405.40,188.90
,Nifty Qlty LV 30,     16422.85,     16462.55,     16526.70,     16435.95,     16463.15,40.30
,Nifty Sml250 Q50,     25204.55,     25261.30,     25400.25,     25203.55,     25322.60,118.05
,Nifty Top 15 EW,      9695.15,      9700.25,      9757.85,      9660.35,      9690.85,-4.30
,Nifty100 Alpha 30,     18043.60,     18103.10,     18151.15,     17954.95,     17976.60,-67.00
,Nifty100 Enh ESG,      4974.25,      4979.65,      5012.05,      4971.40,      4988.00,13.75
,Nifty200 Value 30,     14960.90,     14996.10,     15063.00,     14936.90,     14948.65,-12.25
,Nifty500 EW,     14877.20,     14919.60,     15003.00,     14912.30,     14954.15,76.95
,Nifty Multi MQ 50,     41079.65,     41214.10,     41486.70,     41209.50,     41366.95,287.30
,Nifty500 Value 50,     15997.25,     16033.20,     16086.95,     15954.05,     15975.45,-21.80
,Nifty Top 20 EW,      8671.35,      8671.05,      8727.95,      8654.65,      8681.55,10.20
,Nifty CoreHousing,     15764.25,     15798.65,     15943.40,     15795.25,     15853.15,88.90
,Nifty FinSerExBnk,     31911.90,     32063.10,     32402.10,     32009.60,     32152.05,240.15
,Nifty Housing,     12042.25,     12069.80,     12115.50,     11997.70,     12010.85,-31.40
,Nifty IPO,      2301.95,      2310.05,      2322.35,      2302.90,      2318.60,16.65
,Nifty MS Fin Serv,     22529.75,     22623.75,     22772.50,     22537.75,     22617.40,87.65
,Nifty MS Ind Cons,     18875.60,     18943.70,     18982.95,     18851.85,     18916.85,41.25
,Nifty MS IT Telcm,      9617.85,      9586.40,      9672.25,      9552.85,      9606.05,-11.80
,Nifty NonCyc Cons,     15146.95,     15180.95,     15234.45,     15154.60,     15203.60,56.65
,Nifty Rural,     15258.45,     15307.65,     15389.95,     15267.50,     15308.65,50.20
,Nifty Shariah 25,      7815.20,      7808.75,      7861.65,      7795.70,      7831.95,16.75
,Nifty Trans Logis,     24754.20,     24804.55,     25032.05,     24800.50,     24938.85,184.65
,Nifty50 Shariah,      4223.95,      4211.25,      4230.25,      4197.25,      4212.40,-11.55
,Nifty500 LMS Eql,     18395.30,     18446.40,     18545.35,     18425.70,     18474.05,78.75
,Nifty500 Shariah,      6897.05,      6900.40,      6931.20,      6895.25,      6917.50,20.45
,Nifty500 Qlty50,     19641.05,     19652.35,     19761.30,     19640.55,     19724.55,83.50
,Nifty500 LowVol50,     22107.35,     22150.95,     22256.60,     22126.50,     22201.15,93.80
,Nifty500 MQVLv50,     30942.25,     31030.05,     31137.40,     30989.20,     31048.20,105.95
,Nifty500 Flexicap,      9811.10,      9814.30,      9867.40,      9794.10,      9829.35,18.25
,Nifty TMMQ 50,     43513.70,     43671.35,     44010.85,     43667.50,     43946.00,432.30
,Nifty FPI 150,      1554.75,      1557.45,      1564.70,      1552.65,      1556.40,1.65
,Nifty SME Emerge,     14128.75,     14153.60,     14274.55,     14148.90,     14170.10,41.35
,Nifty Internet,      1345.05,      1347.10,      1369.70,      1344.25,      1366.10,21.05
,Nifty Chemicals,     29624.75,     29721.90,     30132.05,     29718.70,     29894.05,269.30
,Nifty Waves,      1991.60,      1991.55,      1997.05,      1965.85,      1968.95,-22.65
,Nifty InfraLog,     12230.00,     12261.60,     12332.55,     12224.85,     12263.50,33.50
