Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
13 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,13 JUL 2026,               5.00,          35286502,            202.45,     7143752329.90 
13 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,13 JUL 2026,              10.00,          10500000,             31.35,      328965000.00
13 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,13 JUL 2026,               1.00,         406486596,           1118.00,   454452014328.00    
13 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,13 JUL 2026,              10.00,           8582670,           1215.10,    10428802317.00
13 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,13 JUL 2026,              10.00,         207403767,             18.70,     3874302367.55 
13 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,13 JUL 2026,              10.00,          11265070,          36430.00,   410386500100.00   
13 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,13 JUL 2026,               2.00,          18000000,             32.65,      587700000.00    
13 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,13 JUL 2026,              10.00,          46882257,            370.70,    17379252669.90    
13 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,13 JUL 2026,               2.00,          46078537,            734.20,    33830861865.40   
13 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,13 JUL 2026,              10.00,         177522358,             13.15,     2334419007.70  
13 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,13 JUL 2026,              10.00,          12826800,             95.05,     1219059072.00   
13 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,13 JUL 2026,              10.00,         437298899,            535.90,   234348479974.10 
13 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,13 JUL 2026,              10.00,          14172816,             67.60,      958082361.60    
13 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,13 JUL 2026,               1.00,         101250000,              9.60,      970987500.00    
13 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,13 JUL 2026,              10.00,          14138000,             76.00,     1074488000.00  
13 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,13 JUL 2026,              10.00,          28354303,             81.20,     2301802317.55
13 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,13 JUL 2026,              10.00,          42238628,             25.00,     1055120927.45    
13 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,13 JUL 2026,              10.00,          20946478,            118.75,     2487813192.05     
13 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,13 JUL 2026,               5.00,          31770375,             48.55,     1543087113.75   
13 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,13 JUL 2026,              10.00,          91270000,            395.70,    36115539000.00
13 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,13 JUL 2026,               5.00,         362594491,            484.30,   175604511991.30  
13 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,13 JUL 2026,               5.00,          90657751,            717.80,    65074133667.80
13 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,13 JUL 2026,              10.00,           8464995,            385.35,     3261985823.25 
13 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,13 JUL 2026,              10.00,          14844100,            152.60,     2265506542.00     
13 JUL 2026,AASTHA,BE,AASTHA SPINTEX LIMITED   ,Listed    ,13 JUL 2026,              10.00,          44142190,            129.00,     5694783931.90    
13 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,10 JUL 2026,               5.00,          22600000,             19.35,      437310000.00    
13 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,13 JUL 2026,              10.00,          79287782,           1498.40,   118804812548.80     
13 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,13 JUL 2026,               2.00,          58365323,             14.15,      825285667.20      
13 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,13 JUL 2026,               2.00,          69748880,             28.05,     1957153572.80  
13 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,13 JUL 2026,               2.00,         211908375,           6807.00,  1442460308625.00       
13 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,13 JUL 2026,              10.00,          21249302,          27395.00,   582124628290.00
13 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,13 JUL 2026,              10.00,        2621853064,            407.45,  1068274030926.80 
13 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,13 JUL 2026,              10.00,          21963620,            208.30,     4575241682.20    
13 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,13 JUL 2026,               2.00,         279710151,            626.25,   175168482063.75      
13 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,13 JUL 2026,              10.00,        1220510115,             60.50,    73853067058.65     
13 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,10 JUL 2026,              10.00,          18587830,             26.55,      493506886.50 
13 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,13 JUL 2026,               1.00,         638789360,             10.25,     6541203046.40   
13 JUL 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,13 JUL 2026,              10.00,        1220521649,             99.25,   121124568446.75     
13 JUL 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,13 JUL 2026,              10.00,           9408000,             41.40,      389679360.00
13 JUL 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,13 JUL 2026,               5.00,          20002200,            205.10,     4102451220.00    
13 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
13 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,13 JUL 2026,              10.00,         111695680,           1436.60,   160462013888.00     
13 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,13 JUL 2026,               5.00,         289175042,           1173.70,   339404746795.40   
13 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,13 JUL 2026,              10.00,          24550000,            233.50,     5732425000.00 
13 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,13 JUL 2026,              10.00,         187787263,           1378.80,   258921078224.40       
13 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,13 JUL 2026,              10.00,          14926261,           1130.90,    16880108564.90   
13 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,13 JUL 2026,              10.00,          23989020,            524.45,    12581041539.00 
13 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,13 JUL 2026,              10.00,           3472000,            202.50,      703080000.00    
13 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,13 JUL 2026,              10.00,          11116000,            155.50,     1728538000.00     
13 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,13 JUL 2026,               1.00,         150560000,              5.15,      773878400.00  
13 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,13 JUL 2026,               2.00,         119083196,            985.70,   117380306297.20       
13 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,13 JUL 2026,              10.00,          10200000,             20.70,      211038000.00  
13 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,13 JUL 2026,              10.00,          16383735,            125.85,     2061893049.75    
13 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,13 JUL 2026,               2.00,         123458394,            529.25,    65340355024.50       
13 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,13 JUL 2026,              10.00,          92172140,             49.40,     4553303716.00       
13 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,13 JUL 2026,               2.00,         706874336,            378.80,   267763998476.80 
13 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,13 JUL 2026,              10.00,          60681608,             44.40,     2693656579.10   
13 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,13 JUL 2026,               5.00,          15015016,            178.30,     2677177352.80
13 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,13 JUL 2026,               5.00,          81871122,           3495.20,   286155945614.40   
13 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,13 JUL 2026,              10.00,        1201282642,           1644.60,  1975629433033.20
13 JUL 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,13 JUL 2026,               1.00,        1300905023,           3177.50,  4133625710582.50  
13 JUL 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,13 JUL 2026,              10.00,        1647176155,           1546.50,  2547357923707.50
13 JUL 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,13 JUL 2026,               2.00,        2303959098,           1810.30,  4170857155109.40
13 JUL 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,13 JUL 2026,               2.00,       19284694705,            215.45,  4155080321139.30
13 JUL 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,13 JUL 2026,              10.00,          15909732,             41.35,      657867418.20 
13 JUL 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,13 JUL 2026,               2.00,         109863595,            319.45,    35095925422.75  
13 JUL 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,13 JUL 2026,              10.00,          16318000,            196.45,     3205671100.00   
13 JUL 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,10 JUL 2026,              10.00,           5566250,             69.00,      384126912.50       
13 JUL 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,13 JUL 2026,              10.00,          17402815,           1333.00,    23197952395.00      
13 JUL 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,13 JUL 2026,              10.00,          54177208,              9.00,      487053099.90
13 JUL 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,13 JUL 2026,               5.00,          56568528,            125.75,     7112926710.70      
13 JUL 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,13 JUL 2026,              10.00,          10943011,           2184.30,    23902818927.30    
13 JUL 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,13 JUL 2026,              10.00,          64285720,            113.65,     7307357792.40   
