,12-Aug-2026
The Nifty witnessed an intraday movement of about 207.35 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 130811.40
, Traded Quantity (in Lakhs), 50927.55
, Number of Trades, 38377483
, Total Market Capitalisation (Rs. Crores), 49206738.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16705.05,     16703.15,     16716.00,     16518.35,     16632.35,-72.70
,NIFTY CONSR DURBL,     40302.50,     40355.70,     40372.30,     39683.40,     40122.95,-179.55
,NIFTY OIL AND GAS,     11279.10,     11289.25,     11307.90,     11189.10,     11293.90,14.80
,NIFTY500 MULTICAP,     16787.65,     16799.20,     16799.45,     16690.95,     16780.15,-7.50
,NIFTY LARGEMID250,     16959.25,     16968.70,     16976.40,     16857.05,     16973.65,14.40
,NIFTY MID SELECT,     14990.55,     15003.35,     15032.65,     14879.50,     15032.65,42.10
,NIFTY TOTAL MKT,     13367.80,     13373.30,     13373.55,     13284.60,     13365.30,-2.50
,NIFTY MICROCAP250,     25997.90,     26038.90,     26120.35,     25997.30,     26094.90,97.00
,NIFTY IND DIGITAL,      8819.45,      8828.25,      8828.70,      8698.65,      8767.35,-52.10
,Nifty Tata 25 Cap,     14883.35,     14885.35,     14887.40,     14511.65,     14701.80,-181.55
,Nifty MidSml Hlth,     52651.90,     52674.30,     52744.25,     52074.55,     52284.15,-367.75
,Nifty Multi Mfg,     17077.30,     17096.80,     17109.70,     17013.20,     17103.20,25.90
,Nifty Multi Infra,     14646.05,     14646.30,     14690.85,     14554.65,     14689.00,42.95
,BHARATBOND-APR30,      1615.26,      1615.58,      1615.59,      1615.55,      1615.55,0.29
,BHARATBOND-APR31,      1467.79,      1468.07,      1468.07,      1467.98,      1468.00,0.21
,BHARATBOND-APR32,      1335.06,      1335.32,      1335.33,      1335.32,      1335.33,0.27
,BHARATBOND-APR33,      1293.84,      1294.09,      1294.09,      1294.09,      1294.09,0.25
,Nifty Ind Defence,      9593.40,      9593.05,      9697.65,      9524.30,      9660.70,67.30
,Nifty Ind Tourism,      8096.15,      8090.65,      8104.35,      8008.05,      8084.65,-11.50
,Nifty Capital Mkt,      5337.55,      5365.05,      5365.05,      5291.20,      5339.55,2.00
,Nifty500Momentm50,     54968.80,     55166.75,     55597.10,     55084.00,     55579.10,610.30
,NiftyMS400 MQ 100,     52115.65,     52223.15,     52373.80,     52070.90,     52362.95,247.30
