Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
08 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,08 JUL 2026,               5.00,          35286502,            192.35,     6786652929.65 
08 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,08 JUL 2026,              10.00,          10500000,             31.20,      327705000.00
08 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,08 JUL 2026,               1.00,         406486596,           1091.70,   443761416853.20    
08 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,08 JUL 2026,              10.00,           8582670,           1166.20,    10009109754.00
08 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,08 JUL 2026,              10.00,         207403767,             18.10,     3749860107.35 
08 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,08 JUL 2026,              10.00,          11265070,          34255.00,   385884972850.00   
08 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,08 JUL 2026,               2.00,          18000000,             32.30,      581400000.00    
08 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,08 JUL 2026,              10.00,          46882257,            366.40,    17177658964.80    
08 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,08 JUL 2026,               2.00,          46078537,            666.85,    30727472398.45   
08 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,08 JUL 2026,              10.00,         177522358,             13.55,     2407203174.50  
08 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,08 JUL 2026,              10.00,          12826800,             95.85,     1229192244.00   
08 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,08 JUL 2026,              10.00,         437298899,            525.20,   229669381754.80 
08 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,08 JUL 2026,              10.00,          14172816,             67.00,      949578672.00    
08 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,08 JUL 2026,               1.00,         101250000,              8.80,      892012500.00    
08 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,07 JUL 2026,              10.00,          14138000,             79.00,     1116902000.00  
08 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,08 JUL 2026,              10.00,          28354303,             86.25,     2445275090.70
08 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,08 JUL 2026,              10.00,          42238628,             24.90,     1051741837.20    
08 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,08 JUL 2026,              10.00,          20946478,            116.15,     2433142884.50     
08 JUL 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,08 JUL 2026,               5.00,          31770375,             47.00,     1493843032.50   
08 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,08 JUL 2026,              10.00,          91270000,            387.10,    35330617000.00
