Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
03 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,03 JUL 2026,               5.00,          35286502,            204.35,     7211149548.70 
03 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,03 JUL 2026,              10.00,          10500000,             31.45,      330225000.00
03 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,03 JUL 2026,               1.00,         406486596,           1109.50,   450996878262.00    
03 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,03 JUL 2026,              10.00,           8582670,           1173.50,    10071763245.00
03 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,03 JUL 2026,              10.00,         207403767,             17.80,     3691787052.60 
03 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,03 JUL 2026,              10.00,          11265070,          35235.00,   396924741450.00   
03 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,03 JUL 2026,               2.00,          18000000,             33.50,      602640000.00    
03 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,03 JUL 2026,              10.00,          46882257,            387.65,    18173906926.05    
03 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,03 JUL 2026,               2.00,          46078537,            657.90,    30315069492.30   
03 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,03 JUL 2026,              10.00,         177522358,             14.00,     2487088235.60  
03 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,03 JUL 2026,              10.00,          12826800,             98.05,     1257411204.00   
03 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,03 JUL 2026,              10.00,         437298899,            555.60,   242963268284.40 
03 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,03 JUL 2026,              10.00,          14172816,             69.00,      977924304.00    
03 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,03 JUL 2026,               1.00,         101250000,              8.95,      907200000.00    
03 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,03 JUL 2026,              10.00,          14138000,             77.80,     1099936400.00  
03 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,03 JUL 2026,              10.00,          28354303,             84.85,     2406429695.60
03 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,03 JUL 2026,              10.00,          42238628,             24.65,     1041182180.20    
03 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,03 JUL 2026,              10.00,          20946478,            118.65,     2485090149.90     
03 JUL 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,03 JUL 2026,               5.00,          31770375,             47.90,     1521800962.50   
03 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,03 JUL 2026,              10.00,          91270000,            386.60,    35284982000.00
03 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,03 JUL 2026,               5.00,         362594491,            487.70,   176837333260.70  
03 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,03 JUL 2026,               5.00,          90657751,            706.35,    64036102418.85
03 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,03 JUL 2026,              10.00,           8464995,            382.65,     3239130336.75 
03 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,03 JUL 2026,              10.00,          14844100,            144.10,     2139331692.00     
03 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,03 JUL 2026,               5.00,          22600000,             20.50,      463300000.00    
03 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,03 JUL 2026,              10.00,          79287782,           1506.10,   119415328470.20     
03 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,03 JUL 2026,               2.00,          58365323,             15.25,      889487522.50      
03 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,03 JUL 2026,               2.00,          69748880,             29.50,     2056196982.40  
03 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,03 JUL 2026,               2.00,         211908375,           6950.50,  1472869160437.50       
03 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,03 JUL 2026,              10.00,          21249302,          25895.00,   550250675290.00
03 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,03 JUL 2026,              10.00,        2621853064,            401.25,  1052018541930.00 
03 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,03 JUL 2026,              10.00,          21963620,            218.75,     4804102602.60    
03 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,03 JUL 2026,               2.00,         279710151,            655.15,   183252105427.65      
03 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,03 JUL 2026,              10.00,        1220510115,             62.45,    76245266884.05     
03 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,01 JUL 2026,              10.00,          18587830,             27.70,      514882891.00 
03 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,03 JUL 2026,               1.00,         638789360,             10.95,     6981967704.80   
03 JUL 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,03 JUL 2026,              10.00,        1220521649,             97.90,   119476864220.60     
03 JUL 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,03 JUL 2026,              10.00,           9408000,             41.90,      394195200.00
03 JUL 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,03 JUL 2026,               5.00,          20002200,            216.00,     4320875244.00    
03 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
03 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,03 JUL 2026,              10.00,         111695680,           1405.60,   156999447808.00     
03 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,03 JUL 2026,               5.00,         289175042,           1178.40,   340763869492.80   
03 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,03 JUL 2026,              10.00,          24550000,            241.35,     5925142500.00 
03 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,03 JUL 2026,              10.00,         187787263,           1393.80,   261737887169.40       
03 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,03 JUL 2026,              10.00,          14926261,           1126.00,    16806969886.00   
03 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,03 JUL 2026,              10.00,          23989020,            499.25,    11976518235.00 
03 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,03 JUL 2026,              10.00,           3472000,            169.90,      589892800.00    
03 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,03 JUL 2026,              10.00,          11116000,            155.65,     1730205400.00     
03 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,03 JUL 2026,               1.00,         150560000,              5.40,      810012800.00  
03 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,03 JUL 2026,               2.00,         119083196,            989.90,   117880455720.40       
03 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,03 JUL 2026,              10.00,          10200000,             21.45,      218688000.00  
03 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,02 JUL 2026,              10.00,          16383735,            126.80,     2077457598.00    
03 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,03 JUL 2026,               2.00,         123458394,            539.65,    66624322322.10       
03 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,03 JUL 2026,              10.00,          92172140,             51.10,     4710918075.40       
03 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,03 JUL 2026,               2.00,         706874336,            383.25,   270909589272.00 
03 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,03 JUL 2026,              10.00,          60681608,             44.00,     2669383935.90   
03 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,30 JUN 2026,               5.00,          15015016,            178.50,     2680180356.00
03 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,03 JUL 2026,               5.00,          81871122,           3694.80,   302497421565.60   
03 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,03 JUL 2026,              10.00,        1201282642,           1568.80,  1884572208769.60
03 JUL 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,03 JUL 2026,               1.00,        1300905023,           3212.10,  4178637024378.30  
