SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,81.91,88.38
WHEELS,20.36,20.36
RIIL,94.43,94.43
PREMIERPOL,21.48,21.48
RAYMOND,64.20,15.15
RSWM,15.45,13.75
SHREDIGCEM,59.58,59.58
SESHAPAPER,14.60,14.60
SMLMAH,51.39,51.39
SUNDRMFAST,37.35,36.76
EXIDEIND,44.47,44.15
ELECON,41.62,39.55
CRISIL,38.10,38.10
LMW,101.63,97.05
NELCO,566.85,211.62
MASTEK,13.59,13.08
MAHSCOOTER,56.70,56.70
LUMAXIND,28.89,27.15
TRENT,88.06,87.13
KECL,68.72,44.20
CUMMINSIND,63.54,61.72
KCP,8.24,7.94
JAYBARMARU,10.91,10.56
INFY,15.73,15.28
INDIAGLYCO,26.18,26.12
IONEXCHANG,55.71,49.54
IFBIND,35.47,33.31
IGPL,18.59,18.59
HIMATSEIDE,16.37,16.37
GNFC,7.59,7.59
GFLLIMITED,12.39,12.39
BPCL,8.13,8.99
BHARATFORG,99.41,90.97
BASF,27.54,27.54
FORCEMOT,19.26,21.91
ATUL,24.59,24.64
ARVIND,35.72,34.79
ACC,13.41,13.47
TMPV,1.55,1.46
SCI,8.77,8.77
MRPL,9.32,10.60
LINDEINDIA,110.50,110.50
HINDPETRO,50.04,50.04
ESCORTS,24.92,24.20
RELINFRA,0.65,0.86
BAJAJHLDNG,13.94,13.94
ASHOKLEY,28.02,26.17
ZUARIIND,7.30,6.71
VOLTAS,114.92,109.11
TITAN,76.16,75.16
TATASTEEL,20.79,19.33
SUNDARMFIN,23.04,22.46
SPIC,6.53,6.53
VEDL,3.82,3.62
SBIN,11.75,12.07
RELIANCE,20.49,20.49
PFIZER,30.37,29.04
NOCIL,42.60,40.49
BOSCHLTD,45.68,54.45
DRREDDY,30.73,30.73
BATAINDIA,69.00,99.37
DEEPAKFERT,19.71,19.71
CHAMBLFERT,9.37,9.37
CARBORUNIV,111.30,45.17
MAHSEAMLES,10.72,10.70
HINDOILEXP,32.84,67.61
DICIND,25.05,22.70
COROMANDEL,34.33,33.55
BALMLAWRIE,11.65,11.65
VINDHYATEL,11.20,11.20
MOTOGENFIN,0.68,
MARALOVER,10.37,10.10
ASIANPAINT,54.24,53.00
RAMCOCEM,34.18,184.75
INDIACEM,133.40,85.95
PGHL,28.58,30.65
BEML,83.44,83.44
ADOR,22.73,22.37
CENTENKA,9.06,8.97
TORNTPHARM,86.87,83.94
VTL,20.42,20.42
SUNDROP,91.96,91.96
FEDERALBNK,18.80,18.80
EPL,18.28,17.24
VLSFINANCE,38.24,38.24
SUPREMEIND,42.35,42.35
SRF,35.86,34.84
BIRLACABLE,16.49,16.49
BALRAMCHIN,35.39,35.39
AEGISLOG,32.60,32.60
WEIZMANIND,20.56,20.56
UNICHEMLAB,13.64,68.93
BBOX,60.78,47.97
HONAUT,60.80,59.91
JTEKTINDIA,50.44,47.60
SAURASHCEM,103.35,46.11
RANEHOLDIN,18.44,21.37
PRECOT,27.22,27.22
TATAELXSI,35.98,33.41
SUNPHARMA,38.51,36.87
KOHINOOR,1.06,
SHREYANIND,30.42,30.42
SANDESH,8.00,7.87
HCC,32.41,37.40
BAJAJHIND,33.30,30.00
APOLLOHOSP,64.22,63.75
ARE&M,19.04,24.22
ADANIENT,54.41,104.61
IVP,5.53,5.47
BALKRISIND,33.92,33.92
INDBANK,19.87,19.87
GINNIFILA,11.00,11.00
EICHERMOT,38.14,37.86
GVT&D,84.35,81.52
NEULANDLAB,58.91,58.91
ONGC,6.71,6.67
ITI,92.86,
ZENSARTECH,14.63,14.27
TAINWALCHM,24.29,24.20
BERGEPAINT,50.79,50.33
BANARISUG,29.60,29.60
KPIL,21.83,22.27
JYOTISTRUC,21.23,21.23
IGARASHI,89.25,89.25
BSL,53.51,53.51
BLUEDART,42.07,37.25
JAYNECOIND,15.90,15.62
MUNJALSHOW,21.63,20.29
APCOTEXIND,19.77,19.83
SOTL,12.53,12.53
HSCL,47.23,47.23
RCF,16.38,17.82
RANASUG,8.08,
KARURVYSYA,11.82,11.82
DECCANCE,28.40,52.79
WSI,204.85,238.00
UFLEX,11.13,10.82
TATAPOWER,23.13,22.95
ADVANIHOTR,19.44,18.89
THOMASCOOK,23.25,22.70
SUNFLAG,34.68,33.55
SUBROS,32.50,31.45
SPMLINFRA,21.40,21.40
SIMPLEXINF,46.72,47.54
SIEMENS,75.37,75.37
BHARATRAS,15.87,14.44
WIPRO,13.98,13.98
VSTIND,13.40,13.40
JUBLPHARMA,37.35,33.64
UNIVCABLES,22.53,22.53
TATACOMM,53.42,48.51
TOKYOPLAST,223.85,223.85
SOMANYCERA,27.45,26.51
MURUDCERA,17.43,17.43
IFCI,45.85,44.31
HLVLTD,100.06,61.19
SANOFI,23.82,22.50
M&M,21.51,21.29
LIBERTSHOE,39.94,40.43
KAJARIACER,33.49,31.75
KABRAEXTRU,3092.00,2095.75
HEIDELBERG,30.45,29.14
MODTHREAD,13.76,13.76
MODIRUBBER,493.61,493.61
MANGLMCEM,22.48,20.40
PRSMJOHNSN,37.87,151.11
POLYPLEX,85.59,85.59
PIDILITIND,63.13,63.14
PCBL,48.93,51.74
3PLAND,25.47,25.47
EIHAHOTELS,20.98,20.55
HONDAPOWER,32.24,29.04
JINDALSAW,28.90,28.90
SAIL,17.07,15.21
RUBYMILLS,29.06,29.06
STYRENIX,14.55,14.48
ABB,53.90,53.90
IDBI,9.72,9.72
GRAPHITE,66.37,65.79
CANFINHOME,9.56,9.56
BRITANNIA,50.84,50.84
BBL,23.54,23.54
ELECTCAST,36.85,30.16
DHAMPURSUG,13.76,13.76
DCMSHRIRAM,11.05,11.66
DABUR,37.36,37.14
COSMOFIRST,14.04,13.59
CIPLA,35.24,33.01
HEROMOTOCO,20.87,20.52
HDFCBANK,14.26,14.06
HARRMALAYA,14.10,14.10
GMBREW,12.30,12.30
GIPCL,6.09,6.09
ITC,17.76,17.81
INDIANHUME,14.64,22.47
HINDCOMPOS,19.37,18.52
IOC,5.67,5.67
OSWALGREEN,,14.95
HUHTAMAKI,15.22,15.22
RICOAUTO,39.11,34.68
KAMATHOTEL,13.06,17.86
IFBAGRO,15.29,15.29
BANCOINDIA,19.87,20.40
MANINDS,24.42,24.42
APOLLOTYRE,16.54,14.99
SIYSIL,11.96,11.96
SHANTIGEAR,48.32,45.81
PRECWIRE,48.72,48.72
ONWARDTEC,15.12,14.36
NILKAMAL,20.82,19.37
NCC,12.22,11.80
ICIL,67.35,67.35
SEAMECLTD,15.32,15.32
ELGIEQUIP,43.35,42.30
AUROPHARMA,25.71,25.23
BBTC,4.20,4.34
EIHOTEL,25.88,25.33
KANORICHEM,5.78,5.78
LICHSGFIN,4.83,4.83
GICHSGFIN,5.32,5.32
BEPL,15.39,15.39
RAIN,11.24,11.24
BANARBEADS,39.86,39.86
MOREPENLAB,31.29,37.48
WSTCSTPAPR,25.41,25.41
VENKEYS,16.47,16.47
GHCL,7.73,8.39
S&SPOWER,38.80,38.80
PRUDMOULI,5.73,5.73
PRAJIND,250.55,65.83
BPL,,271.60
PGHH,34.88,34.88
VESUVIUS,38.03,38.03
TFCILTD,35.29,35.29
BOMDYEING,92.24,89.59
GTL,0.21,
NAVNETEDUL,9.42,53.58
GUJALKALI,74.61,74.61
AGI,12.68,12.55
GLAXO,41.23,41.83
TATACONSUM,65.22,64.66
ZEEL,33.35,32.51
CHOLAFIN,27.67,27.67
INDHOTEL,45.07,49.55
FMGOETZE,15.38,14.47
KOTAKBANK,19.15,19.41
ORIENTHOT,34.29,33.95
GILLETTE,37.48,37.48
GOLDENTOBC,6.26,7.11
KANSAINER,29.18,27.12
FOSECOIND,47.83,42.11
ESABINDIA,41.94,45.52
3MINDIA,77.72,92.36
ANDHRAPAP,43.08,43.08
GABRIEL,89.10,86.08
SCHAEFFLER,51.92,51.92
AARTIIND,34.32,34.91
RALLIS,19.36,
AMJLAND,10.70,10.70
PRAKASH,6.92,6.92
MFSL,489.56,489.56
KSB,55.60,52.16
KOPRAN,35.03,35.03
HEG,36.24,36.24
GREAVESCOT,224.87,255.54
GODFRYPHLP,26.06,26.06
VARDMNPOLY,40.75,40.75
SURYAROSNI,19.22,19.22
TATAINVEST,81.45,81.45
GLFL,555.33,555.33
TIMKEN,59.73,59.73
SUDARSCHEM,222.35,105.92
SHREECEM,57.36,57.36
SAKHTISUG,7.27,7.27
IPCALAB,37.20,35.32
INGERRAND,51.81,50.46
JSWDULUX,6.95,37.31
HINDALCO,14.52,11.74
HINDZINC,14.93,14.95
HINDUNILVR,32.90,32.61
GSFC,9.55,9.55
GRASIM,21.95,21.45
AMBUJACEM,20.79,17.92
FINPIPE,16.58,16.58
FINCABLES,21.96,26.33
EIDPARRY,10.38,6.38
DCW,28.40,28.40
DCM,53.50,53.50
CGPOWER,111.66,109.49
SUDARCOLOR,20.33,14.65
CESC,13.48,13.48
BIRLACORPN,12.72,12.58
BHEL,58.00,58.00
BHARATGEAR,10.87,10.87
BEL,47.68,47.68
BAJFINANCE,32.51,32.22
ASHAPURMIN,17.17,16.98
NAVA,15.87,15.87
CORALFINAC,8.95,8.95
GREENPLY,36.15,31.55
TNPL,4.37,4.37
AUTOAXLES,15.85,15.11
REMSONSIND,17.44,16.85
DALMIASUG,16.10,16.10
NATCOPHARM,11.57,11.57
KHAITANLTD,10.72,10.72
SWARAJENG,21.67,21.41
MRF,23.52,23.07
GARFIBRES,37.73,35.96
ANDHRSUGAR,10.92,10.18
TNPETRO,9.33,9.95
TTKPRESTIG,44.40,41.41
STARPAPER,7.27,7.27
SKFINDIA,28.52,26.24
AUSOMENT,9.85,9.85
EIMCOELECO,26.93,26.93
JAYAGROGN,12.16,12.16
CUBEXTUB,15.38,15.38
MARICO,57.34,57.34
SILINV,12.23,12.23
BIOFILCHEM,18.92,18.92
KEYFINSERV,20.78,20.25
ZENITHEXPO,51.02,51.02
SUNDRMBRAK,86.46,79.16
SANGAMIND,25.30,24.11
MOTHERSON,39.04,37.44
SOMATEX,35.01,84.69
VISAKAIND,9.93,12.57
AARTIDRUGS,19.88,19.72
STERTOOLS,33.87,62.53
CREST,21.65,21.65
INDIANCARD,35.14,28.10
HITECHGEAR,53.42,53.42
WENDT,96.18,96.18
DENORA,38.64,38.64
TVSSRICHAK,42.72,46.85
SHRIRAMFIN,23.18,23.18
PUNJABCHEM,20.83,20.32
DYNAMATECH,182.49,137.75
GUJAPOLLO,80.15,80.15
GANESHHOU,23.92,23.92
MMFL,30.97,30.96
JAGSNPHARM,33.52,32.42
ALKYLAMINE,43.01,43.01
BOSCH-HCIL,979.57,227.96
MPHASIS,24.73,24.40
GUJRAFFIA,20.78,20.78
RUCHINFRA,13.72,13.72
RAMCOIND,9.63,9.82
KOTHARIPET,12.14,12.11
HERITGFOOD,24.96,26.54
INDRAMEDCO,18.56,18.56
BANKBARODA,7.20,5.88
MADRASFERT,13.30,12.23
GAIL,11.57,11.57
INDNIPPON,22.94,25.54
SKMEGGPROD,11.11,11.11
BANKINDIA,5.60,5.60
CONCOR,30.85,30.85
ICICIBANK,18.18,18.18
KCPSUGIND,30.52,30.52
HUDCO,9.46,9.46
INDSWFTLAB,47.96,40.72
SAREGAMA,45.28,44.07
FDC,20.58,19.55
ENGINERSIN,19.55,19.55
ADROITINFO,15.07,15.07
JAICORPLTD,10.76,10.69
ANTGRAPHIC,9.36,9.36
GMDCLTD,19.38,32.18
INDUSINDBK,60.22,60.22
ASAHIINDIA,52.15,50.90
TRIGYN,82.90,51.91
J&KBANK,7.61,7.61
KOTHARIPRO,10.53,14.68
CUB,14.97,14.97
SOUTHBANK,8.17,8.17
ASTRAZEN,109.20,107.13
CEMPRO,34.50,34.50
AXISBANK,13.87,13.87
CYIENT,21.68,20.06
SONATSOFTW,19.26,17.62
NOIDATOLL,2.86,2.86
CYBERTECH,13.23,13.23
KOKUYOCMLN,38.70,38.70
DHANBANK,11.21,11.21
SANGHVIMOV,21.22,20.53
STCINDIA,34.72,14.89
MANUGRAPH,9.91,12.80
VIPCLOTHNG,19.05,19.05
NATIONALUM,10.37,10.37
IVC,53.72,53.72
JINDALSTEL,41.54,28.37
ALEMBICLTD,6.86,6.86
ICDSLTD,50.08,50.08
BSOFT,15.54,14.93
HCLTECH,21.12,20.28
ACCELYA,17.90,16.91
STAR,14.58,15.51
ZYDUSLIFE,21.69,20.24
GLENMARK,35.77,20.99
RAJESHEXPO,21.94,21.94
CINEVISTA,13.84,13.84
SHREERAMA,20.69,20.69
WOCKPHARMA,165.02,114.33
NRBBEARING,29.70,29.32
IOB,11.07,11.07
RAMCOSYS,57.73,20.67
GVPIL,20.30,18.38
BIL,82.82,82.82
KTKBANK,8.16,8.16
MAHLIFE,24.81,26.75
MUKTAARTS,,44.41
BLBLIMITED,2.53,2.53
AJANTPHARM,38.42,38.42
BLUESTARCO,61.16,59.02
CALSOFT,5.27,5.27
TVSMOTOR,58.59,58.05
PNBGILTS,14.21,14.51
PNC,,8.05
TAJGVK,5.31,14.74
NLCINDIA,12.54,12.54
REPRO,5.43,
CHENNPETRO,4.55,4.55
TTML,205.08,
KRBL,13.37,13.37
HAVELLS,49.55,48.56
GAEL,18.66,18.52
USHAMART,30.93,30.13
AXISCADES,94.34,86.98
UMIYA-MRO,19.61,19.61
TIPSMUSIC,38.44,38.44
STLTECH,135.12,140.66
HIKAL,,52.11
TRIDENT,32.47,32.47
MARKSANS,29.54,29.54
GOLDTECH,279.54,
SMARTLINK,12.95,12.95
GODREJCP,56.15,51.50
JISLJALEQS,,164.16
LUPIN,19.47,17.96
UNITDSPR,58.41,55.01
TCI,15.29,15.29
MPSLTD,26.62,27.34
BHARTIARTL,33.59,31.05
ASAL,26.91,25.97
OLECTRA,63.32,64.62
PONNIERODE,5.57,9.40
PNB,5.97,5.97
APTECHT,22.85,21.51
SURANAT&P,8.02,8.02
TEAMGTY,279.58,279.58
OFSS,30.12,30.12
UNIONBANK,6.79,6.79
NUCLEUS,17.44,16.09
CANBK,6.03,6.03
GENESYS,46.37,43.03
OMAXAUTO,9.66,9.66
GODREJIND,18.32,17.96
DIVISLAB,75.10,73.73
RADICO,85.68,84.81
INDORAMA,9.63,9.47
MARUTI,30.79,30.79
VARDHACRLC,8.62,8.62
UCOBANK,11.75,11.75
BAGFILMS,18.66,18.66
JSL,18.70,18.44
NSIL,50.43,50.42
WELSPUNLIV,72.82,70.59
JAIBALAJI,46.06,44.91
IGL,13.78,13.78
DREDGECORP,76.26,76.26
TVTODAY,39.88,0.94
UNIENTER,32.63,32.63
UPL,20.82,20.05
MUKANDLTD,3.43,3.43
PETRONET,10.76,10.76
PTC,10.26,10.20
VAIBHAVGBL,14.27,14.28
BIOCON,166.86,68.95
MAHABANK,7.99,7.99
POONAWALLA,53.71,53.71
XPROINDIA,78.94,78.94
RKFORGE,123.82,108.30
DATAMATICS,23.57,20.02
CCL,34.88,34.88
EXCELINDUS,17.10,17.10
LT,28.43,26.72
APARINDS,56.56,55.43
AMBICAAGAR,12.40,12.40
CENTEXT,16.77,16.11
NIITLTD,140.52,73.82
ULTRACEMCO,41.62,41.18
TCS,17.73,16.44
COFORGE,40.95,37.44
TEXINFRA,154.28,154.28
GULFPETRO,7.12,6.74
GUFICBIO,65.81,65.81
ASTRAMICRO,90.53,90.53
WELENT,23.42,21.80
NTPC,11.72,11.72
KOTARISUG,33.14,
JBMA,63.05,61.47
DWARKESH,52.26,52.26
INDOCO,660.21,
SUPRAJIT,38.32,38.10
PATELENG,10.54,6.59
XCHANGING,12.60,12.60
JSWSTEEL,11.35,26.27
CONSOFINVT,17.70,17.70
JPPOWER,19.17,14.73
EVEREADY,14.55,
GOKEX,58.94,58.94
SAKSOFT,16.80,16.35
ALLDIGI,14.45,13.34
IIFL,11.54,11.54
WELCORP,20.93,20.93
SSWL,22.84,22.84
CYBERMEDIA,7.49,7.78
SHAHALLOYS,3.69,
SURYALAXMI,28.25,29.76
JKPAPER,21.18,20.53
PRIMESECU,215.75,59.26
GRANULES,32.69,33.39
JSWHL,97.16,95.93
VHL,4.52,4.52
GEOJITFSL,28.76,26.70
GENUSPOWER,15.75,15.75
YESBANK,18.87,18.87
MSPL,53.84,14.63
SPLIL,13.43,13.43
MCLEODRUSS,,21.64
SEMAC,13.17,13.17
GOLDIAM,26.61,26.61
RML,24.46,23.97
HTMEDIA,87.21,8.47
SASKEN,40.42,37.69
FCSSOFT,89.27,57.19
IMPAL,17.94,17.94
SUZLON,21.05,21.52
AURIONPRO,19.49,19.11
BASML,15.72,15.72
TRIVENI,18.74,18.20
AIAENG,35.12,35.05
NAHARINDUS,10.75,10.61
ORIENTCER,19.50,18.51
EKC,8.62,8.77
VIMTALABS,36.53,36.02
KERNEX,46.69,46.69
PVRINOX,25.58,22.96
NITINSPIN,15.32,15.32
ROHLTD,26.60,27.44
ENIL,,295.44
JAGRAN,7.47,7.47
SADBHAV,1.64,11.20
SAKUMA,26.86,26.86
KEC,21.05,19.49
JKCEMENT,44.30,42.76
INDOTECH,43.42,43.42
M&MFIN,17.42,16.87
BLKASHYAP,815.57,30.33
VISACHROME,0.53,
NITCO,83.37,73.15
CENTURYPLY,58.16,57.10
KEI,53.71,53.71
VAKRANGEE,64.52,64.63
SOLARINDS,97.17,97.13
GALLANTT,33.52,33.52
UTTAMSUGAR,9.58,9.48
KKCL,19.69,19.69
SUNTV,13.31,12.86
GPIL,20.05,19.71
RSYSTEMS,15.24,13.94
EMKAY,33.43,33.43
BALPHARMA,22.48,22.48
SWELECTES,17.65,17.12
KAMDHENU,11.58,11.58
RATNAMANI,29.95,29.51
PIONEEREMB,122.42,
JKLAKSHMI,18.92,18.08
PFOCUS,153.82,93.24
ALLCARGO,42.03,34.82
MUNJALAU,22.19,25.54
EMAMILTD,24.01,23.72
GMRAIRPORT,239.61,207.31
TECHM,31.04,29.95
GRINDWELL,53.98,53.98
VOLTAMP,45.45,45.45
ANTELOPUS,21.18,19.87
ACE,29.83,29.83
ANANTRAJ,38.19,38.19
TALBROAUTO,26.05,26.05
ALICON,35.40,33.29
GEECEE,16.12,16.44
JMFINANCIL,10.98,10.82
FIEMIND,26.57,26.57
DCBBANK,7.88,7.88
INSPIRISYS,9.68,9.22
GTLINFRA,1.47,
NAUKRI,45.07,46.05
VGL,25.36,25.36
GESHIP,5.11,5.11
TORNTPOWER,28.48,28.48
MANALIPETC,8.56,16.44
LTFOODS,23.19,23.19
DONEAR,10.11,10.11
RUCHIRA,12.22,12.22
SOBHA,62.08,62.08
VENUSREM,17.73,17.73
JINDRILL,9.62,9.45
HIRECT,116.68,113.86
NFL,16.68,16.68
PLASTIBLEN,12.03,12.03
PARACABLES,37.75,37.76
HBLENGINE,37.55,37.18
TANLA,15.27,15.27
AVTNPL,16.89,16.89
ZEEMEDIA,249.23,70.60
VEEDOL,13.61,13.61
LUMAXTECH,34.82,33.83
SARLAPOLY,496.68,12.27
PTL,11.54,11.54
WANBURY,13.47,12.80
AUTOIND,11.05,25.39
GANDHITUBE,15.81,15.64
PITTIENG,30.04,30.04
NETWORK18,,5455.95
UNOMINDA,57.51,56.61
IZMO,30.96,30.96
HUBTOWN,23.06,23.06
CTE,155.12,155.12
TIIL,20.84,20.84
ORIENTBELL,37.17,34.49
PGIL,37.47,37.10
REDINGTON,18.44,17.31
TTL,325.98,325.98
FSL,29.07,24.41
PFC,4.12,4.12
SMSPHARMA,34.58,34.58
INDIANB,9.37,9.37
ORIENTALTL,21.14,15.84
IDEA,3.99,
PAGEIND,58.26,56.36
LAOPALA,22.84,22.49
JKTYRE,17.34,13.60
ASTRAL,72.55,70.43
NAHARSPING,15.06,15.06
NAHARPOLY,8.06,8.06
THEMISMED,889.84,506.57
NCLIND,8.79,8.19
BALAMINES,31.20,31.20
BANSWRAS,11.41,10.18
ICRA,25.05,24.92
PHOENIXLTD,41.59,41.00
NDLVENTURE,480.14,480.14
ZENITHSTL,16.79,23.62
BFUTILITIE,7.15,7.15
FORTIS,67.38,66.26
SRHHYPOLTD,9.92,8.89
WEBELSOLAR,13.81,13.79
TGBHOTELS,18.85,18.85
HILTON,31.97,31.97
INSECTICID,13.52,13.52
KMSUGAR,5.38,5.38
NAVINFLUOR,53.71,53.34
TIMETECHNO,20.31,20.31
NAGREEKEXP,23.14,23.14
NELCAST,26.61,26.61
V2RETAIL,49.56,57.33
DLF,35.74,37.39
TARMAT,21.16,21.16
SPARC,4.45,4.42
SIGMAADV,46.76,45.52
ADSL,16.92,16.67
ALPA,9.45,9.45
CENTRALBK,6.22,6.22
ASIANTILES,166.58,166.58
TAKE,30.94,30.94
KPRMILL,42.47,42.47
CIEINDIA,17.24,17.24
PURVA,88.75,88.75
MOTILALOFS,26.41,26.41
INDOWIND,,196.43
NAGREEKCAP,3.82,3.82
KSCL,13.29,13.29
POWERGRID,15.89,15.89
SUPREMEINF,0.15,
MAANALU,57.28,57.28
IL&FSENGG,45.51,36.48
DELTACORP,19.88,19.30
BAJAJELEC,,62.32
ENERGYDEV,,14.41
CERA,38.52,38.01
RELIGARE,108.29,108.29
BVCL,312.35,312.35
ADANIPORTS,29.74,29.34
EDELWEISS,15.76,13.75
RGL,12.10,12.10
