SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,73.02,77.68
WHEELS,22.11,22.11
RIIL,106.19,106.19
PREMIERPOL,22.60,22.60
RAYMOND,67.26,14.57
RSWM,19.86,17.22
SHREDIGCEM,60.23,60.23
SESHAPAPER,17.88,17.88
SMLMAH,35.21,35.21
SUNDRMFAST,33.80,33.26
EXIDEIND,41.87,41.55
ELECON,39.44,37.48
CRISIL,37.13,37.13
LMW,96.87,92.50
NELCO,585.61,214.67
MASTEK,13.90,13.38
MAHSCOOTER,46.86,46.86
LUMAXIND,40.39,36.67
TRENT,90.99,89.97
KECL,68.44,44.02
CUMMINSIND,72.17,70.14
KCP,7.54,7.29
JAYBARMARU,12.71,12.30
INFY,14.79,14.37
INDIAGLYCO,31.23,31.14
IONEXCHANG,43.40,39.96
IFBIND,36.69,34.24
IGPL,642.46,642.46
HIMATSEIDE,16.07,16.07
GNFC,9.43,9.43
BPCL,8.48,9.42
BHARATFORG,94.09,86.17
BASF,38.76,38.76
FORCEMOT,18.50,21.14
ATUL,24.28,24.33
ARVIND,31.90,31.06
ACC,13.25,13.31
TMPV,,28.29
SCI,9.80,9.80
MRPL,9.04,10.30
LINDEINDIA,115.23,115.23
HINDPETRO,2240.09,2240.09
ESCORTS,24.64,25.03
BAJAJHLDNG,55.21,148.18
ASHOKLEY,25.21,23.53
VOLTAS,86.67,83.39
TITAN,84.89,83.63
TATASTEEL,21.68,20.35
SUNDARMFIN,24.50,23.81
SPIC,7.54,7.54
VEDL,6.39,5.83
SBIN,10.98,11.28
RELIANCE,19.51,19.51
PFIZER,29.31,28.03
NOCIL,48.33,45.51
BOSCHLTD,43.99,52.44
DRREDDY,29.91,29.91
BATAINDIA,66.56,95.84
DEEPAKFERT,28.15,28.15
CHAMBLFERT,9.63,9.63
CARBORUNIV,148.06,49.15
MAHSEAMLES,10.81,10.75
HINDOILEXP,33.12,68.19
DICIND,24.03,21.77
COROMANDEL,33.63,32.86
BALMLAWRIE,14.87,14.87
MOTOGENFIN,0.70,
MARALOVER,73.36,61.99
ASIANPAINT,62.06,60.45
RAMCOCEM,31.02,120.94
INDIACEM,130.66,84.18
PGHL,33.90,33.90
BEML,103.65,103.65
ADOR,22.31,21.95
CENTENKA,8.88,8.79
TORNTPHARM,87.14,84.71
VTL,25.22,25.22
SUNDROP,126.22,126.22
FEDERALBNK,18.25,18.25
EPL,19.09,18.01
VLSFINANCE,36.51,36.51
SUPREMEIND,48.83,48.83
SRF,36.11,35.09
BIRLACABLE,34.61,34.61
BALRAMCHIN,37.39,37.39
AEGISLOG,40.29,40.29
WEIZMANIND,17.20,17.20
UNICHEMLAB,14.86,75.10
BBOX,59.79,47.19
HONAUT,63.17,62.20
JTEKTINDIA,48.76,46.02
SAURASHCEM,44.06,27.96
RANEHOLDIN,16.03,18.23
PRECOT,26.86,26.86
TATAELXSI,34.09,31.65
SUNPHARMA,41.01,37.78
KOHINOOR,1.05,
SHREYANIND,30.25,30.25
SANDESH,11.19,10.90
HCC,34.52,40.06
BAJAJHIND,31.80,28.66
APOLLOHOSP,65.39,64.89
ARE&M,17.61,22.40
ADANIENT,41.92,160.64
IVP,8.43,8.29
BALKRISIND,31.31,31.31
INDBANK,19.94,19.94
GINNIFILA,11.39,11.39
EICHERMOT,45.60,45.18
GVT&D,85.62,82.60
NEULANDLAB,66.51,66.51
ONGC,6.42,6.38
ITI,89.91,
ZENSARTECH,15.41,15.04
TAINWALCHM,17.35,17.35
BERGEPAINT,54.06,52.18
BANARISUG,29.52,29.52
KPIL,20.97,21.39
JYOTISTRUC,22.88,22.88
IGARASHI,115.84,115.84
BSL,54.65,54.65
BLUEDART,48.95,42.56
JAYNECOIND,15.21,14.95
MUNJALSHOW,25.11,23.35
APCOTEXIND,30.22,30.35
SOTL,23.36,23.36
HSCL,47.04,47.04
RCF,16.21,17.63
RANASUG,7.70,
KARURVYSYA,11.92,11.92
DECCANCE,26.72,49.68
WSI,214.28,248.96
UFLEX,10.39,10.11
TATAPOWER,26.75,26.49
ADVANIHOTR,19.88,19.32
THOMASCOOK,21.28,20.79
SUNFLAG,31.88,30.83
SUBROS,30.61,29.62
SPMLINFRA,21.69,21.69
SIMPLEXINF,49.61,50.54
SIEMENS,103.71,103.71
BHARATRAS,14.84,13.50
WIPRO,13.52,13.52
VSTIND,13.98,13.98
JUBLPHARMA,38.58,34.75
UNIVCABLES,52.08,52.08
TATACOMM,55.52,50.26
TOKYOPLAST,213.85,213.85
SOMANYCERA,26.54,25.63
MURUDCERA,16.48,16.48
IFCI,42.47,41.04
HLVLTD,100.34,61.36
SANOFI,25.00,23.56
M&M,24.42,24.11
LIBERTSHOE,40.03,40.52
KAJARIACER,39.38,37.11
HEIDELBERG,26.53,25.53
MODTHREAD,13.98,13.98
MANGLMCEM,20.64,18.92
PRSMJOHNSN,89.35,
POLYPLEX,87.54,87.54
PIDILITIND,66.65,66.38
PCBL,63.26,68.11
3PLAND,25.60,25.60
OSWALAGRO,59.61,35.84
EIHAHOTELS,21.63,20.95
HONDAPOWER,33.01,29.66
JINDALSAW,27.54,27.54
SAIL,17.59,15.50
RUBYMILLS,29.95,29.95
STYRENIX,23.03,22.87
ABB,99.85,99.85
IDBI,9.85,9.85
GRAPHITE,74.10,73.32
CANFINHOME,9.63,9.63
BRITANNIA,51.40,51.40
BBL,23.75,23.75
ELECTCAST,27.37,23.48
DHAMPURSUG,13.91,13.91
DCMSHRIRAM,11.41,12.05
DABUR,40.27,40.02
COSMOFIRST,14.98,14.47
CIPLA,34.68,32.50
HEROMOTOCO,19.13,18.80
HDFCBANK,13.98,13.79
HARRMALAYA,13.24,13.24
GMBREW,12.08,12.08
GIPCL,6.24,6.24
ITC,17.28,17.07
INDIANHUME,14.00,21.49
HINDCOMPOS,24.63,23.28
IOC,4.90,4.90
OSWALGREEN,,14.77
HUHTAMAKI,16.53,16.53
RICOAUTO,36.45,32.32
KAMATHOTEL,12.79,17.49
IFBAGRO,16.12,16.12
BANCOINDIA,18.48,18.98
MANINDS,23.15,23.15
APOLLOTYRE,19.62,18.78
SIYSIL,12.17,12.17
SHANTIGEAR,42.03,40.19
PRECWIRE,43.16,43.16
ONWARDTEC,15.41,14.64
NILKAMAL,27.40,25.17
NCC,12.09,11.66
ICIL,64.85,64.85
SEAMECLTD,14.43,14.43
ELGIEQUIP,42.61,41.57
AUROPHARMA,25.46,25.12
BBTC,4.14,4.28
EIHOTEL,33.88,29.25
KANORICHEM,35.70,35.70
LICHSGFIN,5.36,5.36
GICHSGFIN,5.13,5.13
BEPL,14.19,14.19
RAIN,18.23,18.23
BANARBEADS,41.30,41.30
MOREPENLAB,31.68,41.82
WSTCSTPAPR,24.19,24.19
VENKEYS,15.23,15.23
GHCL,8.46,8.46
S&SPOWER,39.65,39.65
PRUDMOULI,5.35,5.35
PRAJIND,233.13,61.26
BPL,,267.44
PGHH,34.01,34.01
VESUVIUS,35.01,35.01
TFCILTD,29.15,29.15
BOMDYEING,92.46,89.80
GTL,0.20,
NAVNETEDUL,10.04,57.12
GUJALKALI,77.36,77.36
AGI,12.47,12.34
GLAXO,43.05,43.69
TATACONSUM,61.69,61.19
ZEEL,38.11,37.15
CHOLAFIN,26.01,26.01
INDHOTEL,46.14,50.82
FMGOETZE,15.12,14.22
KOTAKBANK,18.94,19.19
ORIENTHOT,33.77,33.46
GILLETTE,38.79,38.79
GOLDENTOBC,6.20,7.04
KANSAINER,27.84,25.84
FOSECOIND,43.26,38.09
ESABINDIA,41.46,45.00
3MINDIA,75.68,89.94
ANDHRAPAP,67.17,67.17
GABRIEL,79.12,76.01
