Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
04 AUG 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
04 AUG 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,04 AUG 2026,              10.00,         111695680,           1424.10,   159065817888.00     
04 AUG 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,04 AUG 2026,               5.00,         289175042,            995.60,   287902671815.20   
04 AUG 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,04 AUG 2026,              10.00,          24550000,            222.45,     5461147500.00 
04 AUG 2026,ACC,EQ,ACC LIMITED              ,Listed    ,04 AUG 2026,              10.00,         187787263,           1384.70,   260029023076.10       
04 AUG 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,04 AUG 2026,              10.00,          14926261,           1139.00,    17001011279.00   
04 AUG 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,04 AUG 2026,              10.00,          23989020,            504.25,    12096463335.00 
04 AUG 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 AUG 2026,              10.00,           3872000,            198.35,      768011200.00    
04 AUG 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,04 AUG 2026,              10.00,          11116000,            177.00,     1967532000.00     
04 AUG 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,04 AUG 2026,               1.00,         150560000,              4.85,      728710400.00  
04 AUG 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,04 AUG 2026,               2.00,         119083196,           1098.60,   130824799125.60       
04 AUG 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,04 AUG 2026,              10.00,          10200000,             19.10,      194718000.00  
04 AUG 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,03 AUG 2026,              10.00,          16383735,            140.95,     2309287448.25    
04 AUG 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,04 AUG 2026,               2.00,         123458394,            532.20,    65704557286.80       
