SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,79.12,84.16
WHEELS,23.62,23.62
RIIL,115.77,115.77
PREMIERPOL,20.96,20.96
RAYMOND,72.36,15.68
RSWM,17.91,15.53
SHREDIGCEM,43.77,43.77
SESHAPAPER,21.28,21.28
SMLMAH,36.96,36.96
SUNDRMFAST,33.19,32.65
EXIDEIND,42.05,41.72
ELECON,33.76,40.34
CRISIL,35.32,35.32
LMW,128.56,121.85
NELCO,677.11,209.43
MASTEK,12.37,11.89
MAHSCOOTER,48.01,48.01
LUMAXIND,42.35,38.44
TRENT,90.17,89.16
KECL,53.09,34.14
CUMMINSIND,73.32,71.26
KCP,8.08,7.81
JAYBARMARU,14.77,14.29
JBCHEPHARM,55.32,53.84
INFY,14.47,14.04
INDIAGLYCO,28.37,28.29
IONEXCHANG,41.69,38.38
IFBIND,35.78,33.39
IGPL,585.70,585.70
HIMATSEIDE,17.25,17.25
GNFC,9.30,9.30
BPCL,5.50,5.43
BHARATFORG,92.70,84.89
BASF,36.42,36.42
FORCEMOT,19.54,22.33
ATUL,26.57,26.64
ARVIND,33.26,32.38
ACC,12.01,12.16
TMPV,,28.91
SCI,9.76,9.76
MRPL,13.69,13.69
LINDEINDIA,120.76,120.76
HINDPETRO,5.04,5.04
ESCORTS,23.81,24.19
BAJAJHLDNG,53.94,144.76
ASHOKLEY,24.84,23.18
VOLTAS,83.91,80.74
TITAN,79.74,78.57
TATASTEEL,22.30,20.94
SUNDARMFIN,25.60,24.88
SPIC,7.71,7.71
VEDL,6.69,6.10
SBIN,11.08,11.38
RELIANCE,18.11,18.11
PFIZER,29.07,27.77
NOCIL,53.41,50.30
BOSCHLTD,44.96,53.60
DRREDDY,25.57,25.57
BATAINDIA,64.39,92.72
DEEPAKFERT,26.42,26.42
CHAMBLFERT,9.97,9.97
CARBORUNIV,152.01,50.46
MAHSEAMLES,11.13,11.07
HINDOILEXP,32.43,66.77
DICIND,24.94,22.59
COROMANDEL,31.31,30.63
BALMLAWRIE,14.92,14.92
MOTOGENFIN,0.75,
MARALOVER,68.55,57.92
ASIANPAINT,60.64,59.07
RAMCOCEM,31.49,122.76
INDIACEM,,134.93
PGHL,33.57,33.57
BEML,107.00,107.00
ADOR,28.12,27.50
CENTENKA,11.09,10.93
TATACHEM,,223.40
TORNTPHARM,77.54,75.37
VTL,26.08,26.08
SUNDROP,120.23,120.23
FEDERALBNK,18.05,18.05
EPL,19.45,18.35
VLSFINANCE,36.55,36.55
SUPREMEIND,48.09,48.09
SRF,44.53,43.05
BIRLACABLE,33.15,33.15
BALRAMCHIN,35.05,35.05
AEGISLOG,40.09,40.09
WEIZMANIND,17.63,17.63
UNICHEMLAB,18.12,91.57
BBOX,76.26,60.19
HONAUT,64.02,63.03
JTEKTINDIA,52.29,49.35
SAURASHCEM,42.44,26.93
RANEHOLDIN,16.31,18.55
PRECOT,26.79,26.79
TATAELXSI,35.90,33.24
SUNPHARMA,40.22,37.06
KOHINOOR,1.12,
SHREYANIND,29.58,29.58
SANDESH,11.24,10.95
HCC,38.35,44.51
BAJAJHIND,32.64,29.41
APOLLOHOSP,64.97,64.47
ARE&M,17.77,22.60
ADANIENT,43.04,164.93
IVP,9.02,8.87
BALKRISIND,34.24,34.24
INDBANK,20.38,20.38
GINNIFILA,11.30,10.22
EICHERMOT,42.83,42.45
RAJSREESUG,91.60,33.09
GVT&D,96.41,93.00
NEULANDLAB,68.88,68.88
ONGC,6.55,6.51
ITI,94.63,
ZENSARTECH,13.14,12.82
TAINWALCHM,17.04,17.04
BERGEPAINT,53.81,51.94
BANARISUG,29.49,29.49
KPIL,22.37,22.82
JYOTISTRUC,24.99,24.99
IGARASHI,121.56,121.56
BSL,55.01,55.01
BLUEDART,46.49,40.42
JAYNECOIND,18.55,18.15
MUNJALSHOW,24.13,22.44
APCOTEXIND,25.89,26.01
SOTL,21.94,21.94
HSCL,43.44,43.44
RCF,16.89,18.37
RANASUG,0.67,
KARURVYSYA,11.38,11.38
DECCANCE,28.15,52.34
WSI,217.70,252.93
UFLEX,9.56,9.30
TATAPOWER,27.21,26.95
ADVANIHOTR,20.57,19.98
THOMASCOOK,22.24,21.73
SUNFLAG,30.05,29.06
SUBROS,32.05,31.01
SPMLINFRA,21.25,21.25
SIMPLEXINF,56.31,57.37
SIEMENS,97.94,97.94
BHARATRAS,15.32,13.94
WIPRO,12.92,12.92
VSTIND,15.40,15.40
JUBLPHARMA,38.81,34.96
UNIVCABLES,43.69,43.69
TATACOMM,52.98,50.05
TOKYOPLAST,132.18,132.18
SOMANYCERA,28.21,27.25
MURUDCERA,16.57,16.57
IFCI,47.51,45.92
HLVLTD,242.47,98.70
SANOFI,24.95,23.51
M&M,23.03,22.74
LIBERTSHOE,41.52,42.03
KAJARIACER,39.58,37.29
HEIDELBERG,26.56,25.56
MODTHREAD,13.54,13.54
MANGLMCEM,20.14,18.47
PRSMJOHNSN,93.50,
POLYPLEX,78.96,78.96
PIDILITIND,65.45,65.18
PCBL,60.41,65.04
3PLAND,26.94,26.94
OSWALAGRO,65.13,39.15
EIHAHOTELS,22.18,21.48
HONDAPOWER,33.22,29.85
JINDALSAW,19.22,19.22
SAIL,23.25,20.32
RUBYMILLS,28.06,28.06
STYRENIX,21.47,21.32
ABB,94.02,94.02
IDBI,9.61,9.61
GRAPHITE,66.38,65.67
CANFINHOME,11.23,11.23
BRITANNIA,50.31,50.31
BBL,24.93,24.93
ELECTCAST,28.91,24.80
DHAMPURSUG,13.96,13.96
