Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
02 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,02 JUL 2026,               5.00,          35286502,            201.80,     7120110373.55 
02 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,02 JUL 2026,              10.00,          10500000,             31.75,      333375000.00
02 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,02 JUL 2026,               1.00,         406486596,           1070.00,   434940657720.00    
02 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,02 JUL 2026,              10.00,           8582670,           1205.80,    10348983486.00
02 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,02 JUL 2026,              10.00,         207403767,             17.40,     3610899583.45 
02 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,02 JUL 2026,              10.00,          11265070,          33960.00,   382561777200.00   
02 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,02 JUL 2026,               2.00,          18000000,             32.65,      588060000.00    
02 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,02 JUL 2026,              10.00,          46882257,            385.30,    18063733622.10    
02 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,02 JUL 2026,               2.00,          46078537,            661.50,    30480952225.50   
02 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,02 JUL 2026,              10.00,         177522358,             13.70,     2432056304.60  
02 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,02 JUL 2026,              10.00,          12826800,             98.35,     1261387512.00   
02 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,02 JUL 2026,              10.00,         437298899,            535.70,   234261020194.30 
02 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,02 JUL 2026,              10.00,          14172816,             72.60,     1028946441.60    
02 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,02 JUL 2026,               1.00,         101250000,              9.05,      914287500.00    
02 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,02 JUL 2026,              10.00,          14138000,             70.40,      995315200.00  
02 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,02 JUL 2026,              10.00,          28354303,             86.60,     2455482639.80
02 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,02 JUL 2026,              10.00,          42238628,             25.05,     1058500017.70    
02 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,02 JUL 2026,              10.00,          20946478,            117.55,     2462677418.45     
02 JUL 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,02 JUL 2026,               5.00,          31770375,             48.20,     1531014371.25   
02 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,02 JUL 2026,              10.00,          91270000,            384.45,    35088751500.00
02 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,02 JUL 2026,               5.00,         362594491,            482.05,   174788674386.55  
02 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,02 JUL 2026,               5.00,          90657751,            697.20,    63206583997.20
02 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,02 JUL 2026,              10.00,           8464995,            381.10,     3226009594.50 
02 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,02 JUL 2026,              10.00,          14844100,            143.20,     2125675120.00     
02 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,02 JUL 2026,               5.00,          22600000,             18.75,      423750000.00    
02 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,02 JUL 2026,              10.00,          79287782,           1503.90,   119240895349.80     
02 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,02 JUL 2026,               2.00,          58365323,             14.50,      847464489.95      
02 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,02 JUL 2026,               2.00,          69748880,             29.75,     2073634202.40  
02 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,02 JUL 2026,               2.00,         211908375,           6861.00,  1453903360875.00       
02 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,02 JUL 2026,              10.00,          21249302,          25725.00,   546638293950.00
02 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,02 JUL 2026,              10.00,        2621853064,            392.95,  1030257161498.80 
02 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,02 JUL 2026,              10.00,          21963620,            219.70,     4825846586.40    
02 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,02 JUL 2026,               2.00,         279710151,            672.95,   188230946115.45      
02 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,02 JUL 2026,              10.00,        1220510115,             61.90,    75525165916.20     
02 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,01 JUL 2026,              10.00,          18587830,             27.70,      514882891.00 
02 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,02 JUL 2026,               1.00,         638789360,             10.95,     6981967704.80   
02 JUL 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,02 JUL 2026,              10.00,        1220521649,             98.30,   119965072880.20     
02 JUL 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,02 JUL 2026,              10.00,           9408000,             41.25,      388080000.00
02 JUL 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,02 JUL 2026,               5.00,          20002200,            213.30,     4266269238.00    
02 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
02 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,02 JUL 2026,              10.00,         111695680,           1424.10,   159065817888.00     
02 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,02 JUL 2026,               5.00,         289175042,           1191.30,   344494227534.60   
02 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,02 JUL 2026,              10.00,          24550000,            239.15,     5871132500.00 
02 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,02 JUL 2026,              10.00,         187787263,           1350.70,   253644256134.10       
02 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,02 JUL 2026,              10.00,          14926261,           1106.60,    16517400422.60   
02 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,02 JUL 2026,              10.00,          23989020,            497.60,    11936936352.00 
02 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,02 JUL 2026,              10.00,           3472000,            161.85,      561943200.00    
02 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,02 JUL 2026,              10.00,          11116000,            162.00,     1800792000.00     
02 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,02 JUL 2026,               1.00,         150560000,              5.45,      820552000.00  
02 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,02 JUL 2026,               2.00,         119083196,           1016.70,   121071885373.20       
02 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,02 JUL 2026,              10.00,          10200000,             21.40,      218076000.00  
02 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,02 JUL 2026,              10.00,          16383735,            126.80,     2077457598.00    
02 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,02 JUL 2026,               2.00,         123458394,            531.70,    65642828089.80       
02 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,02 JUL 2026,              10.00,          92172140,             52.05,     4795716444.20       
02 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,02 JUL 2026,               2.00,         706874336,            393.25,   277978332632.00 
02 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,02 JUL 2026,              10.00,          60681608,             44.25,     2684554337.90   
02 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,30 JUN 2026,               5.00,          15015016,            178.50,     2680180356.00
02 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,02 JUL 2026,               5.00,          81871122,           3691.80,   302251808199.60   
02 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,02 JUL 2026,              10.00,        1201282642,           1556.90,  1870276945329.80
