Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
21 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,21 JUL 2026,               5.00,          35286502,            211.00,     7445804787.00 
21 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,21 JUL 2026,              10.00,          10500000,             35.00,      367395000.00
21 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,21 JUL 2026,               1.00,         406486596,           1119.70,   455143041541.20    
21 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,21 JUL 2026,              10.00,           8582670,           1272.10,    10918014507.00
21 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,21 JUL 2026,              10.00,         207403767,             19.10,     3965560025.05 
21 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,21 JUL 2026,              10.00,          11265070,          35170.00,   396192511900.00   
21 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,21 JUL 2026,               2.00,          18000000,             32.05,      577260000.00    
21 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,21 JUL 2026,              10.00,          46882257,            377.45,    17695707904.65    
21 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,21 JUL 2026,               2.00,          46078537,            734.90,    33863116841.30   
21 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,21 JUL 2026,              10.00,         177522358,             13.00,     2304240206.85  
21 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,21 JUL 2026,              10.00,          12826800,             91.15,     1169291088.00   
21 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,21 JUL 2026,              10.00,         437298899,            513.50,   224552984636.50 
21 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,21 JUL 2026,              10.00,          14172816,             72.35,     1025403237.60    
21 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,21 JUL 2026,               1.00,         101250000,              9.00,      909225000.00    
21 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,21 JUL 2026,              10.00,          14138000,             75.05,     1061056900.00  
21 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,21 JUL 2026,              10.00,          28354303,             77.55,     2198309111.60
21 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,21 JUL 2026,              10.00,          42238628,             30.75,     1297993038.45    
21 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,21 JUL 2026,              10.00,          20946478,            119.95,     2512530036.10     
21 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,21 JUL 2026,               5.00,          31770375,             47.50,     1508457405.00   
21 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,21 JUL 2026,              10.00,          91270000,            426.90,    38963163000.00
21 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,21 JUL 2026,               5.00,         362594491,            499.50,   181115948254.50  
21 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,21 JUL 2026,               5.00,          90657751,            702.35,    63673471414.85
21 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,21 JUL 2026,              10.00,           8464995,            399.05,     3377956254.75 
21 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,21 JUL 2026,              10.00,          14844100,            161.25,     2393908007.00     
21 JUL 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,21 JUL 2026,              10.00,          44142190,            129.05,     5696549619.50    
21 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,20 JUL 2026,               5.00,          22600000,             18.25,      412450000.00    
21 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,21 JUL 2026,              10.00,          79287782,           1521.70,   120652217869.40     
21 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,21 JUL 2026,               2.00,          58365323,             15.20,      887736562.85      
21 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,21 JUL 2026,               2.00,          69748880,             27.60,     1925069088.00  
