SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,83.17,89.74
WHEELS,20.78,20.78
RIIL,92.97,92.97
PREMIERPOL,22.05,22.05
RAYMOND,0.75,0.72
RSWM,20.35,17.69
SHREDIGCEM,60.72,60.72
SESHAPAPER,15.15,15.15
SMLMAH,50.55,50.55
SUNDRMFAST,35.20,34.64
EXIDEIND,40.36,40.07
ELECON,40.71,38.69
CRISIL,36.59,36.59
LMW,98.90,94.44
NELCO,591.62,220.86
MASTEK,14.05,13.52
MAHSCOOTER,57.19,57.19
LUMAXIND,31.29,29.25
TRENT,94.48,93.43
KECL,64.77,41.65
CUMMINSIND,65.14,63.52
KCP,8.14,7.83
JAYBARMARU,12.57,12.16
INFY,15.79,15.34
INDIAGLYCO,26.22,26.16
IONEXCHANG,44.03,40.58
IFBIND,38.22,35.64
IGPL,689.15,689.15
HIMATSEIDE,16.44,16.44
GNFC,9.39,9.39
GFLLIMITED,11.78,11.78
BPCL,8.36,9.24
BHARATFORG,97.03,88.80
BASF,38.43,38.43
FORCEMOT,19.25,21.90
ATUL,24.60,24.65
ARVIND,32.48,31.63
ACC,13.75,13.82
TMPV,1.56,1.47
SCI,10.08,10.08
MRPL,9.71,11.05
LINDEINDIA,108.45,108.45
HINDPETRO,50.29,50.29
ESCORTS,25.37,24.64
RELINFRA,0.53,0.71
BAJAJHLDNG,14.35,14.35
ASHOKLEY,27.55,25.74
ZUARIIND,7.30,6.71
VOLTAS,118.47,112.49
TITAN,87.48,86.19
TATASTEEL,21.17,19.69
SUNDARMFIN,24.17,23.55
SPIC,6.48,6.48
VEDL,3.66,3.47
SBIN,11.58,11.90
RELIANCE,20.25,20.25
PFIZER,30.58,29.24
NOCIL,43.96,41.78
BOSCHLTD,43.93,52.36
DRREDDY,30.94,30.94
BATAINDIA,67.96,97.87
DEEPAKFERT,20.20,20.20
CHAMBLFERT,9.46,9.46
CARBORUNIV,124.37,47.14
MAHSEAMLES,10.97,10.90
HINDOILEXP,33.97,69.95
DICIND,24.61,22.30
COROMANDEL,35.10,34.29
BALMLAWRIE,11.58,11.58
VINDHYATEL,12.83,12.83
MOTOGENFIN,0.70,
MARALOVER,10.85,10.56
ASIANPAINT,55.72,54.46
RAMCOCEM,31.96,121.20
INDIACEM,130.99,84.40
PGHL,33.01,33.01
BEML,102.74,102.74
ADOR,23.04,22.67
CENTENKA,9.23,9.14
TORNTPHARM,89.09,86.09
VTL,19.80,19.80
SUNDROP,127.25,127.25
FEDERALBNK,19.61,19.61
EPL,18.44,17.39
VLSFINANCE,36.74,36.74
SUPREMEIND,43.43,43.43
SRF,36.27,35.24
BIRLACABLE,13.89,13.89
BALRAMCHIN,36.11,36.11
AEGISLOG,44.03,44.03
WEIZMANIND,20.41,20.41
UNICHEMLAB,14.07,71.12
BBOX,61.54,48.57
HONAUT,61.88,60.97
JTEKTINDIA,51.14,48.26
SAURASHCEM,46.42,29.45
RANEHOLDIN,19.55,22.66
PRECOT,27.42,27.42
TATAELXSI,35.80,33.24
SUNPHARMA,38.88,37.22
KOHINOOR,1.07,
SHREYANIND,30.33,30.33
SANDESH,11.38,11.09
HCC,34.52,39.85
BAJAJHIND,33.20,29.92
APOLLOHOSP,63.33,62.86
ARE&M,19.05,24.23
ADANIENT,55.27,106.27
IVP,8.75,8.60
BALKRISIND,34.28,34.28
INDBANK,19.59,19.59
GINNIFILA,11.07,11.07
EICHERMOT,38.28,38.00
GVT&D,90.73,87.52
NEULANDLAB,69.35,69.35
ONGC,6.11,6.08
ITI,92.78,
ZENSARTECH,15.18,14.81
TAINWALCHM,17.96,17.96
BERGEPAINT,54.43,52.62
BANARISUG,29.56,29.56
KPIL,21.27,21.70
JYOTISTRUC,24.71,24.71
IGARASHI,121.05,121.05
BSL,53.56,53.56
BLUEDART,44.86,39.72
JAYNECOIND,15.18,14.92
MUNJALSHOW,23.12,21.69
APCOTEXIND,19.86,19.92
SOTL,23.76,23.76
HSCL,47.10,47.10
RCF,16.47,17.92
RANASUG,8.07,
KARURVYSYA,12.26,12.26
DECCANCE,27.25,50.67
WSI,206.87,240.34
UFLEX,10.98,10.67
TATAPOWER,23.22,23.03
ADVANIHOTR,19.97,19.41
THOMASCOOK,23.93,23.36
SUNFLAG,32.67,31.60
SUBROS,32.19,31.14
SPMLINFRA,22.10,22.10
SIMPLEXINF,46.09,46.89
SIEMENS,74.60,74.60
BHARATRAS,15.62,14.21
WIPRO,14.06,14.06
VSTIND,13.37,13.37
JUBLPHARMA,37.39,33.68
UNIVCABLES,28.08,28.08
TATACOMM,54.18,49.20
TOKYOPLAST,218.33,218.33
SOMANYCERA,28.18,27.22
MURUDCERA,17.21,17.21
IFCI,47.92,46.31
HLVLTD,99.65,60.94
SANOFI,25.14,23.69
M&M,21.06,20.84
LIBERTSHOE,39.88,40.37
KAJARIACER,35.33,33.49
KABRAEXTRU,2885.22,1955.60
HEIDELBERG,30.30,29.00
MODTHREAD,13.94,13.94
MODIRUBBER,475.17,475.17
MANGLMCEM,20.16,18.48
PRSMJOHNSN,182.62,
POLYPLEX,83.97,83.97
PIDILITIND,67.66,67.38
PCBL,49.67,52.53
3PLAND,25.08,25.08
EIHAHOTELS,21.85,21.16
HONDAPOWER,32.28,29.08
JINDALSAW,27.61,27.61
SAIL,15.95,14.21
RUBYMILLS,28.39,28.39
STYRENIX,23.46,23.29
ABB,53.91,53.91
IDBI,9.78,9.78
GRAPHITE,75.17,74.38
CANFINHOME,9.63,9.63
BRITANNIA,52.51,52.51
BBL,24.14,24.14
ELECTCAST,27.49,23.58
DHAMPURSUG,13.12,13.12
DCMSHRIRAM,11.19,11.81
DABUR,38.80,38.57
COSMOFIRST,15.32,14.79
CIPLA,35.49,33.25
HEROMOTOCO,18.92,18.61
HDFCBANK,14.69,14.48
HARRMALAYA,13.60,13.60
GMBREW,12.14,12.14
GIPCL,6.23,6.23
ITC,17.82,17.87
INDIANHUME,15.47,23.76
HINDCOMPOS,19.44,18.58
IOC,5.68,5.68
OSWALGREEN,,15.48
HUHTAMAKI,16.61,16.61
RICOAUTO,36.67,32.52
KAMATHOTEL,13.01,17.79
IFBAGRO,15.45,15.45
BANCOINDIA,19.53,20.06
MANINDS,24.14,24.14
APOLLOTYRE,20.20,19.34
SIYSIL,12.03,12.03
SHANTIGEAR,49.89,47.29
PRECWIRE,44.63,44.63
ONWARDTEC,15.28,14.52
NILKAMAL,20.27,18.86
NCC,12.52,12.08
ICIL,64.68,64.68
SEAMECLTD,14.61,14.61
ELGIEQUIP,42.92,41.88
AUROPHARMA,25.54,25.20
BBTC,4.29,4.44
EIHOTEL,31.41,27.44
KANORICHEM,5.52,5.52
LICHSGFIN,4.97,4.97
GICHSGFIN,5.15,5.15
BEPL,15.03,15.03
RAIN,18.88,18.88
BANARBEADS,39.90,39.90
MOREPENLAB,33.30,44.07
WSTCSTPAPR,24.13,24.13
VENKEYS,16.38,16.38
GHCL,7.88,8.55
S&SPOWER,40.81,40.81
PRUDMOULI,5.74,5.74
PRAJIND,242.84,63.81
BPL,,276.32
PGHH,35.51,35.51
VESUVIUS,38.22,38.22
TFCILTD,31.73,31.73
BOMDYEING,93.54,90.85
GTL,0.20,
NAVNETEDUL,9.30,52.90
GUJALKALI,77.18,77.18
AGI,12.58,12.45
GLAXO,42.22,42.84
TATACONSUM,66.89,66.32
ZEEL,34.75,33.87
CHOLAFIN,27.99,27.99
INDHOTEL,46.36,50.98
FMGOETZE,14.83,13.95
KOTAKBANK,19.48,19.74
ORIENTHOT,36.30,35.94
GILLETTE,37.65,37.65
GOLDENTOBC,6.33,7.18
KANSAINER,28.05,26.07
FOSECOIND,45.25,39.85
ESABINDIA,41.81,45.38
3MINDIA,77.55,92.15
ANDHRAPAP,66.21,66.21
GABRIEL,90.74,87.67
SCHAEFFLER,52.36,52.36
AARTIIND,33.27,33.84
RALLIS,19.79,
AMJLAND,10.36,10.36
PRAKASH,6.75,6.75
MFSL,504.30,504.30
KSB,57.70,54.31
KOPRAN,35.71,35.71
HEG,35.77,35.77
GREAVESCOT,153.59,163.96
GODFRYPHLP,25.62,25.62
VARDMNPOLY,38.48,38.48
SURYAROSNI,18.07,18.07
TATAINVEST,78.94,78.94
GLFL,624.75,624.75
TIMKEN,59.50,59.50
SUDARSCHEM,208.44,99.30
SHREECEM,59.54,59.54
SAKHTISUG,7.37,7.37
IPCALAB,36.98,35.11
INGERRAND,51.87,50.51
JSWDULUX,6.96,37.36
HINDALCO,16.70,14.33
HINDZINC,13.54,13.56
HINDUNILVR,33.55,33.27
GSFC,9.52,9.52
GRASIM,21.54,21.04
AMBUJACEM,21.27,18.34
FINPIPE,17.17,17.17
FINCABLES,21.39,25.65
EIDPARRY,10.06,6.18
DCW,28.63,28.63
DCM,54.25,54.25
CGPOWER,104.92,102.88
SUDARCOLOR,19.14,13.51
CESC,13.65,13.65
BIRLACORPN,12.60,12.47
BHEL,58.86,58.86
BHARATGEAR,12.64,12.64
BEL,46.63,46.63
BAJFINANCE,34.77,34.46
ASHAPURMIN,16.47,16.29
