SYMBOL,SYMBOL P/E,ADJUSTED P/E
ICIL,62.53,62.53
SEAMECLTD,14.24,14.24
ELGIEQUIP,43.52,42.46
AUROPHARMA,25.44,25.11
BBTC,4.13,4.27
EIHOTEL,34.97,30.19
KANORICHEM,30.81,30.81
LICHSGFIN,5.37,5.37
GICHSGFIN,5.23,5.23
BEPL,15.22,15.22
RAIN,17.68,17.68
BANARBEADS,43.51,43.51
MOREPENLAB,34.85,46.01
WSTCSTPAPR,22.32,22.32
VENKEYS,14.98,14.98
GHCL,8.50,8.50
S&SPOWER,40.75,40.75
PRUDMOULI,5.87,5.87
PRAJIND,274.44,72.11
BPL,,290.47
PGHH,33.28,33.28
VESUVIUS,36.48,36.48
TFCILTD,31.41,31.41
BOMDYEING,96.22,93.45
GTL,0.19,
NAVNETEDUL,10.01,40.61
GUJALKALI,207.72,207.72
AGI,12.89,12.75
GLAXO,40.98,41.60
TATACONSUM,65.79,65.22
ZEEL,37.49,36.55
CHOLAFIN,29.17,29.17
INDHOTEL,47.43,52.42
FMGOETZE,15.32,14.41
KOTAKBANK,19.56,19.84
ORIENTHOT,31.56,31.28
GILLETTE,38.78,38.78
GOLDENTOBC,6.43,7.30
KANSAINER,28.21,26.18
FOSECOIND,44.40,39.10
ESABINDIA,42.19,45.79
3MINDIA,76.45,90.84
ANDHRAPAP,66.35,66.35
GABRIEL,77.65,74.56
SCHAEFFLER,53.16,53.16
AARTIIND,43.69,44.46
RALLIS,24.94,
AMJLAND,10.55,10.55
PRAKASH,6.78,6.78
MFSL,521.57,521.57
KSB,65.02,60.98
KOPRAN,38.21,38.21
HEG,53.17,53.17
GREAVESCOT,169.27,180.70
GODFRYPHLP,26.64,26.64
VARDMNPOLY,40.18,40.18
SURYAROSNI,18.91,18.91
TATAINVEST,106.41,106.41
TIMKEN,58.12,58.12
SUDARSCHEM,739.69,150.97
SHREECEM,55.71,55.71
SAKHTISUG,7.17,7.17
IPCALAB,40.25,38.23
INGERRAND,57.67,56.11
JSWDULUX,7.11,38.16
HINDALCO,16.09,13.81
HINDZINC,15.94,15.97
HINDUNILVR,46.53,45.74
GSFC,9.64,9.64
GRASIM,20.68,20.19
AMBUJACEM,19.67,17.22
FINPIPE,18.65,18.65
FINCABLES,24.48,29.90
EIDPARRY,9.93,6.11
DCW,28.75,28.75
CGPOWER,121.33,118.89
SUDARCOLOR,19.23,13.58
CESC,13.65,13.65
BIRLACORPN,14.20,14.05
BHEL,63.87,63.87
BHARATGEAR,11.24,11.24
BEL,49.40,49.40
BAJFINANCE,33.44,33.13
ASHAPURMIN,17.22,17.02
NAVA,16.09,16.09
CORALFINAC,8.72,8.72
GREENPLY,33.56,30.80
TNPL,4.06,4.06
AUTOAXLES,16.90,16.06
REMSONSIND,13.28,12.88
DALMIASUG,12.54,12.54
NATCOPHARM,12.61,12.61
KHAITANLTD,10.18,10.18
SWARAJENG,23.10,22.81
MRF,23.03,22.60
GARFIBRES,37.73,35.86
ANDHRSUGAR,12.55,11.23
TNPETRO,8.74,9.33
TTKPRESTIG,59.24,52.91
STARPAPER,6.72,6.72
SKFINDIA,27.82,25.60
AUSOMENT,11.69,11.69
EIMCOELECO,27.27,27.27
JAYAGROGN,12.87,12.87
CUBEXTUB,15.16,15.16
MARICO,60.11,60.11
SILINV,11.94,11.94
SAMBHAAV,2030.55,2030.55
BIOFILCHEM,19.67,19.67
KEYFINSERV,22.25,21.68
ZENITHEXPO,48.78,48.78
SUNDRMBRAK,126.88,112.42
SANGAMIND,38.22,35.56
MOTHERSON,43.29,40.40
SOMATEX,36.05,95.42
VISAKAIND,8.34,18.80
AARTIDRUGS,19.66,19.66
STERTOOLS,30.98,52.45
CREST,21.55,21.55
INDIANCARD,35.28,28.22
HITECHGEAR,56.68,56.68
WENDT,106.96,106.96
DENORA,52.53,52.53
TVSSRICHAK,45.18,49.54
SHRIRAMFIN,24.09,24.09
PUNJABCHEM,22.28,21.73
DYNAMATECH,220.80,154.93
GUJAPOLLO,88.90,88.90
GANESHHOU,22.00,22.00
MMFL,25.80,25.79
JAGSNPHARM,34.67,33.47
ALKYLAMINE,53.67,53.67
BOSCH-HCIL,,230.25
MPHASIS,24.10,23.77
GUJRAFFIA,20.55,20.55
RUCHINFRA,13.49,13.49
RAMCOIND,23.10,24.17
KOTHARIPET,10.58,10.55
HERITGFOOD,23.16,24.62
INDRAMEDCO,18.68,18.68
BANKBARODA,6.59,6.59
MADRASFERT,13.81,12.70
GAIL,18.58,18.58
INDNIPPON,24.54,27.43
SKMEGGPROD,16.91,16.91
BANKINDIA,6.47,6.24
CONCOR,30.71,30.71
ICICIBANK,17.64,17.64
KCPSUGIND,22.16,22.16
HUDCO,10.06,10.06
INDSWFTLAB,49.23,41.78
SAREGAMA,45.88,44.57
FDC,24.40,23.13
ENGINERSIN,20.21,20.21
ADROITINFO,14.86,14.86
JAICORPLTD,11.16,11.09
ANTGRAPHIC,9.74,9.74
GMDCLTD,19.49,32.34
MAHAPEXLTD,49.45,91.16
INDUSINDBK,88.81,88.81
ASAHIINDIA,66.34,64.33
TRIGYN,77.18,50.53
J&KBANK,8.27,8.27
KOTHARIPRO,122.85,
CUB,16.50,16.50
SOUTHBANK,7.86,7.86
ASTRAZEN,107.80,105.76
CEMPRO,46.64,46.64
AXISBANK,15.35,15.35
CYIENT,20.14,18.82
SONATSOFTW,18.61,17.04
NOIDATOLL,3.19,3.19
CYBERTECH,13.97,13.97
KOKUYOCMLN,34.63,34.63
DHANBANK,13.10,13.10
SANGHVIMOV,20.24,19.53
STCINDIA,1.11,13.38
MANUGRAPH,9.15,11.82
VIPCLOTHNG,20.39,20.39
NATIONALUM,11.19,11.19
IVC,56.32,56.32
JINDALSTEL,31.06,22.63
ALEMBICLTD,18.25,18.25
ICDSLTD,48.26,48.26
BSOFT,15.63,14.95
HCLTECH,18.48,17.75
ACCELYA,17.00,16.10
STAR,16.85,16.18
ZYDUSLIFE,22.90,21.34
GLENMARK,47.39,25.00
RAJESHEXPO,22.81,22.81
CINEVISTA,14.16,14.16
SHREERAMA,22.84,22.84
WOCKPHARMA,153.22,106.15
NRBBEARING,28.03,27.30
IOB,12.49,12.49
RAMCOSYS,74.37,26.80
GVPIL,18.79,17.23
BIL,32.07,32.07
KTKBANK,7.89,7.89
MUKTAARTS,,39.14
BLBLIMITED,2.50,2.50
AJANTPHARM,40.85,40.85
BLUESTARCO,67.98,64.83
CALSOFT,7.14,7.14
TVSMOTOR,52.45,51.92
PNBGILTS,16.08,16.43
PNC,,5.89
TAJGVK,5.57,17.09
NLCINDIA,11.06,11.06
CHENNPETRO,6.09,6.09
KRBL,12.68,12.68
HAVELLS,44.27,43.40
GAEL,22.34,22.12
USHAMART,32.25,31.36
AXISCADES,91.94,84.79
UMIYA-MRO,19.32,19.32
TIPSMUSIC,39.76,39.76
STLTECH,496.78,599.28
HIKAL,,60.65
TRIDENT,34.93,34.93
MARKSANS,29.70,29.70
GOLDTECH,300.69,
SMARTLINK,15.63,15.63
GODREJCP,58.14,53.12
JISLJALEQS,,152.46
LUPIN,21.35,19.64
UNITDSPR,53.62,51.77
TCI,19.04,19.04
MPSLTD,20.34,20.89
BHARTIARTL,35.84,33.17
ASAL,30.48,29.34
OLECTRA,64.27,65.61
PONNIERODE,5.90,12.33
PNB,7.07,7.07
APTECHT,23.89,22.32
SURANAT&P,11.58,11.62
TEAMGTY,286.02,286.02
OFSS,38.54,38.54
UNIONBANK,6.44,6.44
NUCLEUS,17.05,14.92
CANBK,6.67,6.67
GENESYS,42.15,39.12
OMAXAUTO,13.54,12.99
GODREJIND,22.94,22.40
DIVISLAB,75.63,74.06
RADICO,91.85,89.97
INDORAMA,8.89,8.73
MARUTI,30.11,30.11
VARDHACRLC,12.81,12.81
UCOBANK,11.82,11.82
BAGFILMS,18.45,18.45
JSL,19.09,18.82
NSIL,49.83,49.82
WELSPUNLIV,73.13,70.90
JAIBALAJI,45.81,44.67
TVSELECT,757.63,477.31
IGL,17.35,17.35
DREDGECORP,602.27,602.27
TVTODAY,58.48,1.02
UNIENTER,36.53,36.53
UPL,21.89,21.96
MUKANDLTD,3.50,3.50
PETRONET,10.86,10.86
PTC,7.05,7.01
VAIBHAVGBL,15.82,15.83
BIOCON,193.69,74.49
MAHABANK,8.21,8.21
POONAWALLA,76.73,76.73
XPROINDIA,167.96,167.96
RKFORGE,137.23,107.73
DATAMATICS,25.77,21.52
CCL,41.14,41.14
EXCELINDUS,15.02,15.02
LT,27.11,25.44
APARINDS,58.42,57.01
AMBICAAGAR,12.46,12.46
CENTEXT,13.35,12.83
NIITLTD,219.65,91.61
ULTRACEMCO,42.28,41.72
TCS,15.91,14.76
COFORGE,40.47,36.99
TEXINFRA,146.60,146.60
GULFPETRO,7.41,6.82
GUFICBIO,60.64,60.64
ASTRAMICRO,88.28,88.28
WELENT,21.23,19.96
NTPC,13.45,13.45
KOTARISUG,31.60,
JBMA,59.52,58.17
DWARKESH,26.08,26.08
SUPRAJIT,36.62,36.41
PATELENG,11.13,6.97
XCHANGING,12.22,12.22
JSWSTEEL,11.49,29.61
CONSOFINVT,16.14,16.14
JINDALPHOT,301.94,301.94
JPPOWER,25.84,25.84
EVEREADY,14.92,
