SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,81.00,87.40
WHEELS,20.68,20.68
RIIL,92.74,92.74
PREMIERPOL,21.72,21.72
RAYMOND,0.75,0.72
RSWM,21.30,18.52
SHREDIGCEM,59.59,59.59
SESHAPAPER,14.52,14.52
SMLMAH,50.19,50.19
SUNDRMFAST,34.00,33.47
EXIDEIND,41.60,41.30
ELECON,40.83,38.80
CRISIL,36.03,36.03
LMW,98.18,93.75
NELCO,580.33,216.65
MASTEK,13.67,13.16
MAHSCOOTER,56.76,56.76
LUMAXIND,30.92,28.90
TRENT,96.27,95.19
KECL,65.39,42.05
CUMMINSIND,65.14,63.52
KCP,8.16,7.85
JAYBARMARU,12.72,12.31
INFY,15.62,15.18
INDIAGLYCO,26.65,26.59
IONEXCHANG,43.48,40.08
IFBIND,38.65,36.04
IGPL,699.21,699.21
HIMATSEIDE,16.45,16.45
GNFC,9.45,9.45
GFLLIMITED,11.80,11.80
BPCL,8.21,9.07
BHARATFORG,96.33,88.15
BASF,26.57,26.57
FORCEMOT,19.13,21.76
ATUL,24.66,24.71
ARVIND,33.60,32.73
ACC,13.62,13.69
TMPV,1.55,1.47
SCI,10.36,10.36
MRPL,9.47,10.77
LINDEINDIA,111.18,111.18
HINDPETRO,49.84,49.84
ESCORTS,25.09,24.37
RELINFRA,0.56,0.75
BAJAJHLDNG,14.20,14.20
ASHOKLEY,27.16,25.37
ZUARIIND,7.42,6.82
VOLTAS,118.73,112.74
TITAN,86.35,85.07
TATASTEEL,21.16,19.68
SUNDARMFIN,23.92,23.31
SPIC,6.56,6.56
VEDL,3.68,3.49
SBIN,11.55,11.88
RELIANCE,19.81,19.81
PFIZER,30.26,28.93
NOCIL,43.19,41.05
BOSCHLTD,43.82,52.23
DRREDDY,30.75,30.75
BATAINDIA,67.95,97.86
DEEPAKFERT,20.50,20.50
CHAMBLFERT,9.45,9.45
CARBORUNIV,122.44,46.41
MAHSEAMLES,11.07,11.00
HINDOILEXP,34.05,70.10
DICIND,24.77,22.44
COROMANDEL,35.10,34.30
BALMLAWRIE,11.60,11.60
VINDHYATEL,12.58,12.58
MOTOGENFIN,0.70,
MARALOVER,10.33,10.05
ASIANPAINT,55.03,53.78
RAMCOCEM,31.99,121.28
INDIACEM,131.14,84.49
PGHL,32.92,32.92
BEML,99.61,99.61
ADOR,23.15,22.78
CENTENKA,9.21,9.12
TORNTPHARM,88.74,85.75
VTL,20.13,20.13
SUNDROP,124.87,124.87
FEDERALBNK,19.12,19.12
EPL,18.52,17.47
VLSFINANCE,36.81,36.81
SUPREMEIND,43.08,43.08
SRF,36.23,35.20
BIRLACABLE,14.58,14.58
BALRAMCHIN,36.80,36.80
AEGISLOG,43.07,43.07
WEIZMANIND,20.25,20.25
UNICHEMLAB,13.93,70.42
BBOX,61.24,48.33
HONAUT,61.27,60.37
JTEKTINDIA,50.79,47.93
SAURASHCEM,48.10,30.52
RANEHOLDIN,19.46,22.56
PRECOT,26.95,26.95
TATAELXSI,35.56,33.02
SUNPHARMA,38.89,37.23
KOHINOOR,1.08,
SHREYANIND,30.11,30.11
SANDESH,11.52,11.23
HCC,34.56,39.90
BAJAJHIND,34.23,30.84
APOLLOHOSP,64.98,64.50
ARE&M,18.82,23.94
ADANIENT,54.95,105.65
IVP,8.69,8.54
BALKRISIND,34.27,34.27
INDBANK,19.44,19.44
GINNIFILA,11.11,11.11
EICHERMOT,37.74,37.46
GVT&D,89.97,86.79
NEULANDLAB,67.93,67.93
ONGC,6.80,6.75
ITI,92.93,
ZENSARTECH,15.00,14.64
TAINWALCHM,18.01,18.01
BERGEPAINT,55.18,53.34
BANARISUG,29.51,29.51
KPIL,21.20,21.63
JYOTISTRUC,21.47,21.47
IGARASHI,119.39,119.39
BSL,54.09,54.09
BLUEDART,44.34,39.27
JAYNECOIND,15.13,14.86
MUNJALSHOW,23.26,21.81
APCOTEXIND,20.14,20.20
SOTL,24.24,24.24
HSCL,47.16,47.16
RCF,16.39,17.83
RANASUG,8.35,
KARURVYSYA,12.02,12.02
DECCANCE,28.59,53.16
WSI,205.16,238.36
UFLEX,10.83,10.52
TATAPOWER,23.10,22.91
ADVANIHOTR,20.31,19.74
THOMASCOOK,23.67,23.10
SUNFLAG,32.79,31.72
SUBROS,32.55,31.49
SPMLINFRA,21.89,21.89
SIMPLEXINF,45.60,46.40
SIEMENS,76.52,76.52
