,28-Jul-2026
The Nifty witnessed an intraday movement of about 86.55 points.The closing index was 0.04 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 124665.66
, Traded Quantity (in Lakhs), 41414.72
, Number of Trades, 36790901
, Total Market Capitalisation (Rs. Crores), 47798109.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23995.95,     23971.25,     24041.15,     23954.60,     23985.35,-10.60
,NIFTY50 EQL Wgt,     32864.65,     32882.30,     33000.45,     32870.50,     32929.75,65.10
,NIFTY100 EQL Wgt,     34654.50,     34684.80,     34713.55,     34558.55,     34605.25,-49.25
,NIFTY100 LowVol30,     20236.95,     20254.30,     20349.65,     20251.70,     20308.75,71.80
,NIFTY Alpha 50,     53630.70,     53600.00,     53600.00,     52985.10,     53198.20,-432.50
,NIFTY MIDCAP 150,     22933.05,     22953.00,     22976.10,     22888.75,     22931.45,-1.60
,NIFTY SMLCAP 50,      9486.35,      9487.85,      9510.65,      9439.30,      9502.55,16.20
,NIFTY SMLCAP 250,     17824.50,     17831.55,     17851.25,     17704.90,     17741.45,-83.05
,NIFTY MIDSML 400,     21071.35,     21086.30,     21098.75,     20997.50,     21036.95,-34.40
,NIFTY200 QUALTY30,     20398.10,     20448.50,     20547.10,     20399.35,     20447.55,49.45
,Nifty FinSrv25 50,     28606.75,     28536.25,     28630.45,     28427.85,     28497.30,-109.45
,NIFTY AlphaLowVol,     27101.60,     27086.45,     27141.50,     27027.80,     27112.65,11.05
,Nifty200Momentm30,     30375.15,     30342.45,     30342.45,     29931.45,     29992.70,-382.45
,Nifty100ESGSecLdr,      4043.45,      4040.05,      4049.35,      4030.85,      4036.15,-7.30
,NIFTY100 ESG,      4985.00,      4988.35,      5005.95,      4985.65,      4991.50,6.50
,NIFTY M150 QLTY50,     24082.90,     24124.55,     24214.55,     24095.45,     24181.30,98.40
,NIFTY INDIA MFG,     16014.65,     16008.85,     16010.05,     15905.90,     15941.20,-73.45
,Nifty200 Alpha 30,     25946.40,     25938.05,     25938.05,     25671.30,     25739.85,-206.55
,NiftyM150Momntm50,     62143.95,     62120.55,     62147.40,     61720.00,     61915.15,-228.80
,Nifty50 USD,      8669.75,      8669.75,      8704.80,      8394.25,      8673.30,3.55
,Nifty IT,     29441.90,     29825.40,     30664.10,     29820.05,     30418.35,976.45
,Nifty Next 50,     72596.85,     72637.60,     72647.45,     71977.35,     72087.45,-509.40
,Nifty Bank,     57087.20,     56883.55,     57054.20,     56672.40,     56755.60,-331.60
,NIFTY MIDCAP 100,     62303.65,     62352.90,     62495.50,     62202.60,     62351.50,47.85
,Nifty 500,     23153.10,     23146.65,     23172.10,     23087.10,     23114.90,-38.20
,Nifty 100,     25088.60,     25070.15,     25118.95,     25017.55,     25046.95,-41.65
,Nifty Midcap 50,     17935.25,     17954.30,     18047.40,     17936.50,     17973.90,38.65
,Nifty Realty,       901.90,       906.15,       925.90,       904.75,       921.45,19.55
,Nifty Infra,      9301.65,      9291.50,      9291.60,      9238.65,      9254.35,-47.30
,Nifty Energy,     38830.10,     38732.60,     38732.60,     38147.95,     38174.80,-655.30
,Nifty FMCG,     49564.80,     49565.40,     50063.40,     48661.95,     48881.20,-683.60
,Nifty MNC,     32705.40,     32736.65,     32738.95,     32400.15,     32517.90,-187.50
,Nifty Pharma,     25945.75,     25994.35,     26067.50,     25877.95,     25998.85,53.10
,Nifty PSE,     10009.75,      9990.25,      9993.10,      9854.30,      9878.85,-130.90
,Nifty PSU Bank,      8364.15,      8355.95,      8366.70,      8263.05,      8284.20,-79.95
,Nifty Serv Sector,     30768.10,     30740.50,     30878.85,     30739.60,     30799.80,31.70
,Nifty Auto,     27653.40,     27604.30,     27916.85,     27559.20,     27843.90,190.50
,Nifty Metal,     12476.45,     12483.05,     12508.50,     12383.15,     12400.25,-76.20
,Nifty Media,      1563.90,      1563.55,      1574.90,      1552.70,      1558.60,-5.30
,NIFTY SMLCAP 100,     19122.60,     19118.00,     19145.30,     19019.25,     19080.70,-41.90
,Nifty 200,     13902.70,     13896.70,     13921.70,     13869.35,     13886.35,-16.35
,Nifty Div Opps 50,      5867.80,      5880.65,      5900.25,      5863.25,      5868.55,0.75
,Nifty Commodities,      9806.00,      9802.50,      9804.15,      9706.40,      9720.90,-85.10
,Nifty Consumption,     11889.65,     11886.85,     11951.25,     11875.55,     11907.05,17.40
,Nifty Fin Service,     26126.15,     26052.05,     26147.55,     25969.05,     26024.20,-101.95
,Nifty50 Div Point,       158.29,       158.29,       158.29,       158.29,       158.29,0.00
,Nifty100 Liq 15,      7438.05,      7428.55,      7440.10,      7399.50,      7423.25,-14.80
,Nifty CPSE,      6635.25,      6606.05,      6607.50,      6479.45,      6489.85,-145.40
,Nifty GrowSect 15,     11267.45,     11325.50,     11457.70,     11323.85,     11407.25,139.80
,Nifty50 PR 2x Lev,     11866.80,     11840.65,     11909.65,     11824.25,     11854.60,-12.20
,Nifty50 PR 1x Inv,       220.85,       221.10,       221.25,       220.45,       221.00,0.15
