SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,78.31,83.31
WHEELS,24.12,24.12
RIIL,117.91,117.91
PREMIERPOL,20.97,20.97
RAYMOND,72.63,15.74
RSWM,18.15,15.74
SHREDIGCEM,44.96,44.96
SESHAPAPER,21.66,21.66
SMLMAH,35.26,35.26
SUNDRMFAST,33.21,32.68
EXIDEIND,41.12,40.80
ELECON,34.99,41.81
CRISIL,34.57,34.57
LMW,128.92,122.20
NELCO,696.11,215.31
MASTEK,12.25,11.78
MAHSCOOTER,47.95,47.95
LUMAXIND,42.34,38.44
TRENT,103.82,102.66
KECL,55.54,35.72
CUMMINSIND,73.80,71.73
KCP,7.87,7.61
JAYBARMARU,14.22,13.75
JBCHEPHARM,54.09,52.64
INFY,14.35,13.93
INDIAGLYCO,29.20,29.11
IONEXCHANG,42.31,38.96
IFBIND,35.63,33.25
IGPL,608.60,608.60
HIMATSEIDE,17.92,17.92
GNFC,9.61,9.61
BPCL,5.49,5.43
BHARATFORG,93.05,85.22
BASF,38.14,38.14
FORCEMOT,20.16,23.04
ATUL,27.77,27.83
ARVIND,34.09,33.20
ACC,12.32,12.47
TMPV,,30.27
SCI,10.32,10.32
MRPL,13.78,13.78
LINDEINDIA,124.32,124.32
HINDPETRO,5.15,5.15
ESCORTS,24.42,24.80
RELINFRA,0.58,0.77
BAJAJHLDNG,55.15,148.02
ASHOKLEY,26.59,24.81
VOLTAS,84.91,81.70
TITAN,78.49,77.33
TATASTEEL,22.66,21.27
SUNDARMFIN,25.49,24.78
SPIC,7.90,7.90
VEDL,6.95,6.33
SBIN,11.25,11.55
RELIANCE,18.70,18.70
PFIZER,28.99,27.69
NOCIL,54.38,51.21
BOSCHLTD,44.85,53.47
DRREDDY,27.55,27.55
BATAINDIA,66.00,95.04
DEEPAKFERT,27.43,27.43
CHAMBLFERT,10.45,10.45
CARBORUNIV,159.64,52.99
MAHSEAMLES,11.26,11.20
HINDOILEXP,33.06,68.06
DICIND,25.28,22.90
COROMANDEL,31.94,31.26
BALMLAWRIE,15.37,15.37
MOTOGENFIN,0.76,
MARALOVER,68.28,57.70
ASIANPAINT,62.48,60.86
RAMCOCEM,32.04,124.93
INDIACEM,,138.24
PGHL,32.25,32.25
BEML,109.31,109.31
ADOR,28.02,27.39
CENTENKA,11.29,11.13
TATACHEM,,217.90
TORNTPHARM,76.34,74.21
VTL,27.25,27.25
SUNDROP,119.71,119.71
FEDERALBNK,18.19,18.19
EPL,19.63,18.52
VLSFINANCE,36.90,36.90
SUPREMEIND,48.17,48.17
SRF,45.72,44.20
BIRLACABLE,33.58,33.58
BALRAMCHIN,35.27,35.27
AEGISLOG,44.70,44.70
WEIZMANIND,18.21,18.21
UNICHEMLAB,12.89,65.15
BBOX,80.92,63.86
HONAUT,64.86,63.86
JTEKTINDIA,52.48,49.53
SAURASHCEM,43.89,27.85
RANEHOLDIN,16.07,18.28
PRECOT,25.97,25.97
TATAELXSI,36.27,33.58
SUNPHARMA,39.69,36.56
KOHINOOR,1.13,
SHREYANIND,29.69,29.69
SANDESH,11.33,11.04
HCC,40.28,46.75
BAJAJHIND,33.75,30.41
APOLLOHOSP,65.28,64.79
ARE&M,17.40,22.13
ADANIENT,43.03,164.92
IVP,10.49,10.31
BALKRISIND,34.38,34.38
INDBANK,21.75,21.75
GINNIFILA,11.43,10.34
EICHERMOT,43.48,43.08
RAJSREESUG,92.27,33.33
GVT&D,94.56,91.22
NEULANDLAB,66.81,66.81
ONGC,6.56,6.52
ITI,97.71,
ZENSARTECH,14.04,13.70
TAINWALCHM,17.16,17.16
BERGEPAINT,56.50,54.53
BANARISUG,29.49,29.49
