SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,82.01,88.49
WHEELS,20.99,20.99
RIIL,93.38,93.38
PREMIERPOL,21.80,21.80
RAYMOND,0.78,0.75
RSWM,16.71,14.87
SHREDIGCEM,59.33,59.33
SESHAPAPER,14.70,14.70
SMLMAH,54.75,54.75
SUNDRMFAST,35.29,34.74
EXIDEIND,42.38,42.08
ELECON,41.38,39.32
CRISIL,37.01,37.01
LMW,100.06,95.55
NELCO,588.25,219.60
MASTEK,13.56,13.05
MAHSCOOTER,56.77,56.77
LUMAXIND,31.42,29.38
TRENT,96.93,95.85
KECL,71.93,46.26
CUMMINSIND,63.70,61.88
KCP,8.24,7.93
JAYBARMARU,12.09,11.70
INFY,15.71,15.26
INDIAGLYCO,26.45,26.39
IONEXCHANG,62.32,55.42
IFBIND,40.73,37.98
IGPL,19.40,19.40
HIMATSEIDE,16.21,16.21
GNFC,7.63,7.63
GFLLIMITED,12.16,12.16
BPCL,8.26,9.13
BHARATFORG,96.42,88.24
BASF,27.17,27.17
FORCEMOT,19.30,21.95
ATUL,24.67,24.71
ARVIND,33.47,32.60
ACC,13.71,13.78
TMPV,1.56,1.48
SCI,10.35,10.35
MRPL,9.54,10.85
LINDEINDIA,110.12,110.12
HINDPETRO,50.28,50.28
ESCORTS,24.99,24.27
RELINFRA,0.59,0.78
BAJAJHLDNG,14.23,14.23
ASHOKLEY,27.94,26.10
ZUARIIND,7.34,6.74
VOLTAS,116.30,110.43
TITAN,85.95,84.68
TATASTEEL,21.39,19.90
SUNDARMFIN,23.70,23.10
SPIC,6.58,6.58
VEDL,3.79,3.60
SBIN,11.69,12.02
RELIANCE,19.65,19.65
PFIZER,30.54,29.20
NOCIL,43.69,41.53
BOSCHLTD,45.65,54.41
DRREDDY,30.84,30.84
BATAINDIA,69.92,100.69
DEEPAKFERT,20.44,20.44
CHAMBLFERT,9.53,9.53
CARBORUNIV,122.80,46.55
MAHSEAMLES,11.14,11.07
HINDOILEXP,33.40,68.76
DICIND,24.84,22.51
COROMANDEL,34.62,33.82
BALMLAWRIE,11.69,11.69
VINDHYATEL,12.69,12.69
MOTOGENFIN,0.69,
MARALOVER,10.46,10.19
ASIANPAINT,54.73,53.49
RAMCOCEM,31.18,118.24
INDIACEM,131.61,84.80
PGHL,32.82,32.82
BEML,98.49,98.49
ADOR,23.11,22.74
CENTENKA,9.10,9.01
TORNTPHARM,88.21,85.24
VTL,20.13,20.13
SUNDROP,124.63,124.63
FEDERALBNK,18.81,18.81
EPL,18.70,17.63
VLSFINANCE,38.09,38.09
SUPREMEIND,42.58,42.58
SRF,36.20,35.17
BIRLACABLE,15.31,15.31
BALRAMCHIN,35.51,35.51
AEGISLOG,44.27,44.27
WEIZMANIND,20.21,20.21
UNICHEMLAB,13.85,70.01
BBOX,61.13,48.25
HONAUT,61.57,60.66
JTEKTINDIA,50.80,47.95
SAURASHCEM,53.03,33.65
RANEHOLDIN,19.22,22.27
PRECOT,27.68,27.68
TATAELXSI,35.68,33.14
SUNPHARMA,38.41,36.78
KOHINOOR,1.06,
SHREYANIND,30.47,30.47
SANDESH,6.98,6.86
HCC,34.67,40.03
BAJAJHIND,33.72,30.38
APOLLOHOSP,63.97,63.50
ARE&M,19.18,24.40
ADANIENT,54.95,105.65
IVP,8.77,8.62
BALKRISIND,34.41,34.41
INDBANK,19.53,19.53
GINNIFILA,11.15,11.15
EICHERMOT,37.98,37.70
GVT&D,86.52,83.63
NEULANDLAB,51.44,51.44
ONGC,6.75,6.70
ITI,92.60,
ZENSARTECH,14.66,14.31
