Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
22 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,22 JUL 2026,               5.00,          35286502,            211.15,     7450744897.30 
22 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,22 JUL 2026,              10.00,          10500000,             35.70,      374640000.00
22 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,22 JUL 2026,               1.00,         406486596,           1093.60,   444533741385.60    
22 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,22 JUL 2026,              10.00,           8582670,           1289.60,    11068211232.00
22 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,22 JUL 2026,              10.00,         207403767,             19.95,     4141853227.00 
22 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,22 JUL 2026,              10.00,          11265070,          35725.00,   402444625750.00   
22 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,22 JUL 2026,               2.00,          18000000,             31.85,      573300000.00    
22 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,22 JUL 2026,              10.00,          46882257,            369.95,    17344090977.15    
22 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,22 JUL 2026,               2.00,          46078537,            704.90,    32480760731.30   
22 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,22 JUL 2026,              10.00,         177522358,             12.55,     2229680816.50  
22 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,22 JUL 2026,              10.00,          12826800,             90.60,     1161851544.00   
22 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,22 JUL 2026,              10.00,         437298899,            510.25,   223131763214.75 
22 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,21 JUL 2026,              10.00,          14172816,             72.35,     1025403237.60    
22 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,22 JUL 2026,               1.00,         101250000,              9.10,      920362500.00    
22 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,21 JUL 2026,              10.00,          14138000,             75.05,     1061056900.00  
22 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,22 JUL 2026,              10.00,          28354303,             76.00,     2154359941.95
22 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,22 JUL 2026,              10.00,          42238628,             28.90,     1221118735.50    
22 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,22 JUL 2026,              10.00,          20946478,            117.50,     2460792235.45     
22 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,22 JUL 2026,               5.00,          31770375,             47.90,     1521165555.00   
22 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,22 JUL 2026,              10.00,          91270000,            412.00,    37603240000.00
22 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,22 JUL 2026,               5.00,         362594491,            495.95,   179828737811.45  
22 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,22 JUL 2026,               5.00,          90657751,            672.70,    60985469097.70
22 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,22 JUL 2026,              10.00,           8464995,            388.20,     3286111059.00 
22 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,22 JUL 2026,              10.00,          14844100,            161.75,     2401033175.00     
22 JUL 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,22 JUL 2026,              10.00,          44142190,            103.25,     4557239695.60    
22 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,22 JUL 2026,               5.00,          22600000,             17.75,      401150000.00    
22 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,22 JUL 2026,              10.00,          79287782,           1444.00,   114491557208.00     
22 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,22 JUL 2026,               2.00,          58365323,             14.95,      873728885.30      
22 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,22 JUL 2026,               2.00,          69748880,             26.90,     1875547383.20  
22 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,22 JUL 2026,               2.00,         211908375,           7506.00,  1590584262750.00       
22 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,22 JUL 2026,              10.00,          21249302,          28900.00,   614104827800.00
22 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,22 JUL 2026,              10.00,        2621853064,            400.60,  1050314337438.40 
22 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,22 JUL 2026,              10.00,          21963620,            204.15,     4483873023.00    
22 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,22 JUL 2026,               2.00,         279710151,            615.70,   172217539970.70      
22 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,22 JUL 2026,              10.00,        1220510115,             57.05,    69630102060.75     
22 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,22 JUL 2026,              10.00,          18587830,             25.65,      476777839.50 
22 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,22 JUL 2026,               1.00,         638789360,             10.20,     6515651472.00   
22 JUL 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,22 JUL 2026,              10.00,        1220521649,             93.80,   114497135892.70     
22 JUL 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,22 JUL 2026,              10.00,           9408000,             42.75,      402097920.00
22 JUL 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,22 JUL 2026,               5.00,          20002200,            192.85,     3857624292.00    
22 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
22 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,22 JUL 2026,              10.00,         111695680,           1408.60,   157334534848.00     
22 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,22 JUL 2026,               5.00,         289175042,           1002.90,   290013649621.80   
22 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,22 JUL 2026,              10.00,          24550000,            215.65,     5294207500.00 
22 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,22 JUL 2026,              10.00,         187787263,           1359.00,   255202890417.00       
22 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,22 JUL 2026,              10.00,          14926261,           1128.10,    16838315034.10   
22 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,22 JUL 2026,              10.00,          23989020,            493.55,    11839780821.00 
22 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,17 JUL 2026,              10.00,           3472000,            202.35,      702559200.00    
22 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,22 JUL 2026,              10.00,          11116000,            164.10,     1824135600.00     
22 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,22 JUL 2026,               1.00,         150560000,              5.00,      754305600.00  
22 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,22 JUL 2026,               2.00,         119083196,           1007.60,   119988228289.60       
22 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,22 JUL 2026,              10.00,          10200000,             19.15,      195432000.00  
22 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,22 JUL 2026,              10.00,          16383735,            141.00,     2310106635.00    
22 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,22 JUL 2026,               2.00,         123458394,            562.50,    69445346625.00       
22 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,22 JUL 2026,              10.00,          92172140,             48.70,     4488783218.00       
22 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,22 JUL 2026,               2.00,         706874336,            369.60,   261260754585.60 
22 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,22 JUL 2026,              10.00,          60681608,             40.60,     2463673284.80   
22 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,21 JUL 2026,               5.00,          15015016,            180.00,     2702702880.00
22 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,22 JUL 2026,               5.00,          81871122,           3659.60,   299615558071.20   
22 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,22 JUL 2026,              10.00,        1201282642,           1724.40,  2071491787864.80
22 JUL 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,22 JUL 2026,               1.00,        1300905023,           3147.70,  4094858740897.10  
22 JUL 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,22 JUL 2026,              10.00,        1647176155,           1472.30,  2425137453006.50
22 JUL 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,22 JUL 2026,               2.00,        2303959098,           1819.40,  4191823182901.20
22 JUL 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,22 JUL 2026,               2.00,       19284694705,            216.95,  4183814516249.75
22 JUL 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,22 JUL 2026,              10.00,          15909732,             39.00,      620479548.00 
22 JUL 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,22 JUL 2026,               2.00,         109863595,            299.90,    32948092140.50  
22 JUL 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,22 JUL 2026,              10.00,          16318000,            181.90,     2968244200.00   
22 JUL 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,22 JUL 2026,              10.00,           5566250,             71.85,      400046387.50       
22 JUL 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,22 JUL 2026,              10.00,          17402815,           1477.90,    25719620288.50      
22 JUL 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,22 JUL 2026,              10.00,          54177208,              9.20,      498430313.60
22 JUL 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,22 JUL 2026,               5.00,          56568528,            116.85,     6610032496.80      
22 JUL 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,22 JUL 2026,              10.00,          10943011,           2296.20,    25127341858.20    
22 JUL 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,22 JUL 2026,              10.00,          64285720,            111.75,     7185214924.40   
22 JUL 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,22 JUL 2026,               2.00,          92438500,             52.15,     4822516545.00
22 JUL 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,22 JUL 2026,              10.00,          53942887,            144.10,     7773709445.55 
