SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,86.88,93.74
WHEELS,20.70,20.70
ZODIACLOTH,,Infinity
RIIL,92.44,Infinity
PREMIERPOL,20.91,Infinity
RAYMOND,0.72,0.71
RSWM,19.43,16.36
SHREDIGCEM,59.39,59.39
SESHAPAPER,15.49,Infinity
SMLMAH,52.61,Infinity
SUNDRMFAST,34.64,Infinity
EXIDEIND,40.82,Infinity
ELECON,39.84,37.86
CRISIL,36.05,36.05
LMW,98.72,94.26
NELCO,600.40,Infinity
MASTEK,13.91,13.35
MAHSCOOTER,53.38,53.38
LUMAXIND,28.64,Infinity
TRENT,93.12,Infinity
KECL,65.98,42.43
CUMMINSIND,64.78,63.11
KCP,7.55,7.30
JAYBARMARU,12.45,Infinity
INFY,15.12,14.66
INDIAGLYCO,26.27,26.21
IONEXCHANG,43.09,39.71
IFBIND,37.13,34.69
IGPL,653.90,Infinity
HIMATSEIDE,16.08,Infinity
GNFC,9.28,9.28
GFLLIMITED,11.38,11.38
BPCL,8.10,8.95
BHARATFORG,96.54,87.86
BASF,37.44,37.44
FORCEMOT,18.64,Infinity
ATUL,24.46,24.50
ARVIND,31.51,30.70
ACC,13.35,13.42
TMPV,1.51,1.43
SCI,10.03,10.03
MRPL,9.48,Infinity
LINDEINDIA,104.79,104.79
HINDPETRO,49.62,49.62
ESCORTS,14.42,14.61
BAJAJHLDNG,14.04,14.04
ASHOKLEY,26.23,24.50
ZUARIIND,7.29,6.67
VOLTAS,118.84,113.39
TITAN,85.30,84.04
TATASTEEL,21.02,19.68
SUNDARMFIN,25.18,24.49
SPIC,6.40,Infinity
VEDL,3.62,3.43
SBIN,11.38,11.70
RELIANCE,20.07,20.07
PFIZER,30.02,Infinity
NOCIL,49.29,Infinity
BOSCHLTD,43.70,52.08
DRREDDY,30.10,30.10
BATAINDIA,66.67,Infinity
DEEPAKFERT,19.90,19.90
CHAMBLFERT,9.12,9.12
CARBORUNIV,120.77,82.30
MAHSEAMLES,10.81,10.74
HINDOILEXP,34.01,Infinity
DICIND,24.83,Infinity
COROMANDEL,34.40,33.62
BALMLAWRIE,11.45,11.45
VINDHYATEL,10.69,10.69
MOTOGENFIN,0.71,Infinity
MARALOVER,11.11,10.81
ASIANPAINT,54.48,Infinity
RAMCOCEM,31.05,Infinity
INDIACEM,133.35,Infinity
PGHL,33.54,Infinity
BEML,103.13,Infinity
ADOR,22.14,28.63
CENTENKA,9.06,Infinity
TORNTPHARM,90.38,Infinity
VTL,19.72,19.72
SUNDROP,124.62,Infinity
FEDERALBNK,18.93,18.93
EPL,18.09,17.06
VLSFINANCE,36.73,36.73
VIPIND,,Infinity
SUPREMEIND,42.64,42.64
SRF,35.96,34.94
BIRLACABLE,13.22,Infinity
BALRAMCHIN,32.72,32.72
ANSALAPI,,Infinity
AEGISLOG,40.62,40.62
WEIZMANIND,20.30,Infinity
UNICHEMLAB,14.30,Infinity
BBOX,61.68,48.68
HONAUT,61.21,Infinity
JTEKTINDIA,50.76,Infinity
SAURASHCEM,46.60,29.57
RANEHOLDIN,18.25,Infinity
PRECOT,27.10,Infinity
TATAELXSI,34.95,32.46
SUNPHARMA,39.41,Infinity
KOHINOOR,1.07,Infinity
SHREYANIND,29.78,Infinity
SHALPAINTS,,Infinity
SANDESH,11.24,10.96
HCC,33.93,39.75
BAJAJHIND,31.75,28.60
APOLLOHOSP,64.31,63.85
ARE&M,18.60,23.67
ADANIENT,54.22,104.25
IVP,8.40,Infinity
BALKRISIND,34.02,Infinity
TIRUMALCHM,,Infinity
INDBANK,19.50,19.50
GINNIFILA,11.02,11.02
EICHERMOT,37.25,Infinity
GVT&D,89.76,Infinity
NEULANDLAB,67.12,Infinity
ONGC,6.13,6.09
ITI,90.99,Infinity
ZENSARTECH,14.89,14.52
TIL,,Infinity
TAINWALCHM,17.12,17.12
BERGEPAINT,53.80,Infinity
BANARISUG,29.46,29.46
KPIL,21.37,21.80
JYOTISTRUC,23.01,Infinity
IGARASHI,116.90,116.90
BSL,54.06,Infinity
BLUEDART,42.66,Infinity
NKIND,,Infinity
JAYNECOIND,14.81,14.55
MUNJALSHOW,25.12,Infinity
APCOTEXIND,19.66,Infinity
SOTL,22.69,22.69
HSCL,47.10,47.10
RCF,16.44,17.88
RANASUG,7.62,
KARURVYSYA,12.06,12.06
DECCANCE,27.11,Infinity
ARENTERP,,Infinity
TECILCHEM,,Infinity
WSI,208.20,Infinity
UFLEX,10.72,10.36
TATAPOWER,23.14,22.80
ADVANIHOTR,19.78,Infinity
THOMASCOOK,22.25,21.75
SUNFLAG,32.53,Infinity
SUBROS,32.26,Infinity
SPMLINFRA,21.61,21.61
SIMPLEXINF,46.23,Infinity
SIEMENS,71.92,71.92
BHARATRAS,14.96,Infinity
WIPRO,13.69,13.69
VSTIND,13.51,Infinity
JUBLPHARMA,37.47,33.75
UNIVCABLES,26.64,Infinity
UCAL,,Infinity
TATACOMM,53.46,48.55
TOKYOPLAST,211.42,Infinity
SOMANYCERA,27.07,Infinity
MURUDCERA,17.17,17.17
IFCI,47.44,45.85
HLVLTD,98.41,Infinity
SANOFI,24.67,Infinity
M&M,20.88,20.65
LIBERTSHOE,39.66,Infinity
KREBSBIO,,Infinity
KAJARIACER,34.85,32.86
KABRAEXTRU,2722.22,1845.11
HEIDELBERG,29.75,Infinity
MODTHREAD,13.66,Infinity
MODIRUBBER,473.09,473.09
ONIDA,,Infinity
MANGLMCEM,20.27,Infinity
PRSMJOHNSN,178.56,
PREMIER,,Infinity
POLYPLEX,84.77,Infinity
PIDILITIND,66.38,66.10
PCBL,48.32,46.21
3PLAND,25.14,25.14
EIHAHOTELS,21.67,Infinity
HONDAPOWER,32.25,Infinity
JINDALSAW,27.36,Infinity
SAIL,16.34,14.45
RUBYMILLS,28.63,38.36
STYRENIX,23.36,Infinity
ABB,51.66,51.66
ABAN,,Infinity
IDBI,9.66,9.66
GRAPHITE,75.00,73.50
CANFINHOME,9.67,9.67
BRITANNIA,51.43,Infinity
BBL,23.76,23.76
ELECTCAST,27.05,Infinity
DHAMPURSUG,12.36,12.36
DCMSHRIRAM,11.23,11.86
DABUR,38.41,38.18
COSMOFIRST,15.02,14.50
CIPLA,35.47,52.80
HEROMOTOCO,18.66,Infinity
HDFCBANK,14.59,14.38
HARRMALAYA,13.66,13.66
GMBREW,12.16,Infinity
GIPCL,6.22,Infinity
ITC,17.44,17.50
INDIANHUME,14.59,22.39
HINDCOMPOS,19.32,18.47
IOC,5.54,5.54
OSWALGREEN,,10.46
HUHTAMAKI,16.51,Infinity
RICOAUTO,36.59,Infinity
KAMATHOTEL,12.77,Infinity
IFBAGRO,15.36,15.36
BANCOINDIA,18.92,Infinity
MANINDS,23.42,23.42
APOLLOTYRE,19.81,18.97
SIYSIL,11.52,Infinity
SHANTIGEAR,49.56,Infinity
PRECWIRE,43.87,Infinity
ONWARDTEC,15.19,Infinity
NILKAMAL,21.44,19.94
NCC,12.24,11.78
ICIL,63.35,Infinity
SEAMECLTD,14.67,14.67
ELGIEQUIP,41.96,40.95
AUROPHARMA,25.96,Infinity
BBTC,4.18,4.32
EIHOTEL,31.11,Infinity
KANORICHEM,5.50,5.50
LICHSGFIN,5.01,5.01
GICHSGFIN,5.14,5.14
BEPL,14.45,Infinity
RAIN,18.34,18.34
BANARBEADS,40.36,Infinity
MOREPENLAB,32.94,Infinity
WSTCSTPAPR,24.15,24.15
EASTSILK,,Infinity
21STCENMGM,,Infinity
VENKEYS,15.69,15.69
GHCL,7.77,Infinity
S&SPOWER,38.87,38.87
PRUDMOULI,5.72,Infinity
PRAJIND,240.41,Infinity
BPL,,270.44
KEEPLEARN,,Infinity
PGHH,35.28,Infinity
VESUVIUS,37.57,Infinity
TFCILTD,30.60,30.60
BOMDYEING,93.24,90.56
GTL,0.20,Infinity
NAVNETEDUL,9.44,23.12
GUJALKALI,74.25,Infinity
AGI,12.67,12.54
GLAXO,43.42,Infinity
TATACONSUM,65.27,64.71
ZEEL,40.56,Infinity
CHOLAFIN,27.43,27.43
INDHOTEL,45.53,50.06
FMGOETZE,14.83,Infinity
KOTAKBANK,19.13,19.38
LYKALABS,,Infinity
ORIENTHOT,35.30,Infinity
GILLETTE,37.19,37.19
GOLDENTOBC,6.37,7.22
KANSAINER,27.63,Infinity
FOSECOIND,44.64,Infinity
ESABINDIA,41.92,Infinity
3MINDIA,74.66,88.72
ANDHRAPAP,65.19,Infinity
GABRIEL,85.66,Infinity
SCHAEFFLER,52.49,52.49
AARTIIND,33.43,Infinity
RALLIS,19.73,39.42
AMJLAND,10.69,10.69
PRAKASH,6.63,Infinity
MFSL,490.08,490.08
KSB,57.58,54.12
KOPRAN,35.85,Infinity
HEG,35.34,35.34
GREAVESCOT,157.14,167.75
GODFRYPHLP,24.32,24.32
VARDMNPOLY,37.54,37.54
SURYAROSNI,18.23,18.23
TATAINVEST,79.27,79.27
GLFL,629.02,Infinity
TIMKEN,58.20,Infinity
SUDARSCHEM,197.83,88.03
SHREECEM,57.46,Infinity
SAKHTISUG,7.13,7.13
IPCALAB,37.46,Infinity
INGERRAND,51.97,Infinity
JSWDULUX,6.78,2.67
HINDALCO,16.35,14.04
HINDZINC,13.35,13.36
HINDUNILVR,32.98,32.47
GSFC,9.40,9.40
GRASIM,20.49,20.01
AMBUJACEM,20.71,17.86
FINPIPE,16.82,Infinity
FINCABLES,21.16,24.88
EIDPARRY,9.80,6.02
DCW,28.30,28.30
DCM,57.10,57.10
CGPOWER,109.66,107.53
SUDARCOLOR,18.72,Infinity
CESC,13.62,Infinity
BIRLACORPN,12.38,12.25
BHEL,58.26,58.26
BHARATGEAR,11.74,Infinity
BEL,46.12,Infinity
BAJFINANCE,34.41,34.11
ASHAPURMIN,16.11,Infinity
