SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,76.18,81.04
WHEELS,24.37,24.37
RIIL,118.45,118.45
PREMIERPOL,22.45,22.45
RAYMOND,70.89,15.36
RSWM,17.95,15.57
SHREDIGCEM,45.31,45.31
SESHAPAPER,21.79,21.79
SMLMAH,35.85,35.85
SUNDRMFAST,33.04,32.51
EXIDEIND,41.20,40.88
ELECON,34.71,41.47
CRISIL,35.00,35.00
LMW,128.23,121.54
NELCO,702.35,217.24
MASTEK,12.44,11.96
MAHSCOOTER,47.89,47.89
LUMAXIND,42.14,38.26
TRENT,103.72,102.56
CUMMINSIND,72.47,70.43
KCP,7.99,7.73
JAYBARMARU,13.54,13.10
JBCHEPHARM,53.51,52.08
INFY,14.42,13.99
INDIAGLYCO,29.27,29.19
IONEXCHANG,43.36,39.93
IFBIND,35.86,33.46
IGPL,630.80,630.80
HIMATSEIDE,18.02,18.02
GNFC,9.76,9.76
BPCL,5.49,5.43
BHARATFORG,92.96,85.14
BASF,38.38,38.38
FORCEMOT,20.23,23.11
ATUL,28.18,28.25
ARVIND,35.50,34.56
ACC,12.29,12.44
TMPV,,30.01
SCI,10.61,10.61
MRPL,13.74,13.74
LINDEINDIA,124.06,124.06
HINDPETRO,5.13,5.13
ESCORTS,24.28,24.65
BAJAJHLDNG,56.48,151.57
ASHOKLEY,26.31,24.55
VOLTAS,84.62,81.42
TITAN,78.09,76.93
TATASTEEL,22.53,21.15
SUNDARMFIN,25.35,24.64
SPIC,8.07,8.07
VEDL,6.91,6.30
SBIN,11.27,11.58
RELIANCE,18.46,18.46
PFIZER,28.93,27.64
NOCIL,55.32,52.09
BOSCHLTD,44.61,53.18
DRREDDY,27.68,27.68
BATAINDIA,66.71,96.07
DEEPAKFERT,28.18,28.18
CHAMBLFERT,10.57,10.57
CARBORUNIV,158.96,52.76
MAHSEAMLES,11.49,11.42
HINDOILEXP,33.78,69.55
DICIND,25.14,22.78
COROMANDEL,31.62,30.94
BALMLAWRIE,15.39,15.39
MOTOGENFIN,0.74,
MARALOVER,67.81,57.30
ASIANPAINT,62.10,60.49
RAMCOCEM,32.36,126.14
INDIACEM,,139.73
PGHL,32.24,32.24
BEML,109.86,109.86
ADOR,27.97,27.34
CENTENKA,11.50,11.33
TATACHEM,,216.95
TORNTPHARM,75.48,73.37
VTL,27.43,27.43
SUNDROP,119.70,119.70
FEDERALBNK,18.03,18.03
EPL,19.26,18.17
VLSFINANCE,36.79,36.79
SUPREMEIND,48.09,48.09
SRF,45.14,43.64
BIRLACABLE,34.14,34.14
BALRAMCHIN,34.74,34.74
AEGISLOG,42.04,42.04
WEIZMANIND,18.02,18.02
UNICHEMLAB,13.17,66.58
BBOX,81.22,64.10
HONAUT,66.55,65.52
JTEKTINDIA,53.00,50.02
SAURASHCEM,44.86,28.46
RANEHOLDIN,16.01,18.22
PRECOT,24.73,24.73
TATAELXSI,36.47,33.77
SUNPHARMA,39.52,36.41
KOHINOOR,1.14,
SHREYANIND,30.01,30.01
SANDESH,11.41,11.13
HCC,40.66,47.19
BAJAJHIND,33.85,30.50
APOLLOHOSP,65.32,64.82
ARE&M,17.47,22.23
ADANIENT,43.11,165.20
IVP,8.94,8.79
BALKRISIND,34.53,34.53
INDBANK,21.17,21.17
GINNIFILA,11.43,10.34
EICHERMOT,42.71,42.32
RAJSREESUG,91.25,32.96
GVT&D,91.38,88.16
NEULANDLAB,66.77,66.77
ONGC,6.39,6.35
ITI,97.99,
ZENSARTECH,15.16,14.79
