SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,77.08,82.00
WHEELS,24.05,24.05
RIIL,113.78,113.78
PREMIERPOL,22.10,22.10
RAYMOND,70.52,15.28
RSWM,19.60,17.00
SHREDIGCEM,43.41,43.41
SESHAPAPER,20.93,20.93
SMLMAH,37.01,37.01
SUNDRMFAST,34.22,33.66
EXIDEIND,43.04,42.71
ELECON,44.14,41.95
CRISIL,36.99,36.99
LMW,131.25,124.40
NELCO,527.65,193.43
MASTEK,13.60,13.07
MAHSCOOTER,47.85,47.85
LUMAXIND,40.93,37.16
TRENT,88.25,87.26
KECL,57.03,36.68
CUMMINSIND,72.07,70.05
KCP,7.79,7.53
JAYBARMARU,13.48,13.04
INFY,15.10,14.65
INDIAGLYCO,31.54,31.45
IONEXCHANG,45.13,41.55
IFBIND,37.07,34.59
IGPL,593.68,593.68
HIMATSEIDE,17.13,17.13
GNFC,9.27,9.27
BPCL,5.63,5.56
BHARATFORG,95.30,87.28
BASF,39.00,39.00
FORCEMOT,19.62,22.42
ATUL,26.43,26.49
ARVIND,33.43,32.55
ACC,12.14,12.29
TMPV,,29.27
SCI,9.90,9.90
MRPL,9.86,11.23
LINDEINDIA,122.95,122.95
HINDPETRO,5.15,5.15
ESCORTS,24.05,24.42
BAJAJHLDNG,53.01,142.26
ASHOKLEY,24.85,23.19
VOLTAS,88.73,85.38
TITAN,81.18,79.98
TATASTEEL,22.06,20.71
SUNDARMFIN,24.55,23.86
SPIC,7.63,7.63
VEDL,6.24,5.68
SBIN,11.32,11.63
RELIANCE,20.43,20.43
PFIZER,28.92,27.63
NOCIL,48.85,46.00
BOSCHLTD,43.50,51.86
DRREDDY,24.39,24.39
BATAINDIA,66.41,95.63
DEEPAKFERT,27.24,27.24
CHAMBLFERT,9.98,9.98
CARBORUNIV,147.83,49.07
MAHSEAMLES,10.93,10.87
HINDOILEXP,32.79,67.51
DICIND,24.81,22.48
COROMANDEL,31.62,30.94
BALMLAWRIE,15.06,15.06
MOTOGENFIN,0.72,
MARALOVER,67.95,57.42
ASIANPAINT,60.99,59.41
RAMCOCEM,31.41,122.45
INDIACEM,137.48,88.57
PGHL,34.53,34.53
BEML,106.78,106.78
ADOR,29.37,28.72
CENTENKA,11.63,11.46
TATACHEM,,218.62
TORNTPHARM,75.40,73.29
VTL,26.21,26.21
SUNDROP,121.35,121.35
FEDERALBNK,17.83,17.83
EPL,19.46,18.35
VLSFINANCE,37.10,37.10
SUPREMEIND,51.15,51.15
SRF,46.43,44.89
BIRLACABLE,32.40,32.40
BALRAMCHIN,37.34,37.34
AEGISLOG,42.79,42.79
WEIZMANIND,17.61,17.61
UNICHEMLAB,16.40,82.91
BBOX,67.39,53.18
HONAUT,65.60,64.59
JTEKTINDIA,49.16,46.39
SAURASHCEM,48.20,30.58
RANEHOLDIN,15.89,18.07
PRECOT,27.63,27.63
TATAELXSI,33.34,30.96
SUNPHARMA,40.10,36.94
KOHINOOR,1.09,
SHREYANIND,29.10,29.10
SANDESH,11.16,10.88
HCC,36.63,42.51
BAJAJHIND,32.90,29.65
APOLLOHOSP,64.82,64.33
ARE&M,18.54,23.59
ADANIENT,44.13,169.12
IVP,8.77,8.62
BALKRISIND,32.12,32.12
INDBANK,20.24,20.24
GINNIFILA,10.15,9.18
EICHERMOT,44.01,43.61
RAJSREESUG,93.44,33.75
GVT&D,91.09,87.87
NEULANDLAB,64.97,64.97
ONGC,6.65,6.61
ITI,93.57,
ZENSARTECH,15.22,14.85
TAINWALCHM,18.72,18.72
BERGEPAINT,53.45,51.59
BANARISUG,29.41,29.41
KPIL,21.71,22.15
JYOTISTRUC,23.80,23.80
IGARASHI,118.50,118.50
BSL,54.81,54.81
BLUEDART,47.25,41.09
JAYNECOIND,15.54,15.27
MUNJALSHOW,24.80,23.07
APCOTEXIND,27.05,27.17
SOTL,21.88,21.88
HSCL,46.53,46.53
RCF,16.41,17.84
RANASUG,7.65,
KARURVYSYA,11.93,11.93
DECCANCE,28.22,52.47
WSI,213.46,248.01
UFLEX,9.66,9.40
TATAPOWER,27.34,27.07
ADVANIHOTR,20.10,19.54
THOMASCOOK,22.32,21.81
