,13-Aug-2026
The Nifty witnessed an intraday movement of about 120.2 points.The closing index was 0.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 111635.71
, Traded Quantity (in Lakhs), 41657.28
, Number of Trades, 34656553
, Total Market Capitalisation (Rs. Crores), 49198868.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16632.35,     16621.95,     16629.15,     16528.70,     16581.85,-50.50
,NIFTY CONSR DURBL,     40122.95,     40111.15,     40307.45,     39761.75,     40304.80,181.85
,NIFTY OIL AND GAS,     11293.90,     11292.95,     11293.50,     11188.35,     11252.55,-41.35
,NIFTY500 MULTICAP,     16780.15,     16788.90,     16788.90,     16733.80,     16778.65,-1.50
,NIFTY LARGEMID250,     16973.65,     16975.50,     16975.50,     16911.25,     16968.40,-5.25
,NIFTY MID SELECT,     15032.65,     15024.55,     15078.15,     14988.10,     15078.15,45.50
,NIFTY TOTAL MKT,     13365.30,     13369.50,     13369.50,     13319.30,     13358.50,-6.80
,NIFTY MICROCAP250,     26094.90,     26129.50,     26186.80,     26095.05,     26135.15,40.25
,NIFTY IND DIGITAL,      8767.35,      8770.50,      8828.55,      8747.55,      8827.40,60.05
,Nifty Tata 25 Cap,     14701.80,     14722.20,     14801.55,     14674.65,     14801.15,99.35
,Nifty MidSml Hlth,     52284.15,     52245.20,     52399.10,     52016.30,     52399.10,114.95
,Nifty Multi Mfg,     17103.20,     17104.35,     17104.35,     17040.30,     17095.90,-7.30
,Nifty Multi Infra,     14689.00,     14710.95,     14712.05,     14638.30,     14683.35,-5.65
,BHARATBOND-APR30,      1614.98,      1615.30,      1615.30,      1615.23,      1615.24,0.26
,BHARATBOND-APR31,      1468.08,      1468.36,      1468.36,      1467.58,      1467.58,-0.50
,BHARATBOND-APR32,      1335.25,      1335.51,      1335.51,      1335.46,      1335.46,0.21
,BHARATBOND-APR33,      1293.52,      1293.77,      1293.77,      1293.77,      1293.77,0.25
,Nifty Ind Defence,      9660.70,      9686.15,      9814.95,      9628.35,      9810.80,150.10
,Nifty Ind Tourism,      8084.65,      8102.35,      8102.55,      8015.50,      8073.20,-11.45
,Nifty Capital Mkt,      5339.55,      5345.55,      5371.35,      5321.35,      5348.40,8.85
,Nifty500Momentm50,     55579.10,     55650.45,     55665.05,     55093.30,     55209.40,-369.70
,NiftyMS400 MQ 100,     52362.95,     52370.25,     52410.70,     52160.25,     52279.15,-83.80
,NiftySml250MQ 100,     48550.10,     48622.10,     48801.05,     48566.55,     48621.95,71.85
,Nifty Top 10 EW,      8674.95,      8668.80,      8678.60,      8620.15,      8670.15,-4.80
,Nifty AQL 30,     23375.30,     23348.80,     23350.30,     23264.65,     23336.80,-38.50
,Nifty AQLV 30,     20637.40,     20618.90,     20619.70,     20520.65,     20576.25,-61.15
,Nifty EV,      3391.00,      3398.60,      3422.50,      3391.70,      3400.50,9.50
,Nifty HighBeta 50,      4523.85,      4533.40,      4537.70,      4511.85,      4531.60,7.75
,Nifty New Consump,     12189.70,     12201.95,     12239.15,     12160.35,     12239.15,49.45
,Nifty Corp MAATR,     39745.35,     39777.80,     39784.00,     39428.60,     39604.50,-140.85
,Nifty Low Vol 50,     25028.05,     24995.35,     24995.35,     24890.85,     24978.70,-49.35
,Nifty Mobility,     23864.25,     23927.70,     23975.25,     23840.75,     23922.90,58.65
,Nifty Qlty LV 30,     17002.25,     16973.05,     16974.45,     16908.10,     16974.45,-27.80
,Nifty Sml250 Q50,     25780.60,     25821.10,     25938.70,     25795.90,     25843.85,63.25
,Nifty Top 15 EW,      9931.45,      9928.70,      9941.70,      9880.75,      9941.70,10.25
,Nifty100 Alpha 30,     18497.10,     18524.10,     18532.30,     18346.95,     18411.20,-85.90
,Nifty100 Enh ESG,      5142.35,      5145.70,      5145.70,      5119.55,      5134.05,-8.30
,Nifty200 Value 30,     15201.75,     15193.10,     15193.25,     15103.30,     15165.45,-36.30
,Nifty500 EW,     15155.50,     15174.65,     15195.15,     15154.70,     15175.90,20.40
,Nifty Multi MQ 50,     42135.90,     42157.20,     42216.35,     41958.80,     42165.95,30.05
,Nifty500 Value 50,     16316.10,     16302.45,     16304.05,     16212.40,     16261.40,-54.70
,Nifty Top 20 EW,      8993.55,      8987.55,      9008.30,      8954.85,      9008.30,14.75
,Nifty CoreHousing,     15953.60,     15943.25,     15944.05,     15796.65,     15940.55,-13.05
,Nifty FinSerExBnk,     32828.35,     32886.20,     32887.00,     32706.10,     32856.25,27.90
,Nifty Housing,     11985.55,     11970.50,     11975.75,     11900.60,     11975.50,-10.05
,Nifty IPO,      2343.50,      2358.40,      2362.50,      2340.85,      2344.25,0.75
,Nifty MS Fin Serv,     22842.75,     22817.75,     22844.55,     22722.30,     22844.45,1.70
,Nifty MS Ind Cons,     18977.10,     18966.45,     19046.70,     18916.65,     19042.05,64.95
,Nifty MS IT Telcm,      9958.00,      9972.85,     10050.95,      9943.90,     10039.80,81.80
,Nifty NonCyc Cons,     15560.20,     15561.50,     15628.75,     15508.30,     15628.05,67.85
,Nifty Rural,     15749.70,     15783.00,     15792.25,     15723.60,     15789.45,39.75
,Nifty Shariah 25,      8147.90,      8144.30,      8176.65,      8111.55,      8176.65,28.75
,Nifty Trans Logis,     26682.95,     26753.80,     26853.50,     26687.20,     26773.95,91.00
