,13-Jul-2026
The Nifty witnessed an intraday movement of about 259.6 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 121684.26
, Traded Quantity (in Lakhs), 46056.55
, Number of Trades, 37482180
, Total Market Capitalisation (Rs. Crores), 48162578.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16337.80,     16307.85,     16373.00,     16205.35,     16295.90,-41.90
,NIFTY CONSR DURBL,     38208.90,     38080.15,     38765.65,     37788.15,     38649.65,440.75
,NIFTY OIL AND GAS,     11177.45,     11106.60,     11192.50,     11085.80,     11176.55,-0.90
,NIFTY500 MULTICAP,     16553.25,     16449.45,     16581.95,     16402.55,     16560.90,7.65
,NIFTY LARGEMID250,     16730.55,     16625.20,     16747.25,     16580.35,     16726.15,-4.40
,NIFTY MID SELECT,     14820.90,     14723.50,     14859.15,     14680.65,     14839.65,18.75
,NIFTY TOTAL MKT,     13177.00,     13091.45,     13195.60,     13057.15,     13177.05,0.05
,NIFTY MICROCAP250,     25503.05,     25384.50,     25591.00,     25272.55,     25536.05,33.00
,NIFTY IND DIGITAL,      8135.55,      8092.20,      8294.15,      8079.70,      8256.15,120.60
,Nifty Tata 25 Cap,     14019.50,     13969.00,     14175.55,     13890.10,     14127.40,107.90
,Nifty MidSml Hlth,     51021.35,     50863.70,     51214.60,     50686.30,     51029.60,8.25
,Nifty Multi Mfg,     16363.50,     16269.70,     16365.25,     16214.65,     16344.55,-18.95
,Nifty Multi Infra,     14741.10,     14646.15,     14717.10,     14604.35,     14698.80,-42.30
,BHARATBOND-APR30,      1605.53,      1605.85,      1605.95,      1605.84,      1605.95,0.42
,BHARATBOND-APR31,      1461.26,      1461.54,      1461.54,      1461.53,      1461.54,0.28
,BHARATBOND-APR32,      1329.27,      1329.52,      1329.52,      1329.52,      1329.52,0.25
,BHARATBOND-APR33,      1288.28,      1288.54,      1288.54,      1288.53,      1288.53,0.25
,Nifty Ind Defence,      9485.45,      9443.50,      9443.50,      9357.45,      9414.10,-71.35
,Nifty Ind Tourism,      8173.40,      8088.90,      8176.55,      8041.35,      8147.00,-26.40
,Nifty Capital Mkt,      5540.10,      5510.50,      5543.70,      5489.90,      5537.50,-2.60
,Nifty500Momentm50,     53591.40,     53280.60,     53592.20,     53051.25,     53456.80,-134.60
,NiftyMS400 MQ 100,     50821.35,     50569.75,     50824.75,     50378.85,     50763.50,-57.85
,NiftySml250MQ 100,     47524.75,     47223.20,     47695.80,     47016.15,     47630.30,105.55
,Nifty Top 10 EW,      8563.50,      8514.90,      8645.95,      8500.50,      8622.50,59.00
,Nifty AQL 30,     22872.90,     22773.20,     22813.50,     22673.85,     22801.70,-71.20
,Nifty AQLV 30,     20150.20,     20066.35,     20133.70,     20007.50,     20122.30,-27.90
,Nifty EV,      3119.45,      3099.95,      3134.80,      3084.10,      3128.70,9.25
,Nifty HighBeta 50,      4462.55,      4424.50,      4485.40,      4410.20,      4479.90,17.35
,Nifty New Consump,     11798.15,     11701.95,     11802.25,     11657.00,     11784.80,-13.35
,Nifty Corp MAATR,     38774.90,     38511.15,     38893.45,     38419.90,     38775.30,0.40
,Nifty Low Vol 50,     24606.60,     24469.30,     24627.70,     24401.65,     24602.60,-4.00
,Nifty Mobility,     22507.10,     22283.55,     22512.50,     22193.90,     22466.75,-40.35
,Nifty Qlty LV 30,     16473.85,     16399.95,     16498.65,     16345.95,     16476.45,2.60
,Nifty Sml250 Q50,     25267.30,     25161.55,     25527.40,     25025.50,     25500.30,233.00
,Nifty Top 15 EW,      9737.70,      9669.75,      9798.35,      9653.60,      9776.70,39.00
,Nifty100 Alpha 30,     18110.05,     17961.40,     18063.85,     17873.75,     18024.10,-85.95
,Nifty100 Enh ESG,      4991.45,      4955.55,      5016.15,      4945.20,      5004.95,13.50
,Nifty200 Value 30,     15069.20,     14982.40,     15084.85,     14922.45,     15074.45,5.25
,Nifty500 EW,     14973.05,     14887.35,     15029.10,     14828.55,     15013.10,40.05
,Nifty Multi MQ 50,     41241.80,     41027.35,     41127.95,     40840.75,     41088.85,-152.95
,Nifty500 Value 50,     16082.00,     15996.35,     16117.90,     15935.40,     16107.00,25.00
,Nifty Top 20 EW,      8699.45,      8645.45,      8771.90,      8633.65,      8747.00,47.55
,Nifty CoreHousing,     15920.80,     15817.35,     15895.30,     15736.95,     15863.05,-57.75
,Nifty FinSerExBnk,     32311.95,     32019.40,     32392.35,     31962.00,     32345.65,33.70
