SYMBOL,SYMBOL P/E,ADJUSTED P/E
SEAMECLTD,14.00,14.00
ELGIEQUIP,43.20,42.14
AUROPHARMA,25.17,24.84
BBTC,4.05,4.19
EIHOTEL,33.98,29.33
KANORICHEM,36.91,36.91
LICHSGFIN,5.29,5.29
GICHSGFIN,5.11,5.11
BEPL,15.24,15.24
RAIN,18.64,18.64
BANARBEADS,42.69,42.69
MOREPENLAB,30.82,40.69
WSTCSTPAPR,23.48,23.48
VENKEYS,15.23,15.23
GHCL,8.51,8.51
S&SPOWER,42.39,42.39
PRUDMOULI,5.51,5.51
PRAJIND,249.35,65.52
BPL,,272.72
PGHH,34.01,34.01
VESUVIUS,35.22,35.22
TFCILTD,26.22,26.22
BOMDYEING,93.45,90.76
GTL,0.19,
NAVNETEDUL,9.64,39.11
GUJALKALI,74.58,74.58
AGI,12.38,12.25
GLAXO,41.11,41.73
TATACONSUM,62.03,61.52
ZEEL,37.36,36.42
CHOLAFIN,28.12,28.12
INDHOTEL,45.68,50.32
FMGOETZE,14.97,14.08
KOTAKBANK,18.91,19.16
ORIENTHOT,33.34,33.03
GILLETTE,38.99,38.99
GOLDENTOBC,6.12,6.94
KANSAINER,27.13,25.18
FOSECOIND,43.89,38.65
ESABINDIA,42.07,45.66
3MINDIA,76.57,90.99
ANDHRAPAP,65.51,65.51
GABRIEL,76.63,73.62
SCHAEFFLER,40.91,40.91
AARTIIND,41.36,42.08
RALLIS,19.88,
AMJLAND,10.57,10.57
PRAKASH,6.65,6.65
MFSL,500.79,500.79
KSB,61.67,57.84
KOPRAN,37.30,37.30
HEG,55.37,55.37
GREAVESCOT,162.60,173.58
GODFRYPHLP,26.74,26.74
VARDMNPOLY,37.79,37.79
SURYAROSNI,18.12,18.12
TATAINVEST,100.81,100.81
TIMKEN,57.85,57.85
SUDARSCHEM,720.66,147.08
SHREECEM,55.17,55.17
SAKHTISUG,7.30,7.30
IPCALAB,37.54,35.65
INGERRAND,53.69,52.24
JSWDULUX,6.79,36.47
HINDALCO,15.82,13.57
HINDZINC,13.17,13.18
HINDUNILVR,47.56,46.76
GSFC,9.30,9.30
GRASIM,20.79,20.30
AMBUJACEM,19.29,16.89
FINPIPE,18.24,18.24
FINCABLES,23.34,28.50
EIDPARRY,9.77,6.01
DCW,28.33,28.33
CGPOWER,110.38,108.23
SUDARCOLOR,18.69,13.20
CESC,13.42,13.42
BIRLACORPN,13.30,13.16
BHEL,61.22,61.22
BHARATGEAR,11.30,11.30
BEL,49.15,49.15
BAJFINANCE,32.64,32.34
ASHAPURMIN,17.06,16.87
NAVA,15.11,15.11
CORALFINAC,8.86,8.86
GREENPLY,29.81,26.72
TNPL,4.18,4.18
AUTOAXLES,16.54,15.72
REMSONSIND,13.24,12.85
DALMIASUG,12.48,12.48
NATCOPHARM,12.03,12.03
KHAITANLTD,10.11,10.11
SWARAJENG,21.48,21.22
MRF,22.91,22.48
GARFIBRES,36.83,35.01
ANDHRSUGAR,12.82,11.47
TNPETRO,8.77,9.35
TTKPRESTIG,56.23,50.23
STARPAPER,7.04,7.04
